BA_Taurine,[M-H]-,[M-H-H2O]-,[Taurine-H]-,[CH2CHSO3]-,[SO3]-
Taurolithocholic acid (TLCA),482.2945534,464.2839834,124.0074,0,79.95738
Taurochenodeoxycholic acid (TCDCA),498.2894684,480.2788984,124.0074,0,79.95738
Taurodeoxycholic acid (TDCA),498.2894684,480.2788984,124.0074,0,79.95738
Taurohyodeoxyocholic acid (THDCA),498.2894684,480.2788984,124.0074,0,79.95738
Tauroursodeoxycholic acid (TUDCA),498.2894684,480.2788984,124.0074,0,79.95738
Taurocholic acid  (TCA),514.2843834,496.2738134,124.0074,106.98086,79.95738
Tauro-muricholic acid (TMCA),514.2843834,496.2738134,124.0074,106.98086,79.95738
Tauroallocholic acid-H,514.2843834,496.2738134,124.0074,106.98086,79.95738
Tauro-tetrahydroxyl bile acid-H,530.2792984,512.2687284,124.0074,0,79.95738
Taurolithocholic acid-3-sulfate (TLCA-3S),562.2513704,544.2408004,124.0074,0,79.95738
Taurochenodeoxycholic acid-3-sulfate (TCDCA-3S),578.2462854,560.2357154,124.0074,0,79.95738
Taurodeoxycholic acid-3-sulfate (TDCA-3S),578.2462854,560.2357154,124.0074,0,79.95738
Tauroursodeoxycholic acid-3-sulfate (TUDCA-3S),578.2462854,560.2357154,124.0074,0,79.95738
scoress,0.033333333,0.033333333,0.45,0.45,0.033333333
