BA,[M-H]-,[M-H-H2O]-,[M-H+NH3]-,[M-H+NH3-CO2]-,[M-H3-H2O]-,[M-H3-H2O-CO2]-
Dehydrocholic acid (DHCA),401.2333368,383.2227668,418.2598868,374.2700468,381.2071068,337.2172768
Dehydrolithocholic acid (DHLCA),373.2748052,355.2642352,390.3013552,346.3115152,353.2485752,309.2587452
Deoxycholic acid (DCA),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
Deoxycholic acid-3-Sulfate  (DCA-3S),457.2265372,439.2159672,474.2530872,430.2632472,437.2003072,393.2104772
Dioxolithocholic acid,403.248986,385.238416,420.275536,376.285696,383.222756,339.232926
12-Ketochenodeoxycholic acid,405.2646352,387.2540652,422.2911852,378.3013452,385.2384052,341.2485752
3-Oxocholic acid,405.2646352,387.2540652,422.2911852,378.3013452,385.2384052,341.2485752
"3?,6?,7?,12?-Tetrahydroxy-5b-cholanoic acid",423.2751994,405.2646294,440.3017494,396.3119094,403.2489694,359.2591394
Alloisolithocholic acid,375.2904544,357.2798844,392.3170044,348.3271644,355.2642244,311.2743944
12-Ketolithocholic acid (3K-LCA),389.2697202,371.2591502,406.2962702,362.3064302,369.2434902,325.2536602
"6,7-Diketolithocholic acid (6,7DKLCA)",403.248986,385.238416,420.275536,376.285696,383.222756,339.232926
7-Ketodeoxycholic acid (7K-DCA),405.2646352,387.2540652,422.2911852,378.3013452,385.2384052,341.2485752
7-Ketolithocholic acid (7K-LCA),389.2697202,371.2591502,406.2962702,362.3064302,369.2434902,325.2536602
oxo-Lithocholic acid (oxo-LCA),389.2697202,371.2591502,406.2962702,362.3064302,369.2434902,325.2536602
Allocholic acid (ACA),407.2802844,389.2697144,424.3068344,380.3169944,387.2540544,343.2642244
Chenodeoxycholic acid (CDCA),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
Chenodeoxycholic acid-3-Sulfate  (CDCA-3S),471.2421864,453.2316164,488.2687364,444.2788964,451.2159564,407.2261264
Chenodeoxycholic acid-Sulfate (CDCA-S),471.2421864,453.2316164,488.2687364,444.2788964,451.2159564,407.2261264
Cholic acid (CA),407.2802844,389.2697144,424.3068344,380.3169944,387.2540544,343.2642244
Cholic acid-3-Sulfate (CA-3S),487.2371014,469.2265314,504.2636514,460.2738114,467.2108714,423.2210414
Hyocholic acid (HCA),407.2802844,389.2697144,424.3068344,380.3169944,387.2540544,343.2642244
Hyodeoxycholic acid (HDCA),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
isoDeoxycholic acid (isoDCA),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
isoLithocholic acid (isoLCA),375.2904544,357.2798844,392.3170044,348.3271644,355.2642244,311.2743944
Lithocholic acid (LCA),375.2904544,357.2798844,392.3170044,348.3271644,355.2642244,311.2743944
Lithocholic acid-3-Sulfate  (LCA-3S),455.2472714,437.2367014,472.2738214,428.2839814,435.2210414,391.2312114
Murideoxycholic acid (MDCA),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
Murocholic acid (MC),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
Norcholic acid  (NCA),393.2646352,375.2540652,410.2911852,366.3013452,373.2384052,329.2485752
Nordeoxycholic acid (NDCA),377.2697202,359.2591502,394.2962702,350.3064302,357.2434902,313.2536602
Ursocholic acid (UCA),407.2802844,389.2697144,424.3068344,380.3169944,387.2540544,343.2642244
Ursodeoxycholic acid (UDCA),391.2853694,373.2747994,408.3119194,364.3220794,371.2591394,327.2693094
Ursodeoxycholic acid-3-Sulfate  (UDCA-3S),471.2421864,453.2316164,488.2687364,444.2788964,451.2159564,407.2261264
Muricholic acid (MCA),407.2802844,389.2697144,424.3068344,380.3169944,387.2540544,343.2642244
scores,0.45,0.025,0.45,0.025,0.025,0.025
