CerP,[M-H]-,[M-H-H2O]-,[M-R2]-,[M-R2-H2O]-,[H2PO4]-,[PO3]-
CerP(d14:0/2:0),366.2051018,348.1945418,324.1945418,306.1839818,96.96963,78.95906
CerP(d14:0/10:0),478.3303154,460.3197554,324.1946354,306.1840754,96.96963,78.95906
CerP(d14:0/12:0),506.361596,488.351036,324.194636,306.184076,96.96963,78.95906
CerP(d14:0/14:0),534.3928765,516.3823165,324.1946365,306.1840765,96.96963,78.95906
CerP(d14:0/16:0),562.4241875,544.4136275,324.1946675,306.1841075,96.96963,78.95906
CerP(d14:0/18:0),590.4554986,572.4449386,324.1946986,306.1841386,96.96963,78.95906
CerP(d14:0/18:1),588.4398736,570.4293136,324.1947136,306.1841536,96.96963,78.95906
CerP(d14:0/20:0),618.4868096,600.4762496,324.1947296,306.1841696,96.96963,78.95906
CerP(d14:0/22:0),646.5181206,628.5075606,324.1947606,306.1842006,96.96963,78.95906
CerP(d14:0/24:0),674.5494317,656.5388717,324.1947917,306.1842317,96.96963,78.95906
CerP(d14:0/24:1),672.5337456,654.5231856,324.1947456,306.1841856,96.96963,78.95906
CerP(d14:0/24:4),666.4868096,648.4762496,324.1947296,306.1841696,96.96963,78.95906
CerP(d14:0/26:0),702.5806817,684.5701217,324.1947617,306.1842017,96.96963,78.95906
CerP(d14:0/26:1),700.5650567,682.5544967,324.1947767,306.1842167,96.96963,78.95906
CerP(d14:1/2:0),364.1894463,346.1788863,322.1788863,304.1683263,96.96963,78.95906
CerP(d14:1/10:0),476.3146599,458.3040999,322.1789799,304.1684199,96.96963,78.95906
CerP(d14:1/12:0),504.3459404,486.3353804,322.1789804,304.1684204,96.96963,78.95906
CerP(d14:1/14:0),532.3772515,514.3666915,322.1790115,304.1684515,96.96963,78.95906
CerP(d14:1/16:0),560.4085625,542.3980025,322.1790425,304.1684825,96.96963,78.95906
CerP(d14:1/18:0),588.4398736,570.4293136,322.1790736,304.1685136,96.96963,78.95906
CerP(d14:1/18:1),586.4241875,568.4136275,322.1790275,304.1684675,96.96963,78.95906
CerP(d14:1/20:0),616.4711846,598.4606246,322.1791046,304.1685446,96.96963,78.95906
CerP(d14:1/22:0),644.5024346,626.4918746,322.1790746,304.1685146,96.96963,78.95906
CerP(d14:1/24:0),672.5337456,654.5231856,322.1791056,304.1685456,96.96963,78.95906
CerP(d14:1/24:1),670.5181206,652.5075606,322.1791206,304.1685606,96.96963,78.95906
CerP(d14:1/24:4),664.4711846,646.4606246,322.1791046,304.1685446,96.96963,78.95906
CerP(d14:1/26:0),700.5650567,682.5544967,322.1791367,304.1685767,96.96963,78.95906
CerP(d14:1/26:1),698.5494317,680.5388717,322.1791517,304.1685917,96.96963,78.95906
CerP(d15:0/2:0),380.2207573,362.2101973,338.2101973,320.1996373,96.96963,78.95906
CerP(d15:0/10:0),492.3459404,474.3353804,338.2102604,320.1997004,96.96963,78.95906
CerP(d15:0/12:0),520.3772515,502.3666915,338.2102915,320.1997315,96.96963,78.95906
CerP(d15:0/14:0),548.4085625,530.3980025,338.2103225,320.1997625,96.96963,78.95906
CerP(d15:0/16:0),576.4398736,558.4293136,338.2103536,320.1997936,96.96963,78.95906
CerP(d15:0/18:0),604.4711846,586.4606246,338.2103846,320.1998246,96.96963,78.95906
CerP(d15:0/18:1),602.4554986,584.4449386,338.2103386,320.1997786,96.96963,78.95906
CerP(d15:0/20:0),632.5024346,614.4918746,338.2103546,320.1997946,96.96963,78.95906
CerP(d15:0/22:0),660.5337456,642.5231856,338.2103856,320.1998256,96.96963,78.95906
CerP(d15:0/24:0),688.5650567,670.5544967,338.2104167,320.1998567,96.96963,78.95906
CerP(d15:0/24:1),686.5494317,668.5388717,338.2104317,320.1998717,96.96963,78.95906
CerP(d15:0/24:4),680.5024346,662.4918746,338.2103546,320.1997946,96.96963,78.95906
CerP(d15:0/26:0),716.5963677,698.5858077,338.2104477,320.1998877,96.96963,78.95906
CerP(d15:0/26:1),714.5806817,696.5701217,338.2104017,320.1998417,96.96963,78.95906
CerP(d15:1/2:0),378.2051018,360.1945418,336.1945418,318.1839818,96.96963,78.95906
CerP(d15:1/10:0),490.3303154,472.3197554,336.1946354,318.1840754,96.96963,78.95906
CerP(d15:1/12:0),518.3616265,500.3510665,336.1946665,318.1841065,96.96963,78.95906
CerP(d15:1/14:0),546.3928765,528.3823165,336.1946365,318.1840765,96.96963,78.95906
CerP(d15:1/16:0),574.4241875,556.4136275,336.1946675,318.1841075,96.96963,78.95906
CerP(d15:1/18:0),602.4554986,584.4449386,336.1946986,318.1841386,96.96963,78.95906
CerP(d15:1/18:1),600.4398736,582.4293136,336.1947136,318.1841536,96.96963,78.95906
CerP(d15:1/20:0),630.4868096,612.4762496,336.1947296,318.1841696,96.96963,78.95906
CerP(d15:1/22:0),658.5181206,640.5075606,336.1947606,318.1842006,96.96963,78.95906
CerP(d15:1/24:0),686.5494317,668.5388717,336.1947917,318.1842317,96.96963,78.95906
CerP(d15:1/24:1),684.5337456,666.5231856,336.1947456,318.1841856,96.96963,78.95906
CerP(d15:1/24:4),678.4868096,660.4762496,336.1947296,318.1841696,96.96963,78.95906
CerP(d15:1/26:0),714.5806817,696.5701217,336.1947617,318.1842017,96.96963,78.95906
CerP(d15:1/26:1),712.5650567,694.5544967,336.1947767,318.1842167,96.96963,78.95906
CerP(d16:0/2:0),394.2364129,376.2258529,352.2258529,334.2152929,96.96963,78.95906
CerP(d16:0/10:0),506.361596,488.351036,352.225916,334.215356,96.96963,78.95906
CerP(d16:0/12:0),534.3928765,516.3823165,352.2259165,334.2153565,96.96963,78.95906
CerP(d16:0/14:0),562.4241875,544.4136275,352.2259475,334.2153875,96.96963,78.95906
CerP(d16:0/16:0),590.4554986,572.4449386,352.2259786,334.2154186,96.96963,78.95906
CerP(d16:0/18:0),618.4868096,600.4762496,352.2260096,334.2154496,96.96963,78.95906
CerP(d16:0/18:1),616.4711846,598.4606246,352.2260246,334.2154646,96.96963,78.95906
CerP(d16:0/20:0),646.5181206,628.5075606,352.2260406,334.2154806,96.96963,78.95906
CerP(d16:0/22:0),674.5494317,656.5388717,352.2260717,334.2155117,96.96963,78.95906
CerP(d16:0/24:0),702.5806817,684.5701217,352.2260417,334.2154817,96.96963,78.95906
CerP(d16:0/24:1),700.5650567,682.5544967,352.2260567,334.2154967,96.96963,78.95906
CerP(d16:0/24:4),694.5181206,676.5075606,352.2260406,334.2154806,96.96963,78.95906
CerP(d16:0/26:0),730.6119927,712.6014327,352.2260727,334.2155127,96.96963,78.95906
