Cer,[M+Cl]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d10:0/10:0),378.277888,342.30121,312.2907,196.1707,153.1282,170.155
Cer(d10:0/12:0),406.309188,370.33251,340.322,224.202,153.1282,198.1863
Cer(d10:0/13:0),420.324888,384.34821,354.3377,238.2177,153.1282,212.202
Cer(d10:0/14:0),434.340488,398.36381,368.3533,252.2333,153.1282,226.2176
Cer(d10:0/14:1),432.324888,396.34821,366.3377,250.2177,153.1282,224.202
Cer(d10:0/15:0),448.356188,412.37951,382.369,266.249,153.1282,240.2333
Cer(d10:0/15:1),446.340488,410.36381,380.3533,264.2333,153.1282,238.2176
Cer(d10:0/16:0),462.371788,426.39511,396.3846,280.2646,153.1282,254.2489
Cer(d10:0/16:1),460.356188,424.37951,394.369,278.249,153.1282,252.2333
Cer(d10:0/17:0),476.387488,440.41081,410.4003,294.2803,153.1282,268.2646
Cer(d10:0/17:1),474.371788,438.39511,408.3846,292.2646,153.1282,266.2489
Cer(d10:0/17:2),472.356188,436.37951,406.369,290.249,153.1282,264.2333
Cer(d10:0/18:0),490.403088,454.42641,424.4159,308.2959,153.1282,282.2802
Cer(d10:0/18:1),488.387488,452.41081,422.4003,306.2803,153.1282,280.2646
Cer(d10:0/18:2),486.371788,450.39511,420.3846,304.2646,153.1282,278.2489
Cer(d10:0/18:3),484.356188,448.37951,418.369,302.249,153.1282,276.2333
Cer(d10:0/18:4),482.340488,446.36381,416.3533,300.2333,153.1282,274.2176
Cer(d10:0/19:0),504.418788,468.44211,438.4316,322.3116,153.1282,296.2959
Cer(d10:0/20:0),518.434388,482.45771,452.4472,336.3272,153.1282,310.3115
Cer(d10:0/20:1),516.418788,480.44211,450.4316,334.3116,153.1282,308.2959
Cer(d10:0/20:2),514.403088,478.42641,448.4159,332.2959,153.1282,306.2802
Cer(d10:0/20:3),512.387488,476.41081,446.4003,330.2803,153.1282,304.2646
Cer(d10:0/20:4),510.371788,474.39511,444.3846,328.2646,153.1282,302.2489
Cer(d10:0/20:5),508.356188,472.37951,442.369,326.249,153.1282,300.2333
Cer(d10:0/21:0),532.450088,496.47341,466.4629,350.3429,153.1282,324.3272
Cer(d10:0/22:0),546.465688,510.48901,480.4785,364.3585,153.1282,338.3428
Cer(d10:0/22:1),544.450088,508.47341,478.4629,362.3429,153.1282,336.3272
Cer(d10:0/22:2),542.434388,506.45771,476.4472,360.3272,153.1282,334.3115
Cer(d10:0/22:3),540.418788,504.44211,474.4316,358.3116,153.1282,332.2959
Cer(d10:0/22:4),538.403088,502.42641,472.4159,356.2959,153.1282,330.2802
Cer(d10:0/22:5),536.387488,500.41081,470.4003,354.2803,153.1282,328.2646
Cer(d10:0/22:6),534.371788,498.39511,468.3846,352.2646,153.1282,326.2489
Cer(d10:0/23:0),560.481388,524.50471,494.4942,378.3742,153.1282,352.3585
Cer(d10:0/24:0),574.496988,538.52031,508.5098,392.3898,153.1282,366.3741
Cer(d10:0/24:1),572.481388,536.50471,506.4942,390.3742,153.1282,364.3585
Cer(d10:0/25:0),588.512688,552.53601,522.5255,406.4055,153.1282,380.3898
Cer(d10:0/26:0),602.528288,566.55161,536.5411,420.4211,153.1282,394.4054
Cer(d10:0/8:0),350.246588,314.26991,284.2594,168.1394,153.1282,142.1237
Cer(d12:0/10:0),406.309188,370.33251,340.322,196.1707,181.1595,170.155
Cer(d12:0/12:0),434.340488,398.36381,368.3533,224.202,181.1595,198.1863
Cer(d12:0/13:0),448.356188,412.37951,382.369,238.2177,181.1595,212.202
Cer(d12:0/14:0),462.371788,426.39511,396.3846,252.2333,181.1595,226.2176
Cer(d12:0/14:1),460.356188,424.37951,394.369,250.2177,181.1595,224.202
Cer(d12:0/15:0),476.387488,440.41081,410.4003,266.249,181.1595,240.2333
Cer(d12:0/15:1),474.371788,438.39511,408.3846,264.2333,181.1595,238.2176
Cer(d12:0/16:0),490.403088,454.42641,424.4159,280.2646,181.1595,254.2489
Cer(d12:0/16:1),488.387488,452.41081,422.4003,278.249,181.1595,252.2333
Cer(d12:0/17:0),504.418788,468.44211,438.4316,294.2803,181.1595,268.2646
Cer(d12:0/17:1),502.403088,466.42641,436.4159,292.2646,181.1595,266.2489
Cer(d12:0/17:2),500.387488,464.41081,434.4003,290.249,181.1595,264.2333
Cer(d12:0/18:0),518.434388,482.45771,452.4472,308.2959,181.1595,282.2802
Cer(d12:0/18:1),516.418788,480.44211,450.4316,306.2803,181.1595,280.2646
Cer(d12:0/18:2),514.403088,478.42641,448.4159,304.2646,181.1595,278.2489
Cer(d12:0/18:3),512.387488,476.41081,446.4003,302.249,181.1595,276.2333
Cer(d12:0/18:4),510.371788,474.39511,444.3846,300.2333,181.1595,274.2176
Cer(d12:0/19:0),532.450088,496.47341,466.4629,322.3116,181.1595,296.2959
Cer(d12:0/20:0),546.465688,510.48901,480.4785,336.3272,181.1595,310.3115
Cer(d12:0/20:1),544.450088,508.47341,478.4629,334.3116,181.1595,308.2959
Cer(d12:0/20:2),542.434388,506.45771,476.4472,332.2959,181.1595,306.2802
Cer(d12:0/20:3),540.418788,504.44211,474.4316,330.2803,181.1595,304.2646
Cer(d12:0/20:4),538.403088,502.42641,472.4159,328.2646,181.1595,302.2489
Cer(d12:0/20:5),536.387488,500.41081,470.4003,326.249,181.1595,300.2333
Cer(d12:0/21:0),560.481388,524.50471,494.4942,350.3429,181.1595,324.3272
