FA,[M-H]-,[M-H2O]-,[M-CO2]-
FA(12:0),199.1704,181.1598353,0
FA(13:0),213.186,195.1754353,0
FA(14:0),227.2017,209.1911353,0
FA(14:1),225.186,207.1754353,0
FA(15:0),241.2173,223.2067353,0
FA(16:0),255.23295,237.2223853,0
FA(16:1),253.21735,235.2067853,0
FA(16:2),251.20165,233.1910853,0
FA(16:3),249.18605,231.1754853,205.1962208
FA(16:4),247.17035,229.1597853,203.1805208
FA(16:5),245.15475,227.1441853,201.1649208
FA(17:0),269.24855,251.2379853,0
FA(17:1),267.23295,249.2223853,0
FA(17:2),265.21735,247.2067853,0
FA(17:3),263.20165,245.1910853,219.2118208
FA(18:0),283.26425,265.2536853,0
FA(18:1),281.24855,263.2379853,0
FA(18:2),279.23295,261.2223853,0
FA(18:3),277.21735,259.2067853,233.2275208
FA(18:4),275.20165,257.1910853,231.2118208
FA(18:5),273.18605,255.1754853,229.1962208
FA(19:0),297.27995,279.2693853,0
FA(19:1),295.26425,277.2536853,0
FA(19:2),293.24855,275.2379853,0
FA(19:3),291.23295,273.2223853,247.2431208
FA(19:4),289.21735,271.2067853,245.2275208
FA(19:5),287.20165,269.1910853,243.2118208
FA(20:0),311.29555,293.2849853,0
FA(20:1),309.27995,291.2693853,0
FA(20:2),307.26425,289.2536853,0
FA(20:3),305.24855,287.2379853,261.2587208
FA(20:4),303.23295,285.2223853,259.2431208
FA(20:5),301.21735,283.2067853,257.2275208
FA(20:6),299.20165,281.1910853,255.2118208
FA(21:0),325.31125,307.3006853,0
FA(21:1),323.29555,305.2849853,0
FA(21:2),321.27995,303.2693853,0
FA(21:3),319.26425,301.2536853,275.2744208
FA(21:4),317.24855,299.2379853,273.2587208
FA(21:5),315.23295,297.2223853,271.2431208
FA(22:0),339.32685,321.3162853,0
FA(22:1),337.31125,319.3006853,0
FA(22:2),335.29555,317.2849853,0
FA(22:3),333.27995,315.2693853,289.2901208
FA(22:4),331.26425,313.2536853,287.2744208
FA(22:5),329.24855,311.2379853,285.2587208
FA(22:6),327.23295,309.2223853,283.2431208
FA(22:7),325.21735,307.2067853,281.2275208
FA(23:0),353.3425,335.3319353,0
FA(24:0),367.3582,349.3476353,0
FA(24:1),365.3425,347.3319353,0
FA(25:0),381.3738,363.3632353,0
FA(26:0),395.3895,377.3789353,0
scores,0.9,0.05,0.05
