HexCer,[M+CH3COO]-,[M-H]-,[M-H-Hex-H2O]-,[M-H-Hex]-,[Cer-H-H2CO]-,[Cer-H-H2CO-H2O]-,[M-H2O-SN1]-,[M-H2O-SN2amide]-,[M-SN2amide]-
HexCer(d16:1/22:0),814.6414,754.6202,574.5568119,592.5673766,562.5568,544.5462353,364.3585,235.2065,338.3428
HexCer(d16:1/23:0),828.657,768.6359,588.5725119,606.5830766,548.5412,530.5306353,350.3429,235.2065,324.3272
HexCer(d18:0/16:0),760.5944,700.5733,520.5099119,538.5204766,508.5098,490.4992353,280.2646,265.2534,254.2489
HexCer(d18:0/20:0),816.657,756.6359,576.5725119,594.5830766,564.5724,546.5618353,336.3272,265.2534,310.3115
HexCer(d18:0/22:0),844.6883,784.6672,604.6038119,622.6143766,592.6037,574.5931353,364.3585,265.2534,338.3428
HexCer(d18:0/24:0),872.7196,812.6985,632.6351119,650.6456766,620.635,602.6244353,392.3898,265.2534,366.3741
HexCer(d18:0/26:0),900.7509,840.7298,660.6664119,678.6769766,648.6663,630.6557353,420.4211,265.2534,394.4054
HexCer(d18:0/26:1),898.7353,838.7141,658.6507119,676.6612766,646.6507,628.6401353,418.4055,265.2534,392.3898
HexCer(d18:0/26:2),896.7197,836.6985,656.6351119,674.6456766,644.6351,626.6245353,416.3899,265.2534,390.3742
HexCer(d18:1/12:0),702.5162,642.495,462.4316119,480.4421766,450.4316,432.4210353,224.202,263.2378,198.1863
HexCer(d18:1/14:0),730.5475,670.5263,490.4629119,508.4734766,478.4629,460.4523353,252.2333,263.2378,226.2176
HexCer(d18:1/16:0),758.5788,698.5576,518.4942119,536.5047766,506.4942,488.4836353,280.2646,263.2378,254.2489
HexCer(d18:1/16:1),756.5631,696.542,516.4786119,534.4891766,504.4786,486.4680353,278.249,263.2378,252.2333
HexCer(d18:1/18:0),786.6101,726.5889,546.5255119,564.5360766,534.5255,516.5149353,308.2959,263.2378,282.2802
HexCer(d18:1/18:1),784.5944,724.5733,544.5099119,562.5204766,532.5099,514.4993353,306.2803,263.2378,280.2646
HexCer(d18:1/20:0),814.6414,754.6202,574.5568119,592.5673766,562.5568,544.5462353,336.3272,263.2378,310.3115
HexCer(d18:1/20:1),812.6257,752.6046,572.5412119,590.5517766,560.5412,542.5306353,334.3116,263.2378,308.2959
HexCer(d18:1/22:0),842.6727,782.6515,602.5881119,620.5986766,590.5881,572.5775353,364.3585,263.2378,338.3428
HexCer(d18:1/22:1),840.657,780.6359,600.5725119,618.5830766,588.5725,570.5619353,362.3429,263.2378,336.3272
HexCer(d18:1/23:0),856.6883,796.6672,616.6038119,634.6143766,604.6038,586.5932353,378.3742,263.2378,352.3585
HexCer(d18:1/24:0),870.704,810.6828,630.6194119,648.6299766,618.6194,600.6088353,392.3898,263.2378,366.3741
HexCer(d18:1/24:1),868.6883,808.6672,628.6038119,646.6143766,616.6038,598.5932353,390.3742,263.2378,364.3585
HexCer(d18:1/26:0),898.7353,838.7141,658.6507119,676.6612766,646.6507,628.6401353,420.4211,263.2378,394.4054
HexCer(d18:1/26:1),896.7196,836.6985,656.6351119,674.6456766,644.6351,626.6245353,418.4055,263.2378,392.3898
HexCer(d18:2/16:0),756.5631,696.542,516.4786119,534.4891766,504.4785,486.4679353,280.2646,261.2221,254.2489
HexCer(d18:2/20:0),812.6257,752.6046,572.5412119,590.5517766,560.5411,542.5305353,336.3272,261.2221,310.3115
HexCer(d18:2/20:1),810.6101,750.5889,570.5255119,588.5360766,558.5255,540.5149353,334.3116,261.2221,308.2959
HexCer(d18:2/21:0),826.6414,766.6202,586.5568119,604.5673766,574.5568,556.5462353,350.3429,261.2221,324.3272
HexCer(d18:2/22:0),840.657,780.6359,600.5725119,618.5830766,588.5724,570.5618353,364.3585,261.2221,338.3428
HexCer(d18:2/23:0),854.6727,794.6515,614.5881119,632.5986766,602.5881,584.5775353,378.3742,261.2221,352.3585
HexCer(d18:2/23:1),852.657,792.6358,612.5724119,630.5829766,600.5725,582.5619353,376.3586,261.2221,350.3429
scores,0.025,0.18,0.18,0.18,0.18,0.18,0.025,0.025,0.025
