LPA,[M-H]-,[T1_RCOO]-,[Glycerol-3-phosphate]-,[Glycerol-3-phosphate-H2O]-,[PO3]-
LPA(8:0),297.11086,143.10775,171.00644,152.99586,78.95906
LPA(10:0),325.14216,171.13905,171.00644,152.99586,78.95906
LPA(12:0),353.17346,199.17035,171.00644,152.99586,78.95906
LPA(13:0),367.18911,213.186,171.00644,152.99586,78.95906
LPA(14:0),381.20475,227.20164,171.00644,152.99586,78.95906
LPA(14:1),379.18911,225.186,171.00644,152.99586,78.95906
LPA(15:0),395.2204,241.21729,171.00644,152.99586,78.95906
LPA(15:1),393.20475,239.20164,171.00644,152.99586,78.95906
LPA(16:0),409.23605,255.23294,171.00644,152.99586,78.95906
LPA(16:1),407.2204,253.21729,171.00644,152.99586,78.95906
LPA(17:0),423.2517,269.24859,171.00644,152.99586,78.95906
LPA(17:1),421.23605,267.23294,171.00644,152.99586,78.95906
LPA(17:2),419.2204,265.21729,171.00644,152.99586,78.95906
LPA(18:0),437.26735,283.26424,171.00644,152.99586,78.95906
LPA(18:0),435.2517,281.24859,171.00644,152.99586,78.95906
LPA(18:0),433.23605,279.23294,171.00644,152.99586,78.95906
LPA(18:3),431.2204,277.21729,171.00644,152.99586,78.95906
LPA(18:4),429.20475,275.20164,171.00644,152.99586,78.95906
LPA(19:0),451.283,297.27989,171.00644,152.99586,78.95906
LPA(19:1),449.26735,295.26424,171.00644,152.99586,78.95906
LPA(20:0),465.29865,311.29554,171.00644,152.99586,78.95906
LPA(20:1),463.283,309.27989,171.00644,152.99586,78.95906
LPA(20:2),461.26735,307.26424,171.00644,152.99586,78.95906
LPA(20:3),459.2517,305.24859,171.00644,152.99586,78.95906
LPA(20:4),457.23605,303.23294,171.00644,152.99586,78.95906
LPA(20:5),455.2204,301.21729,171.00644,152.99586,78.95906
LPA(21:0),479.3143,325.31119,171.00644,152.99586,78.95906
LPA(22:0),493.32995,339.32684,171.00644,152.99586,78.95906
LPA(22:1),491.3143,337.31119,171.00644,152.99586,78.95906
LPA(22:2),489.29865,335.29554,171.00644,152.99586,78.95906
LPA(22:3),487.283,333.27989,171.00644,152.99586,78.95906
LPA(22:4),485.26735,331.26424,171.00644,152.99586,78.95906
LPA(22:5),483.2517,329.24859,171.00644,152.99586,78.95906
LPA(22:6),481.23605,327.23294,171.00644,152.99586,78.95906
LPA(23:0),507.3456,353.34249,171.00644,152.99586,78.95906
LPA(24:0),521.36125,367.35814,171.00644,152.99586,78.95906
LPA(24:1),519.3456,365.34249,171.00644,152.99586,78.95906
LPA(25:0),535.3769,381.37379,171.00644,152.99586,78.95906
LPA(26:0),549.39254,395.38943,171.00644,152.99586,78.95906
scores,0.3,0.3,0.05,0.3,0.05
