LPC,[M+CH3COO]-,[M-CH3]-,[M-choline]-,[M-R1CO-CH3]-,[M-R1COOH-CH3]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[R1COO]-,[H2PO4]-,[PO3]-
LPC(6:0),414.1899,340.1531,269.0796,242.0799,224.0693,168.0431,152.9958,115.0765,96.9696,78.9591
LPC(8:0),442.2212,368.1844,297.1109,242.0799,224.0693,168.0431,152.9958,143.107755,96.9696,78.9591
LPC(10:0),470.2525,396.2157,325.1422,242.0799,224.0693,168.0431,152.9958,171.139055,96.9696,78.9591
LPC(12:0),498.2838,424.247,353.1735,242.0799,224.0693,168.0431,152.9958,199.170355,96.9696,78.9591
LPC(13:0),512.29945,438.26265,367.18915,242.0799,224.0693,168.0431,152.9958,213.186005,96.9696,78.9591
LPC(14:0),526.3151,452.2783,381.2048,242.0799,224.0693,168.0431,152.9958,227.201655,96.9696,78.9591
LPC(14:1),524.29945,450.26265,379.18915,242.0799,224.0693,168.0431,152.9958,225.186005,96.9696,78.9591
LPC(15:0),540.33075,466.29395,395.22045,242.0799,224.0693,168.0431,152.9958,241.217305,96.9696,78.9591
LPC(15:1),538.3151,464.2783,393.2048,242.0799,224.0693,168.0431,152.9958,239.201655,96.9696,78.9591
LPC(16:0),554.3464,480.3096,409.2361,242.0799,224.0693,168.0431,152.9958,255.232955,96.9696,78.9591
LPC(16:1),552.33075,478.29395,407.22045,242.0799,224.0693,168.0431,152.9958,253.217305,96.9696,78.9591
LPC(17:0),568.36205,494.32525,423.25175,242.0799,224.0693,168.0431,152.9958,269.248605,96.9696,78.9591
LPC(17:1),566.3464,492.3096,421.2361,242.0799,224.0693,168.0431,152.9958,267.232955,96.9696,78.9591
LPC(17:2),564.33075,490.29395,419.22045,242.0799,224.0693,168.0431,152.9958,265.217305,96.9696,78.9591
LPC(18:0),582.3777,508.3409,437.2674,242.0799,224.0693,168.0431,152.9958,283.264255,96.9696,78.9591
LPC(18:1),580.36205,506.32525,435.25175,242.0799,224.0693,168.0431,152.9958,281.248605,96.9696,78.9591
LPC(18:2),578.3464,504.3096,433.2361,242.0799,224.0693,168.0431,152.9958,279.232955,96.9696,78.9591
LPC(18:3),576.33075,502.29395,431.22045,242.0799,224.0693,168.0431,152.9958,277.217305,96.9696,78.9591
LPC(18:4),574.3151,500.2783,429.2048,242.0799,224.0693,168.0431,152.9958,275.201655,96.9696,78.9591
LPC(19:0),596.39335,522.35655,451.28305,242.0799,224.0693,168.0431,152.9958,297.279905,96.9696,78.9591
LPC(20:0),610.409,536.3722,465.2987,242.0799,224.0693,168.0431,152.9958,311.295555,96.9696,78.9591
LPC(20:1),608.39335,534.35655,463.28305,242.0799,224.0693,168.0431,152.9958,309.279905,96.9696,78.9591
LPC(20:2),606.3777,532.3409,461.2674,242.0799,224.0693,168.0431,152.9958,307.264255,96.9696,78.9591
LPC(20:3),604.36205,530.32525,459.25175,242.0799,224.0693,168.0431,152.9958,305.248605,96.9696,78.9591
LPC(20:4),602.3464,528.3096,457.2361,242.0799,224.0693,168.0431,152.9958,303.232955,96.9696,78.9591
LPC(20:5),600.33075,526.29395,455.22045,242.0799,224.0693,168.0431,152.9958,301.217305,96.9696,78.9591
LPC(21:0),624.42465,550.38785,479.31435,242.0799,224.0693,168.0431,152.9958,325.311205,96.9696,78.9591
LPC(22:0),638.4403,564.4035,493.33,242.0799,224.0693,168.0431,152.9958,339.326855,96.9696,78.9591
LPC(22:1),636.42465,562.38785,491.31435,242.0799,224.0693,168.0431,152.9958,337.311205,96.9696,78.9591
LPC(22:2),634.409,560.3722,489.2987,242.0799,224.0693,168.0431,152.9958,335.295555,96.9696,78.9591
LPC(22:3),632.39335,558.35655,487.28305,242.0799,224.0693,168.0431,152.9958,333.279905,96.9696,78.9591
LPC(22:4),630.3777,556.3409,485.2674,242.0799,224.0693,168.0431,152.9958,331.264255,96.9696,78.9591
LPC(22:5),628.36205,554.32525,483.25175,242.0799,224.0693,168.0431,152.9958,329.248605,96.9696,78.9591
LPC(22:6),626.3464,552.3096,481.2361,242.0799,224.0693,168.0431,152.9958,327.232955,96.9696,78.9591
LPC(23:0),652.45595,578.41915,507.34565,242.0799,224.0693,168.0431,152.9958,353.342505,96.9696,78.9591
LPC(24:0),666.4716,592.4348,521.3613,242.0799,224.0693,168.0431,152.9958,367.358155,96.9696,78.9591
LPC(24:1),664.45595,590.41915,519.34565,242.0799,224.0693,168.0431,152.9958,365.342505,96.9696,78.9591
LPC(25:0),680.48725,606.45045,535.37695,242.0799,224.0693,168.0431,152.9958,381.373805,96.9696,78.9591
LPC(26:0),694.5029,620.4661,549.3926,242.0799,224.0693,168.0431,152.9958,395.389455,96.9696,78.9591
LPC(28:0),722.5342,648.4974,577.4239,242.0799,224.0693,168.0431,152.9958,395.389455,96.9696,78.9591
LPC(28:1),692.48725,618.45045,547.37695,242.0799,224.0693,168.0431,152.9958,395.389455,96.9696,78.9591
scores,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.9,0.011111111,0.011111111
