LPC,[M+HCOO]-,[M-CH3]-,[M-choline]-,[M-R1CO-CH3]-,[M-R1COOH-CH3]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[R1COO]-,[H2PO4]-,[PO3]-
LPC(8:0),428.2055,368.1844,297.1109,242.0799,224.0693,168.0431,152.9958,143.107755,96.9696,78.9591
LPC(10:0),456.2368,396.2157,325.1422,242.0799,224.0693,168.0431,152.9958,171.139055,96.9696,78.9591
LPC(12:0),484.2681,424.247,353.1735,242.0799,224.0693,168.0431,152.9958,199.170355,96.9696,78.9591
LPC(13:0),498.28375,438.26265,367.18915,242.0799,224.0693,168.0431,152.9958,213.186005,96.9696,78.9591
LPC(14:0),512.2994,452.2783,381.2048,242.0799,224.0693,168.0431,152.9958,227.201655,96.9696,78.9591
LPC(14:1),510.28375,450.26265,379.18915,242.0799,224.0693,168.0431,152.9958,225.186005,96.9696,78.9591
LPC(15:0),526.31505,466.29395,395.22045,242.0799,224.0693,168.0431,152.9958,241.217305,96.9696,78.9591
LPC(15:1),524.2994,464.2783,393.2048,242.0799,224.0693,168.0431,152.9958,239.201655,96.9696,78.9591
LPC(16:0),540.3307,480.3096,409.2361,242.0799,224.0693,168.0431,152.9958,255.232955,96.9696,78.9591
LPC(16:1),538.31505,478.29395,407.22045,242.0799,224.0693,168.0431,152.9958,253.217305,96.9696,78.9591
LPC(17:0),554.34635,494.32525,423.25175,242.0799,224.0693,168.0431,152.9958,269.248605,96.9696,78.9591
LPC(17:1),552.3307,492.3096,421.2361,242.0799,224.0693,168.0431,152.9958,267.232955,96.9696,78.9591
LPC(17:2),550.31505,490.29395,419.22045,242.0799,224.0693,168.0431,152.9958,265.217305,96.9696,78.9591
LPC(18:0),568.362,508.3409,437.2674,242.0799,224.0693,168.0431,152.9958,283.264255,96.9696,78.9591
LPC(18:1),566.34635,506.32525,435.25175,242.0799,224.0693,168.0431,152.9958,281.248605,96.9696,78.9591
LPC(18:2),564.3307,504.3096,433.2361,242.0799,224.0693,168.0431,152.9958,279.232955,96.9696,78.9591
LPC(18:3),562.31505,502.29395,431.22045,242.0799,224.0693,168.0431,152.9958,277.217305,96.9696,78.9591
LPC(18:4),560.2994,500.2783,429.2048,242.0799,224.0693,168.0431,152.9958,275.201655,96.9696,78.9591
LPC(19:0),582.37765,522.35655,451.28305,242.0799,224.0693,168.0431,152.9958,297.279905,96.9696,78.9591
LPC(20:0),596.3933,536.3722,465.2987,242.0799,224.0693,168.0431,152.9958,311.295555,96.9696,78.9591
LPC(20:1),594.37765,534.35655,463.28305,242.0799,224.0693,168.0431,152.9958,309.279905,96.9696,78.9591
LPC(20:2),592.362,532.3409,461.2674,242.0799,224.0693,168.0431,152.9958,307.264255,96.9696,78.9591
LPC(20:3),590.34635,530.32525,459.25175,242.0799,224.0693,168.0431,152.9958,305.248605,96.9696,78.9591
LPC(20:4),588.3307,528.3096,457.2361,242.0799,224.0693,168.0431,152.9958,303.232955,96.9696,78.9591
LPC(20:5),586.31505,526.29395,455.22045,242.0799,224.0693,168.0431,152.9958,301.217305,96.9696,78.9591
LPC(21:0),610.40895,550.38785,479.31435,242.0799,224.0693,168.0431,152.9958,325.311205,96.9696,78.9591
LPC(22:0),624.4246,564.4035,493.33,242.0799,224.0693,168.0431,152.9958,339.326855,96.9696,78.9591
LPC(22:1),622.40895,562.38785,491.31435,242.0799,224.0693,168.0431,152.9958,337.311205,96.9696,78.9591
LPC(22:2),620.3933,560.3722,489.2987,242.0799,224.0693,168.0431,152.9958,335.295555,96.9696,78.9591
LPC(22:3),618.37765,558.35655,487.28305,242.0799,224.0693,168.0431,152.9958,333.279905,96.9696,78.9591
LPC(22:4),616.362,556.3409,485.2674,242.0799,224.0693,168.0431,152.9958,331.264255,96.9696,78.9591
LPC(22:5),614.34635,554.32525,483.25175,242.0799,224.0693,168.0431,152.9958,329.248605,96.9696,78.9591
LPC(22:6),612.3307,552.3096,481.2361,242.0799,224.0693,168.0431,152.9958,327.232955,96.9696,78.9591
LPC(23:0),638.44025,578.41915,507.34565,242.0799,224.0693,168.0431,152.9958,353.342505,96.9696,78.9591
LPC(24:0),652.4559,592.4348,521.3613,242.0799,224.0693,168.0431,152.9958,367.358155,96.9696,78.9591
LPC(24:1),650.44025,590.41915,519.34565,242.0799,224.0693,168.0431,152.9958,365.342505,96.9696,78.9591
LPC(25:0),666.47155,606.45045,535.37695,242.0799,224.0693,168.0431,152.9958,381.373805,96.9696,78.9591
LPC(26:0),680.4872,620.4661,549.3926,242.0799,224.0693,168.0431,152.9958,395.389455,96.9696,78.9591
scores,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.9,0.011111111,0.011111111
