LPI,[M-H]-,[M-T1RCH=C=O]-,[M-T1RCOOH]-,[T1_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PI-2H2O]-,[PI-H2O]-,[M-PI]-,[M-PI-H2O]-
LPI(8:0),459.1632,333.059275,315.048715,143.107755,152.99586,96.96964,78.95852,223.0013,241.0119,297.1109,279.1003353
LPI(10:0),487.1945,333.059275,315.048715,171.139055,152.99586,96.96964,78.95852,223.0013,241.0119,325.1422,307.1316353
LPI(12:0),515.2258,333.059275,315.048715,199.170355,152.99586,96.96964,78.95852,223.0013,241.0119,353.1735,335.1629353
LPI(13:0),529.24145,333.059275,315.048715,213.186005,152.99586,96.96964,78.95852,223.0013,241.0119,367.18915,349.1785853
LPI(14:0),543.2571,333.059275,315.048715,227.201655,152.99586,96.96964,78.95852,223.0013,241.0119,381.2048,363.1942353
LPI(14:1),541.24145,333.059275,315.048715,225.186005,152.99586,96.96964,78.95852,223.0013,241.0119,379.18915,361.1785853
LPI(15:0),557.27275,333.059275,315.048715,241.217305,152.99586,96.96964,78.95852,223.0013,241.0119,395.22045,377.2098853
LPI(15:1),555.2571,333.059275,315.048715,239.201655,152.99586,96.96964,78.95852,223.0013,241.0119,393.2048,375.1942353
LPI(16:0),571.2884,333.059275,315.048715,255.232955,152.99586,96.96964,78.95852,223.0013,241.0119,409.2361,391.2255353
LPI(16:1),569.27275,333.059275,315.048715,253.217305,152.99586,96.96964,78.95852,223.0013,241.0119,407.22045,389.2098853
LPI(17:0),585.30405,333.059275,315.048715,269.248605,152.99586,96.96964,78.95852,223.0013,241.0119,423.25175,405.2411853
LPI(17:1),583.2884,333.059275,315.048715,267.232955,152.99586,96.96964,78.95852,223.0013,241.0119,421.2361,403.2255353
LPI(17:2),581.27275,333.059275,315.048715,265.217305,152.99586,96.96964,78.95852,223.0013,241.0119,419.22045,401.2098853
LPI(18:0),599.3197,333.059275,315.048715,283.264255,152.99586,96.96964,78.95852,223.0013,241.0119,437.2674,419.2568353
LPI(18:1),597.30405,333.059275,315.048715,281.248605,152.99586,96.96964,78.95852,223.0013,241.0119,435.25175,417.2411853
LPI(18:2),595.2884,333.059275,315.048715,279.232955,152.99586,96.96964,78.95852,223.0013,241.0119,433.2361,415.2255353
LPI(18:3),593.27275,333.059275,315.048715,277.217305,152.99586,96.96964,78.95852,223.0013,241.0119,431.22045,413.2098853
LPI(18:4),591.2571,333.059275,315.048715,275.201655,152.99586,96.96964,78.95852,223.0013,241.0119,429.2048,411.1942353
LPI(19:0),613.33535,333.059275,315.048715,297.279905,152.99586,96.96964,78.95852,223.0013,241.0119,451.28305,433.2724853
LPI(20:0),627.351,333.059275,315.048715,311.295555,152.99586,96.96964,78.95852,223.0013,241.0119,465.2987,447.2881353
LPI(20:1),625.33535,333.059275,315.048715,309.279905,152.99586,96.96964,78.95852,223.0013,241.0119,463.28305,445.2724853
LPI(20:2),623.3197,333.059275,315.048715,307.264255,152.99586,96.96964,78.95852,223.0013,241.0119,461.2674,443.2568353
LPI(20:3),621.30405,333.059275,315.048715,305.248605,152.99586,96.96964,78.95852,223.0013,241.0119,459.25175,441.2411853
LPI(20:4),619.2884,333.059275,315.048715,303.232955,152.99586,96.96964,78.95852,223.0013,241.0119,457.2361,439.2255353
LPI(20:5),617.27275,333.059275,315.048715,301.217305,152.99586,96.96964,78.95852,223.0013,241.0119,455.22045,437.2098853
LPI(21:0),641.36665,333.059275,315.048715,325.311205,152.99586,96.96964,78.95852,223.0013,241.0119,479.31435,461.3037853
LPI(22:0),655.3823,333.059275,315.048715,339.326855,152.99586,96.96964,78.95852,223.0013,241.0119,493.33,475.3194353
LPI(22:1),653.36665,333.059275,315.048715,337.311205,152.99586,96.96964,78.95852,223.0013,241.0119,491.31435,473.3037853
LPI(22:2),651.351,333.059275,315.048715,335.295555,152.99586,96.96964,78.95852,223.0013,241.0119,489.2987,471.2881353
LPI(22:3),649.33535,333.059275,315.048715,333.279905,152.99586,96.96964,78.95852,223.0013,241.0119,487.28305,469.2724853
LPI(22:4),647.3197,333.059275,315.048715,331.264255,152.99586,96.96964,78.95852,223.0013,241.0119,485.2674,467.2568353
LPI(22:5),645.30405,333.059275,315.048715,329.248605,152.99586,96.96964,78.95852,223.0013,241.0119,483.25175,465.2411853
LPI(22:6),643.2884,333.059275,315.048715,327.232955,152.99586,96.96964,78.95852,223.0013,241.0119,481.2361,463.2255353
LPI(23:0),669.39795,333.059275,315.048715,353.342505,152.99586,96.96964,78.95852,223.0013,241.0119,507.34565,489.3350853
LPI(24:0),683.4136,333.059275,315.048715,367.358155,152.99586,96.96964,78.95852,223.0013,241.0119,521.3613,503.3507353
LPI(24:1),681.39795,333.059275,315.048715,365.342505,152.99586,96.96964,78.95852,223.0013,241.0119,519.34565,501.3350853
LPI(25:0),697.42925,333.059275,315.048715,381.373805,152.99586,96.96964,78.95852,223.0013,241.0119,535.37695,517.3663853
LPI(26:0),711.4449,333.059275,315.048715,395.389455,152.99586,96.96964,78.95852,223.0013,241.0119,549.3926,531.3820353
scores,0.3,0.0125,0.0125,0.3,0.0125,0.0125,0.0125,0.0125,0.3,0.0125,0.0125
