PA,[M-H]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPA-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PA(12:0_13:0),549.35626,367.18919,353.17349,349.17863,335.16293,224.06881,199.17035,213.18605,171.00644,152.99586,96.96964,78.95852
PA(8:0_8:0),423.21536,297.11089,297.11089,279.10033,279.10033,224.06881,143.10775,143.10775,171.00644,152.99586,96.96964,78.95852
PA(8:0_10:0),451.24666,325.14219,297.11089,307.13163,279.10033,224.06881,143.10775,171.13905,171.00644,152.99586,96.96964,78.95852
PA(8:0_12:0),479.27796,353.17349,297.11089,335.16293,279.10033,224.06881,143.10775,199.17035,171.00644,152.99586,96.96964,78.95852
PA(8:0_13:0),493.29366,367.18919,297.11089,349.17863,279.10033,224.06881,143.10775,213.18605,171.00644,152.99586,96.96964,78.95852
PA(8:0_14:0),507.30926,381.20479,297.11089,363.19423,279.10033,224.06881,143.10775,227.20165,171.00644,152.99586,96.96964,78.95852
PA(8:0_14:1),505.29366,379.18919,297.11089,361.17863,279.10033,224.06881,143.10775,225.18605,171.00644,152.99586,96.96964,78.95852
PA(8:0_15:0),521.32496,395.22049,297.11089,377.20993,279.10033,224.06881,143.10775,241.21735,171.00644,152.99586,96.96964,78.95852
PA(8:0_15:1),519.30926,393.20479,297.11089,375.19423,279.10033,224.06881,143.10775,239.20165,171.00644,152.99586,96.96964,78.95852
PA(8:0_16:0),535.34056,409.23609,297.11089,391.22553,279.10033,224.06881,143.10775,255.23295,171.00644,152.99586,96.96964,78.95852
PA(8:0_16:1),533.32496,407.22049,297.11089,389.20993,279.10033,224.06881,143.10775,253.21735,171.00644,152.99586,96.96964,78.95852
PA(8:0_17:0),549.35626,423.25179,297.11089,405.24123,279.10033,224.06881,143.10775,269.24865,171.00644,152.99586,96.96964,78.95852
PA(8:0_17:1),547.34056,421.23609,297.11089,403.22553,279.10033,224.06881,143.10775,267.23295,171.00644,152.99586,96.96964,78.95852
PA(8:0_17:2),545.32496,419.22049,297.11089,401.20993,279.10033,224.06881,143.10775,265.21735,171.00644,152.99586,96.96964,78.95852
PA(8:0_18:0),563.37186,437.26739,297.11089,419.25683,279.10033,224.06881,143.10775,283.26425,171.00644,152.99586,96.96964,78.95852
PA(8:0_18:1),561.35626,435.25179,297.11089,417.24123,279.10033,224.06881,143.10775,281.24865,171.00644,152.99586,96.96964,78.95852
PA(8:0_18:2),559.34056,433.23609,297.11089,415.22553,279.10033,224.06881,143.10775,279.23295,171.00644,152.99586,96.96964,78.95852
PA(8:0_18:3),557.32496,431.22049,297.11089,413.20993,279.10033,224.06881,143.10775,277.21735,171.00644,152.99586,96.96964,78.95852
PA(8:0_18:4),555.30926,429.20479,297.11089,411.19423,279.10033,224.06881,143.10775,275.20165,171.00644,152.99586,96.96964,78.95852
PA(8:0_19:0),577.38756,451.28309,297.11089,433.27253,279.10033,224.06881,143.10775,297.27995,171.00644,152.99586,96.96964,78.95852
PA(8:0_20:0),591.40316,465.29869,297.11089,447.28813,279.10033,224.06881,143.10775,311.29555,171.00644,152.99586,96.96964,78.95852
PA(8:0_20:1),589.38756,463.28309,297.11089,445.27253,279.10033,224.06881,143.10775,309.27995,171.00644,152.99586,96.96964,78.95852
PA(8:0_20:2),587.37186,461.26739,297.11089,443.25683,279.10033,224.06881,143.10775,307.26425,171.00644,152.99586,96.96964,78.95852
PA(8:0_20:3),585.35626,459.25179,297.11089,441.24123,279.10033,224.06881,143.10775,305.24865,171.00644,152.99586,96.96964,78.95852
PA(8:0_20:4),583.34056,457.23609,297.11089,439.22553,279.10033,224.06881,143.10775,303.23295,171.00644,152.99586,96.96964,78.95852
PA(8:0_20:5),581.32496,455.22049,297.11089,437.20993,279.10033,224.06881,143.10775,301.21735,171.00644,152.99586,96.96964,78.95852
