PC,[M+CH3COO]-,[M-CH3]-,[M-choline]-,[M-R1CO]-,[M-R2CO]-,[M-R1COO-choline]-,[M-R2COO-choline]-,[R1COO]-,[R2COO]-,[Glycerophosphocholine-CH3-H2O]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PC(8:0_8:0),568.3256,494.2888,423.2153,368.1844,368.1844,350.1738,350.1738,143.1078,143.1078,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_10:0),596.3569,522.3201,451.2466,396.2157,368.1844,378.2051,350.1738,143.1078,171.1391,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_12:0),624.3882,550.3514,479.2779,424.247,368.1844,406.2364,350.1738,143.1078,199.1704,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_13:0),638.4039,564.3671,493.2936,438.2627,368.1844,420.2521,350.1738,143.1078,213.1861,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_14:0),652.4195,578.3827,507.3092,452.2783,368.1844,434.2677,350.1738,143.1078,227.2017,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_14:1),650.4039,576.3671,505.2936,450.2627,368.1844,432.2521,350.1738,143.1078,225.1861,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_15:0),666.4352,592.3984,521.3249,466.294,368.1844,448.2834,350.1738,143.1078,241.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_15:1),664.4195,590.3827,519.3092,464.2783,368.1844,446.2677,350.1738,143.1078,239.2017,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_16:0),680.4508,606.414,535.3405,480.3096,368.1844,462.299,350.1738,143.1078,255.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_16:1),678.4352,604.3984,533.3249,478.294,368.1844,460.2834,350.1738,143.1078,253.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_17:0),694.4665,620.4297,549.3562,494.3253,368.1844,476.3147,350.1738,143.1078,269.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_17:1),692.4508,618.414,547.3405,492.3096,368.1844,474.299,350.1738,143.1078,267.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_17:2),690.4352,616.3984,545.3249,490.294,368.1844,472.2834,350.1738,143.1078,265.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_18:0),708.4821,634.4453,563.3718,508.3409,368.1844,490.3303,350.1738,143.1078,283.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_18:1),706.4665,632.4297,561.3562,506.3253,368.1844,488.3147,350.1738,143.1078,281.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_18:2),704.4508,630.414,559.3405,504.3096,368.1844,486.299,350.1738,143.1078,279.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_18:3),702.4352,628.3984,557.3249,502.294,368.1844,484.2834,350.1738,143.1078,277.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_18:4),700.4195,626.3827,555.3092,500.2783,368.1844,482.2677,350.1738,143.1078,275.2017,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_19:0),722.4978,648.461,577.3875,522.3566,368.1844,504.346,350.1738,143.1078,297.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_20:0),736.5134,662.4766,591.4031,536.3722,368.1844,518.3616,350.1738,143.1078,311.2956,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_20:1),734.4978,660.461,589.3875,534.3566,368.1844,516.346,350.1738,143.1078,309.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_20:2),732.4821,658.4453,587.3718,532.3409,368.1844,514.3303,350.1738,143.1078,307.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_20:3),730.4665,656.4297,585.3562,530.3253,368.1844,512.3147,350.1738,143.1078,305.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_20:4),728.4508,654.414,583.3405,528.3096,368.1844,510.299,350.1738,143.1078,303.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_20:5),726.4352,652.3984,581.3249,526.294,368.1844,508.2834,350.1738,143.1078,301.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_21:0),750.5291,676.4923,605.4188,550.3879,368.1844,532.3773,350.1738,143.1078,325.3113,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:0),764.5447,690.5079,619.4344,564.4035,368.1844,546.3929,350.1738,143.1078,339.3269,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:1),762.5291,688.4923,617.4188,562.3879,368.1844,544.3773,350.1738,143.1078,337.3113,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:2),760.5134,686.4766,615.4031,560.3722,368.1844,542.3616,350.1738,143.1078,335.2956,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:3),758.4978,684.461,613.3875,558.3566,368.1844,540.346,350.1738,143.1078,333.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:4),756.4821,682.4453,611.3718,556.3409,368.1844,538.3303,350.1738,143.1078,331.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:5),754.4665,680.4297,609.3562,554.3253,368.1844,536.3147,350.1738,143.1078,329.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_22:6),752.4508,678.414,607.3405,552.3096,368.1844,534.299,350.1738,143.1078,327.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_23:0),778.5604,704.5236,633.4501,578.4192,368.1844,560.4086,350.1738,143.1078,353.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_24:0),792.576,718.5392,647.4657,592.4348,368.1844,574.4242,350.1738,143.1078,367.3582,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_24:1),790.5604,716.5236,645.4501,590.4192,368.1844,572.4086,350.1738,143.1078,365.3426,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_25:0),806.5917,732.5549,661.4814,606.4505,368.1844,588.4399,350.1738,143.1078,381.3739,224.0693,168.0431,152.9958,96.9696,78.9591
PC(8:0_26:0),820.6073,746.5705,675.497,620.4661,368.1844,602.4555,350.1738,143.1078,395.3895,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_10:0),624.3882,550.3514,479.2779,396.2157,396.2157,378.2051,378.2051,171.1391,171.1391,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_12:0),652.4195,578.3827,507.3092,424.247,396.2157,406.2364,378.2051,171.1391,199.1704,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_13:0),666.4352,592.3984,521.3249,438.2627,396.2157,420.2521,378.2051,171.1391,213.1861,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_14:0),680.4508,606.414,535.3405,452.2783,396.2157,434.2677,378.2051,171.1391,227.2017,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_14:1),678.4352,604.3984,533.3249,450.2627,396.2157,432.2521,378.2051,171.1391,225.1861,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_15:0),694.4665,620.4297,549.3562,466.294,396.2157,448.2834,378.2051,171.1391,241.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_15:1),692.4508,618.414,547.3405,464.2783,396.2157,446.2677,378.2051,171.1391,239.2017,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_16:0),708.4821,634.4453,563.3718,480.3096,396.2157,462.299,378.2051,171.1391,255.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_16:1),706.4665,632.4297,561.3562,478.294,396.2157,460.2834,378.2051,171.1391,253.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_17:0),722.4978,648.461,577.3875,494.3253,396.2157,476.3147,378.2051,171.1391,269.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_17:1),720.4821,646.4453,575.3718,492.3096,396.2157,474.299,378.2051,171.1391,267.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_17:2),718.4665,644.4297,573.3562,490.294,396.2157,472.2834,378.2051,171.1391,265.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_18:0),736.5134,662.4766,591.4031,508.3409,396.2157,490.3303,378.2051,171.1391,283.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_18:1),734.4978,660.461,589.3875,506.3253,396.2157,488.3147,378.2051,171.1391,281.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_18:2),732.4821,658.4453,587.3718,504.3096,396.2157,486.299,378.2051,171.1391,279.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_18:3),730.4665,656.4297,585.3562,502.294,396.2157,484.2834,378.2051,171.1391,277.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_18:4),728.4508,654.414,583.3405,500.2783,396.2157,482.2677,378.2051,171.1391,275.2017,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_19:0),750.5291,676.4923,605.4188,522.3566,396.2157,504.346,378.2051,171.1391,297.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_20:0),764.5447,690.5079,619.4344,536.3722,396.2157,518.3616,378.2051,171.1391,311.2956,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_20:1),762.5291,688.4923,617.4188,534.3566,396.2157,516.346,378.2051,171.1391,309.28,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_20:2),760.5134,686.4766,615.4031,532.3409,396.2157,514.3303,378.2051,171.1391,307.2643,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_20:3),758.4978,684.461,613.3875,530.3253,396.2157,512.3147,378.2051,171.1391,305.2487,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_20:4),756.4821,682.4453,611.3718,528.3096,396.2157,510.299,378.2051,171.1391,303.233,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_20:5),754.4665,680.4297,609.3562,526.294,396.2157,508.2834,378.2051,171.1391,301.2174,224.0693,168.0431,152.9958,96.9696,78.9591
PC(10:0_21:0),778.5604,704.5236,633.4501,550.3879,396.2157,532.3773,378.2051,171.1391,325.3113,224.0693,168.0431,152.9958,96.9696,78.9591
