PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(8:0_8:0),497.25216,423.21538,371.14769,371.14769,353.13713,353.13713,297.11091,297.11091,279.10035,279.10035,143.10775,143.10775,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_10:0),525.28346,451.24668,399.17899,371.14769,381.16843,353.13713,325.14221,297.11091,307.13165,279.10035,143.10775,171.13905,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_12:0),553.31476,479.27798,427.21029,371.14769,409.19973,353.13713,353.17351,297.11091,335.16295,279.10035,143.10775,199.17035,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_13:0),567.33046,493.29368,441.22599,371.14769,423.21543,353.13713,367.18921,297.11091,349.17865,279.10035,143.10775,213.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_14:0),581.34606,507.30928,455.24159,371.14769,437.23103,353.13713,381.20481,297.11091,363.19425,279.10035,143.10775,227.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_14:1),579.33046,505.29368,453.22599,371.14769,435.21543,353.13713,379.18921,297.11091,361.17865,279.10035,143.10775,225.18605,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_15:0),595.36176,521.32498,469.25729,371.14769,451.24673,353.13713,395.22051,297.11091,377.20995,279.10035,143.10775,241.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_15:1),593.34606,519.30928,467.24159,371.14769,449.23103,353.13713,393.20481,297.11091,375.19425,279.10035,143.10775,239.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_16:0),609.37736,535.34058,483.27289,371.14769,465.26233,353.13713,409.23611,297.11091,391.22555,279.10035,143.10775,255.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_16:1),607.36176,533.32498,481.25729,371.14769,463.24673,353.13713,407.22051,297.11091,389.20995,279.10035,143.10775,253.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_17:0),623.39306,549.35628,497.28859,371.14769,479.27803,353.13713,423.25181,297.11091,405.24125,279.10035,143.10775,269.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_17:1),621.37736,547.34058,495.27289,371.14769,477.26233,353.13713,421.23611,297.11091,403.22555,279.10035,143.10775,267.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_17:2),619.36176,545.32498,493.25729,371.14769,475.24673,353.13713,419.22051,297.11091,401.20995,279.10035,143.10775,265.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_18:0),637.40866,563.37188,511.30419,371.14769,493.29363,353.13713,437.26741,297.11091,419.25685,279.10035,143.10775,283.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_18:1),635.39306,561.35628,509.28859,371.14769,491.27803,353.13713,435.25181,297.11091,417.24125,279.10035,143.10775,281.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_18:2),633.37736,559.34058,507.27289,371.14769,489.26233,353.13713,433.23611,297.11091,415.22555,279.10035,143.10775,279.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_18:3),631.36176,557.32498,505.25729,371.14769,487.24673,353.13713,431.22051,297.11091,413.20995,279.10035,143.10775,277.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_18:4),629.34606,555.30928,503.24159,371.14769,485.23103,353.13713,429.20481,297.11091,411.19425,279.10035,143.10775,275.20165,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_19:0),651.42436,577.38758,525.31989,371.14769,507.30933,353.13713,451.28311,297.11091,433.27255,279.10035,143.10775,297.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_20:0),665.43996,591.40318,539.33549,371.14769,521.32493,353.13713,465.29871,297.11091,447.28815,279.10035,143.10775,311.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_20:1),663.42436,589.38758,537.31989,371.14769,519.30933,353.13713,463.28311,297.11091,445.27255,279.10035,143.10775,309.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_20:2),661.40866,587.37188,535.30419,371.14769,517.29363,353.13713,461.26741,297.11091,443.25685,279.10035,143.10775,307.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_20:3),659.39306,585.35628,533.28859,371.14769,515.27803,353.13713,459.25181,297.11091,441.24125,279.10035,143.10775,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_20:4),657.37736,583.34058,531.27289,371.14769,513.26233,353.13713,457.23611,297.11091,439.22555,279.10035,143.10775,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(8:0_20:5),655.36176,581.32498,529.25729,371.14769,511.24673,353.13713,455.22051,297.11091,437.20995,279.10035,143.10775,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
