PI,[M-H]-,[M-Inositol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Inositol]-,[M-T2RCH=C=O-Inositol]-,[M-T1RCOOH-Inositol]-,[M-T2RCOOH-Inositol]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PI]-,[PI-H2O]-,[PI-2H2O]-,[Glycerophosphoinositol-H2O]-,[Glycerophosphoinositol-2H2O]-
PI(8:0_8:0),585.26822,423.21538,459.16375,459.16375,441.15319,441.15319,297.11091,297.11091,279.10035,279.10035,143.10775,143.10775,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_10:0),613.29952,451.24668,487.19505,459.16375,469.18449,441.15319,325.14221,297.11091,307.13165,279.10035,143.10775,171.13905,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_12:0),641.33082,479.27798,515.22635,459.16375,497.21579,441.15319,353.17351,297.11091,335.16295,279.10035,143.10775,199.17035,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_13:0),655.34652,493.29368,529.24205,459.16375,511.23149,441.15319,367.18921,297.11091,349.17865,279.10035,143.10775,213.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_14:0),669.36212,507.30928,543.25765,459.16375,525.24709,441.15319,381.20481,297.11091,363.19425,279.10035,143.10775,227.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_14:1),667.34652,505.29368,541.24205,459.16375,523.23149,441.15319,379.18921,297.11091,361.17865,279.10035,143.10775,225.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_15:0),683.37782,521.32498,557.27335,459.16375,539.26279,441.15319,395.22051,297.11091,377.20995,279.10035,143.10775,241.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_15:1),681.36212,519.30928,555.25765,459.16375,537.24709,441.15319,393.20481,297.11091,375.19425,279.10035,143.10775,239.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_16:0),697.39342,535.34058,571.28895,459.16375,553.27839,441.15319,409.23611,297.11091,391.22555,279.10035,143.10775,255.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_16:1),695.37782,533.32498,569.27335,459.16375,551.26279,441.15319,407.22051,297.11091,389.20995,279.10035,143.10775,253.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_17:0),711.40912,549.35628,585.30465,459.16375,567.29409,441.15319,423.25181,297.11091,405.24125,279.10035,143.10775,269.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_17:1),709.39342,547.34058,583.28895,459.16375,565.27839,441.15319,421.23611,297.11091,403.22555,279.10035,143.10775,267.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_17:2),707.37782,545.32498,581.27335,459.16375,563.26279,441.15319,419.22051,297.11091,401.20995,279.10035,143.10775,265.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_18:0),725.42472,563.37188,599.32025,459.16375,581.30969,441.15319,437.26741,297.11091,419.25685,279.10035,143.10775,283.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_18:1),723.40912,561.35628,597.30465,459.16375,579.29409,441.15319,435.25181,297.11091,417.24125,279.10035,143.10775,281.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_18:2),721.39342,559.34058,595.28895,459.16375,577.27839,441.15319,433.23611,297.11091,415.22555,279.10035,143.10775,279.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_18:3),719.37782,557.32498,593.27335,459.16375,575.26279,441.15319,431.22051,297.11091,413.20995,279.10035,143.10775,277.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_18:4),717.36212,555.30928,591.25765,459.16375,573.24709,441.15319,429.20481,297.11091,411.19425,279.10035,143.10775,275.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_19:0),739.44042,577.38758,613.33595,459.16375,595.32539,441.15319,451.28311,297.11091,433.27255,279.10035,143.10775,297.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:0),753.45602,591.40318,627.35155,459.16375,609.34099,441.15319,465.29871,297.11091,447.28815,279.10035,143.10775,311.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:1),751.44042,589.38758,625.33595,459.16375,607.32539,441.15319,463.28311,297.11091,445.27255,279.10035,143.10775,309.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:2),749.42472,587.37188,623.32025,459.16375,605.30969,441.15319,461.26741,297.11091,443.25685,279.10035,143.10775,307.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:3),747.40912,585.35628,621.30465,459.16375,603.29409,441.15319,459.25181,297.11091,441.24125,279.10035,143.10775,305.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:4),745.39342,583.34058,619.28895,459.16375,601.27839,441.15319,457.23611,297.11091,439.22555,279.10035,143.10775,303.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_20:5),743.37782,581.32498,617.27335,459.16375,599.26279,441.15319,455.22051,297.11091,437.20995,279.10035,143.10775,301.21735,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_21:0),767.47172,605.41888,641.36725,459.16375,623.35669,441.15319,479.31441,297.11091,461.30385,279.10035,143.10775,325.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:0),781.48732,619.43448,655.38285,459.16375,637.37229,441.15319,493.33001,297.11091,475.31945,279.10035,143.10775,339.32685,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:1),779.47172,617.41888,653.36725,459.16375,635.35669,441.15319,491.31441,297.11091,473.30385,279.10035,143.10775,337.31125,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:2),777.45602,615.40318,651.35155,459.16375,633.34099,441.15319,489.29871,297.11091,471.28815,279.10035,143.10775,335.29555,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:3),775.44042,613.38758,649.33595,459.16375,631.32539,441.15319,487.28311,297.11091,469.27255,279.10035,143.10775,333.27995,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:4),773.42472,611.37188,647.32025,459.16375,629.30969,441.15319,485.26741,297.11091,467.25685,279.10035,143.10775,331.26425,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:5),771.40912,609.35628,645.30465,459.16375,627.29409,441.15319,483.25181,297.11091,465.24125,279.10035,143.10775,329.24865,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_22:6),769.39342,607.34058,643.28895,459.16375,625.27839,441.15319,481.23611,297.11091,463.22555,279.10035,143.10775,327.23295,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_23:0),795.50302,633.45018,669.39855,459.16375,651.38799,441.15319,507.34571,297.11091,489.33515,279.10035,143.10775,353.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_24:0),809.51862,647.46578,683.41415,459.16375,665.40359,441.15319,521.36131,297.11091,503.35075,279.10035,143.10775,367.35815,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_24:1),807.50302,645.45018,681.39855,459.16375,663.38799,441.15319,519.34571,297.11091,501.33515,279.10035,143.10775,365.34255,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_25:0),823.53432,661.48148,697.42985,459.16375,679.41929,441.15319,535.37701,297.11091,517.36645,279.10035,143.10775,381.37385,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(8:0_26:0),837.54992,675.49708,711.44545,459.16375,693.43489,441.15319,549.39261,297.11091,531.38205,279.10035,143.10775,395.38945,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_10:0),641.33082,479.27798,487.19505,487.19505,469.18449,469.18449,325.14221,325.14221,307.13165,307.13165,171.13905,171.13905,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_12:0),669.36212,507.30928,515.22635,487.19505,497.21579,469.18449,353.17351,325.14221,335.16295,307.13165,171.13905,199.17035,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_13:0),683.37782,521.32498,529.24205,487.19505,511.23149,469.18449,367.18921,325.14221,349.17865,307.13165,171.13905,213.18605,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
PI(10:0_14:0),697.39342,535.34058,543.25765,487.19505,525.24709,469.18449,381.20481,325.14221,363.19425,307.13165,171.13905,227.20165,152.99586,96.96964,78.95852,241.01132,223.00074,204.99016,315.04819,297.03761
