PS,[M-H]-,[M-Serine]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPC-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PS(8:0_8:0),510.2474,423.21538,297.11091,297.11091,279.10035,279.10035,224.06881,143.10775,143.10775,152.99586,96.96964,78.95852
PS(8:0_10:0),538.2787,451.24668,325.14221,297.11091,307.13165,279.10035,224.06881,143.10775,171.13905,152.99586,96.96964,78.95852
PS(8:0_12:0),566.31,479.27798,353.17351,297.11091,335.16295,279.10035,224.06881,143.10775,199.17035,152.99586,96.96964,78.95852
PS(8:0_13:0),580.3257,493.29368,367.18921,297.11091,349.17865,279.10035,224.06881,143.10775,213.18605,152.99586,96.96964,78.95852
PS(8:0_14:0),594.3413,507.30928,381.20481,297.11091,363.19425,279.10035,224.06881,143.10775,227.20165,152.99586,96.96964,78.95852
PS(8:0_14:1),592.3257,505.29368,379.18921,297.11091,361.17865,279.10035,224.06881,143.10775,225.18605,152.99586,96.96964,78.95852
PS(8:0_15:0),608.357,521.32498,395.22051,297.11091,377.20995,279.10035,224.06881,143.10775,241.21735,152.99586,96.96964,78.95852
PS(8:0_15:1),606.3413,519.30928,393.20481,297.11091,375.19425,279.10035,224.06881,143.10775,239.20165,152.99586,96.96964,78.95852
PS(8:0_16:0),622.3726,535.34058,409.23611,297.11091,391.22555,279.10035,224.06881,143.10775,255.23295,152.99586,96.96964,78.95852
PS(8:0_16:1),620.357,533.32498,407.22051,297.11091,389.20995,279.10035,224.06881,143.10775,253.21735,152.99586,96.96964,78.95852
PS(8:0_17:0),636.3883,549.35628,423.25181,297.11091,405.24125,279.10035,224.06881,143.10775,269.24865,152.99586,96.96964,78.95852
PS(8:0_17:1),634.3726,547.34058,421.23611,297.11091,403.22555,279.10035,224.06881,143.10775,267.23295,152.99586,96.96964,78.95852
PS(8:0_17:2),632.357,545.32498,419.22051,297.11091,401.20995,279.10035,224.06881,143.10775,265.21735,152.99586,96.96964,78.95852
PS(8:0_18:0),650.4039,563.37188,437.26741,297.11091,419.25685,279.10035,224.06881,143.10775,283.26425,152.99586,96.96964,78.95852
