Plasmanyl-LPC,[M+HCOO]-,[M-CH3]-,[M-Choline]-,[M-Choline-H2O]-,[GlyceroPC-CH3-H2O]-,[PC-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
Plasmanyl-LPC(O-16:0),524.3358,464.31466,393.24116,375.2306,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-16:1),522.32015,462.29901,391.22551,373.21495,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-18:0),552.3671,492.34596,421.27246,403.2619,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-18:1),550.35145,490.33031,419.25681,401.24625,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-20:0),580.3984,520.37726,449.30376,431.2932,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-20:1),578.38275,518.36161,447.28811,429.27755,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-22:0),608.4297,548.40856,477.33506,459.3245,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-22:1),606.4141,546.39296,475.31946,457.3089,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:0),636.461,576.43986,505.36636,487.3558,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:1),634.4454,574.42426,503.35076,485.3402,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:2),632.4298,572.40866,501.33516,483.3246,224.06881,168.04314,152.99586,96.96964,78.95852
scores,0.0125,0.9,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
