ether-PC,[M+HCOO]-,[M-CH3]-,[M-Choline]-,[M-FA]-,[M-FA-H2O]-,[M-FA-Choline]-,[Glycerophosphocholine-CH3-H2O]-,[FA-H]-,[Phosphocholine-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
Plasmanyl-PC(O-16:0/10:0),680.48722,620.46608,549.39258,466.33031,448.31975,377.24626,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/12:0),708.51852,648.49738,577.42388,466.33031,448.31975,377.24626,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/13:0),722.53422,662.51308,591.43958,466.33031,448.31975,377.24626,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/14:0),736.54982,676.52868,605.45518,466.33031,448.31975,377.24626,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/14:1),734.53422,674.51308,603.43958,466.33031,448.31975,377.24626,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/15:0),750.56552,690.54438,619.47088,466.33031,448.31975,377.24626,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/15:1),748.54982,688.52868,617.45518,466.33031,448.31975,377.24626,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/16:0),764.58112,704.55998,633.48648,466.33031,448.31975,377.24626,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/16:1),762.56552,702.54438,631.47088,466.33031,448.31975,377.24626,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:0),778.59682,718.57568,647.50218,466.33031,448.31975,377.24626,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:1),776.58112,716.55998,645.48648,466.33031,448.31975,377.24626,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:2),774.56552,714.54438,643.47088,466.33031,448.31975,377.24626,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:0),792.61242,732.59128,661.51778,466.33031,448.31975,377.24626,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:1),790.59682,730.57568,659.50218,466.33031,448.31975,377.24626,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:2),788.58112,728.55998,657.48648,466.33031,448.31975,377.24626,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:3),786.56552,726.54438,655.47088,466.33031,448.31975,377.24626,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
