Plasmanyl-LPC,[M+CH3COO]-,[M-CH3]-,[M-Choline]-,[M-Choline-H2O]-,[GlyceroPC-CH3-H2O]-,[PC-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
Plasmanyl-LPC(O-16:0),540.3671,466.33036,395.25686,377.2463,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-16:1),538.35145,464.31471,393.24121,375.23065,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-18:0),568.3984,494.36166,423.28816,405.2776,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-18:1),566.38275,492.34601,421.27251,403.26195,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-20:0),596.4297,522.39296,451.31946,433.3089,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-20:1),594.41405,520.37731,449.30381,431.29325,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-22:0),624.461,550.42426,479.35076,461.3402,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-22:1),622.44535,548.40861,477.33511,459.32455,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:0),652.4923,578.45556,507.38206,489.3715,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:1),650.47665,576.43991,505.36641,487.35585,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:2),648.461,574.42426,503.35076,485.3402,224.06881,168.04314,152.99586,96.96964,78.95852
scores,0.0125,0.9,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
