Plasmanyl-LPE,[M-H]-,[M-PE-H2O]-,[M-PE]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmanyl-LPE(O-16:0),438.299,377.2462353,395.2568,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-LPE(O-16:1),436.2833499,375.2305852,393.2411499,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-LPE(O-18:0),466.3303,405.2775353,423.2881,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-LPE(O-18:1),464.3146499,403.2618852,421.2724499,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-LPE(O-20:0),494.3616,433.3088353,451.3194,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-LPE(O-20:1),492.3459499,431.2931852,449.3037499,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(O-22:0),520.3772499,459.3244852,477.3350499,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(O-22:1),490.3302999,429.2775352,447.2880999,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(O-24:0),548.4085499,487.3557852,505.3663499,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(O-24:1),546.3928999,485.3401352,503.3506999,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(O-24:2),544.3772498,483.3244851,501.3350498,152.99586,96.96964,78.95852,140.01128,122.0007
scores,0.45,0.45,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
