Plasmanyl-PC,[M+CH3COO]-,[M-CH3]-,[M-Choline]-,[M-T2Ketene-CH3]-,[M-T2RCOOH-CH3]-,[M-T2RCOOH-Choline]-,[GlyceroPC-CH3-H2O]-,[T2_RCOO]-,[PC-CH3]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
Plasmanyl-PC(O-16:0/10:0),694.5029,620.46608,549.39258,466.33031,448.31975,377.24626,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/12:0),722.5342,648.49738,577.42388,466.33031,448.31975,377.24626,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/13:0),736.5499,662.51308,591.43958,466.33031,448.31975,377.24626,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/14:0),750.5655,676.52868,605.45518,466.33031,448.31975,377.24626,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/14:1),748.5499,674.51308,603.43958,466.33031,448.31975,377.24626,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/15:0),764.5812,690.54438,619.47088,466.33031,448.31975,377.24626,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/15:1),762.5655,688.52868,617.45518,466.33031,448.31975,377.24626,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/16:0),778.5968,704.55998,633.48648,466.33031,448.31975,377.24626,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/16:1),776.5812,702.54438,631.47088,466.33031,448.31975,377.24626,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:0),792.6125,718.57568,647.50218,466.33031,448.31975,377.24626,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:1),790.5968,716.55998,645.48648,466.33031,448.31975,377.24626,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:2),788.5812,714.54438,643.47088,466.33031,448.31975,377.24626,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:0),806.6281,732.59128,661.51778,466.33031,448.31975,377.24626,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:1),804.6125,730.57568,659.50218,466.33031,448.31975,377.24626,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:2),802.5968,728.55998,657.48648,466.33031,448.31975,377.24626,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:3),800.5812,726.54438,655.47088,466.33031,448.31975,377.24626,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:4),798.5655,724.52868,653.45518,466.33031,448.31975,377.24626,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/19:0),820.6438,746.60698,675.53348,466.33031,448.31975,377.24626,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:0),834.6594,760.62258,689.54908,466.33031,448.31975,377.24626,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:1),832.6438,758.60698,687.53348,466.33031,448.31975,377.24626,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:2),830.6281,756.59128,685.51778,466.33031,448.31975,377.24626,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:3),828.6125,754.57568,683.50218,466.33031,448.31975,377.24626,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:4),826.5968,752.55998,681.48648,466.33031,448.31975,377.24626,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:5),824.5812,750.54438,679.47088,466.33031,448.31975,377.24626,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/21:0),848.6751,774.63828,703.56478,466.33031,448.31975,377.24626,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:0),862.6907,788.65388,717.58038,466.33031,448.31975,377.24626,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:1),860.6751,786.63828,715.56478,466.33031,448.31975,377.24626,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:2),858.6594,784.62258,713.54908,466.33031,448.31975,377.24626,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
