Plasmanyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmanyl-PE(O-16:0/10:0),592.43479,438.29902,420.28846,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/12:0),620.46609,438.29902,420.28846,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/13:0),634.48179,438.29902,420.28846,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/14:0),648.49739,438.29902,420.28846,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/14:1),646.48179,438.29902,420.28846,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/15:0),662.51309,438.29902,420.28846,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/15:1),660.49739,438.29902,420.28846,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/16:0),676.52869,438.29902,420.28846,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/16:1),674.51309,438.29902,420.28846,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/17:0),690.54439,438.29902,420.28846,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/17:1),688.52869,438.29902,420.28846,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/17:2),686.51309,438.29902,420.28846,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/18:0),704.55999,438.29902,420.28846,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/18:1),702.54439,438.29902,420.28846,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/18:2),700.52869,438.29902,420.28846,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/18:3),698.51309,438.29902,420.28846,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmanyl-PE(O-16:0/18:4),696.49739,438.29902,420.28846,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
