Plasmanyl-PS,[M-H]-,[M-Serine]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
Plasmanyl-PS(O-16:0/10:0),636.42457,549.39255,395.25678,377.24622,171.13905,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/12:0),664.45587,577.42385,395.25678,377.24622,199.17035,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/13:0),678.47157,591.43955,395.25678,377.24622,213.18605,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/14:0),692.48717,605.45515,395.25678,377.24622,227.20165,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/14:1),690.47157,603.43955,395.25678,377.24622,225.18605,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/15:0),706.50287,619.47085,395.25678,377.24622,241.21735,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/15:1),704.48717,617.45515,395.25678,377.24622,239.20165,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/16:0),720.51847,633.48645,395.25678,377.24622,255.23295,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/16:1),718.50287,631.47085,395.25678,377.24622,253.21735,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/17:0),734.53417,647.50215,395.25678,377.24622,269.24865,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/17:1),732.51847,645.48645,395.25678,377.24622,267.23295,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/17:2),730.50287,643.47085,395.25678,377.24622,265.21735,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/18:0),748.54977,661.51775,395.25678,377.24622,283.26425,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/18:1),746.53417,659.50215,395.25678,377.24622,281.24865,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/18:2),744.51847,657.48645,395.25678,377.24622,279.23295,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/18:3),742.50287,655.47085,395.25678,377.24622,277.21735,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/18:4),740.48717,653.45515,395.25678,377.24622,275.20165,152.99586,96.96964,78.95852
Plasmanyl-PS(O-16:0/19:0),762.56547,675.53345,395.25678,377.24622,297.27995,152.99586,96.96964,78.95852
