Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-16:0/10:0),590.41915,436.28338,418.27282,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/12:0),618.45045,436.28338,418.27282,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/13:0),632.46615,436.28338,418.27282,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/14:0),646.48175,436.28338,418.27282,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/14:1),644.46615,436.28338,418.27282,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/15:0),660.49745,436.28338,418.27282,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/15:1),658.48175,436.28338,418.27282,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/16:0),674.51305,436.28338,418.27282,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/16:1),672.49745,436.28338,418.27282,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/17:0),688.52875,436.28338,418.27282,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/17:1),686.51305,436.28338,418.27282,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/17:2),684.49745,436.28338,418.27282,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/18:0),702.54435,436.28338,418.27282,283.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/18:1),700.52875,436.28338,418.27282,281.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/18:2),698.51305,436.28338,418.27282,279.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/18:3),696.49745,436.28338,418.27282,277.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/18:4),694.48175,436.28338,418.27282,275.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/19:0),716.56005,436.28338,418.27282,297.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/20:0),730.57565,436.28338,418.27282,311.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/20:1),728.56005,436.28338,418.27282,309.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/20:2),726.54435,436.28338,418.27282,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/20:3),724.52875,436.28338,418.27282,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/20:4),722.51305,436.28338,418.27282,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/20:5),720.49745,436.28338,418.27282,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-16:0/21:0),744.59135,436.28338,418.27282,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
