SM,[M+CH3COO]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d10:0/10:0),567.377948,493.3365,171.139,168.0431
SM(d10:0/12:0),595.409248,521.3678,199.1703,168.0431
SM(d10:0/13:0),609.424948,535.3835,213.186,168.0431
SM(d10:0/14:0),623.440548,549.3991,227.2016,168.0431
SM(d10:0/14:1),621.424948,547.3835,225.186,168.0431
SM(d10:0/15:0),637.456248,563.4148,241.2173,168.0431
SM(d10:0/15:1),635.440548,561.3991,239.2016,168.0431
SM(d10:0/16:0),651.471848,577.4304,255.2329,168.0431
SM(d10:0/16:1),649.456248,575.4148,253.2173,168.0431
SM(d10:0/17:0),665.487548,591.4461,269.2486,168.0431
SM(d10:0/17:1),663.471848,589.4304,267.2329,168.0431
SM(d10:0/17:2),661.456248,587.4148,265.2173,168.0431
SM(d10:0/18:0),679.503148,605.4617,283.2642,168.0431
SM(d10:0/18:1),677.487548,603.4461,281.2486,168.0431
SM(d10:0/18:2),675.471848,601.4304,279.2329,168.0431
SM(d10:0/18:3),673.456248,599.4148,277.2173,168.0431
SM(d10:0/18:4),671.440548,597.3991,275.2016,168.0431
SM(d10:0/19:0),693.518848,619.4774,297.2799,168.0431
SM(d10:0/20:0),707.534448,633.493,311.2955,168.0431
SM(d10:0/20:1),705.518848,631.4774,309.2799,168.0431
SM(d10:0/20:2),703.503148,629.4617,307.2642,168.0431
SM(d10:0/20:3),701.487548,627.4461,305.2486,168.0431
SM(d10:0/20:4),699.471848,625.4304,303.2329,168.0431
SM(d10:0/20:5),697.456248,623.4148,301.2173,168.0431
SM(d10:0/21:0),721.550148,647.5087,325.3112,168.0431
SM(d10:0/22:0),735.565748,661.5243,339.3268,168.0431
SM(d10:0/22:1),733.550148,659.5087,337.3112,168.0431
SM(d10:0/22:2),731.534448,657.493,335.2955,168.0431
SM(d10:0/22:3),729.518848,655.4774,333.2799,168.0431
SM(d10:0/22:4),727.503148,653.4617,331.2642,168.0431
SM(d10:0/22:5),725.487548,651.4461,329.2486,168.0431
SM(d10:0/22:6),723.471848,649.4304,327.2329,168.0431
SM(d10:0/23:0),749.581448,675.54,353.3425,168.0431
SM(d10:0/24:0),763.597048,689.5556,367.3581,168.0431
SM(d10:0/24:1),761.581448,687.54,365.3425,168.0431
SM(d10:0/25:0),777.612748,703.5713,381.3738,168.0431
SM(d10:0/26:0),791.628348,717.5869,395.3894,168.0431
SM(d10:0/8:0),539.346648,465.3052,143.1077,168.0431
SM(d12:0/10:0),595.409248,521.3678,171.139,168.0431
SM(d12:0/12:0),623.440548,549.3991,199.1703,168.0431
SM(d12:0/13:0),637.456248,563.4148,213.186,168.0431
SM(d12:0/14:0),651.471848,577.4304,227.2016,168.0431
SM(d12:0/14:1),649.456248,575.4148,225.186,168.0431
SM(d12:0/15:0),665.487548,591.4461,241.2173,168.0431
SM(d12:0/15:1),663.471848,589.4304,239.2016,168.0431
SM(d12:0/16:0),679.503148,605.4617,255.2329,168.0431
SM(d12:0/16:1),677.487548,603.4461,253.2173,168.0431
SM(d12:0/17:0),693.518848,619.4774,269.2486,168.0431
SM(d12:0/17:1),691.503148,617.4617,267.2329,168.0431
SM(d12:0/17:2),689.487548,615.4461,265.2173,168.0431
SM(d12:0/18:0),707.534448,633.493,283.2642,168.0431
SM(d12:0/18:1),705.518848,631.4774,281.2486,168.0431
SM(d12:0/18:2),703.503148,629.4617,279.2329,168.0431
SM(d12:0/18:3),701.487548,627.4461,277.2173,168.0431
SM(d12:0/18:4),699.471848,625.4304,275.2016,168.0431
SM(d12:0/19:0),721.550148,647.5087,297.2799,168.0431
SM(d12:0/20:0),735.565748,661.5243,311.2955,168.0431
SM(d12:0/20:1),733.550148,659.5087,309.2799,168.0431
SM(d12:0/20:2),731.534448,657.493,307.2642,168.0431
SM(d12:0/20:3),729.518848,655.4774,305.2486,168.0431
SM(d12:0/20:4),727.503148,653.4617,303.2329,168.0431
SM(d12:0/20:5),725.487548,651.4461,301.2173,168.0431
SM(d12:0/21:0),749.581448,675.54,325.3112,168.0431
SM(d12:0/22:0),763.597048,689.5556,339.3268,168.0431
SM(d12:0/22:1),761.581448,687.54,337.3112,168.0431
SM(d12:0/22:2),759.565748,685.5243,335.2955,168.0431
SM(d12:0/22:3),757.550148,683.5087,333.2799,168.0431
SM(d12:0/22:4),755.534448,681.493,331.2642,168.0431
SM(d12:0/22:5),753.518848,679.4774,329.2486,168.0431
SM(d12:0/22:6),751.503148,677.4617,327.2329,168.0431
SM(d12:0/23:0),777.612748,703.5713,353.3425,168.0431
SM(d12:0/24:0),791.628348,717.5869,367.3581,168.0431
SM(d12:0/24:1),789.612748,715.5713,365.3425,168.0431
SM(d12:0/25:0),805.644048,731.6026,381.3738,168.0431
SM(d12:0/26:0),819.659648,745.6182,395.3894,168.0431
SM(d12:0/8:0),567.377948,493.3365,143.1077,168.0431
SM(d13:0/10:0),609.424948,535.3835,171.139,168.0431
SM(d13:0/12:0),637.456248,563.4148,199.1703,168.0431
SM(d13:0/13:0),651.471948,577.4305,213.186,168.0431
SM(d13:0/14:0),665.487548,591.4461,227.2016,168.0431
SM(d13:0/14:1),663.471948,589.4305,225.186,168.0431
SM(d13:0/15:0),679.503248,605.4618,241.2173,168.0431
SM(d13:0/15:1),677.487548,603.4461,239.2016,168.0431
SM(d13:0/16:0),693.518848,619.4774,255.2329,168.0431
SM(d13:0/16:1),691.503248,617.4618,253.2173,168.0431
SM(d13:0/17:0),707.534548,633.4931,269.2486,168.0431
SM(d13:0/17:1),705.518848,631.4774,267.2329,168.0431
SM(d13:0/17:2),703.503248,629.4618,265.2173,168.0431
SM(d13:0/18:0),721.550148,647.5087,283.2642,168.0431
SM(d13:0/18:1),719.534548,645.4931,281.2486,168.0431
SM(d13:0/18:2),717.518848,643.4774,279.2329,168.0431
SM(d13:0/18:3),715.503248,641.4618,277.2173,168.0431
SM(d13:0/18:4),713.487548,639.4461,275.2016,168.0431
SM(d13:0/19:0),735.565848,661.5244,297.2799,168.0431
SM(d13:0/20:0),749.581448,675.54,311.2955,168.0431
SM(d13:0/20:1),747.565848,673.5244,309.2799,168.0431
SM(d13:0/20:2),745.550148,671.5087,307.2642,168.0431
SM(d13:0/20:3),743.534548,669.4931,305.2486,168.0431
SM(d13:0/20:4),741.518848,667.4774,303.2329,168.0431
SM(d13:0/20:5),739.503248,665.4618,301.2173,168.0431
SM(d13:0/21:0),763.597148,689.5557,325.3112,168.0431
SM(d13:0/22:0),777.612748,703.5713,339.3268,168.0431
SM(d13:0/22:1),775.597148,701.5557,337.3112,168.0431
SM(d13:0/22:2),773.581448,699.54,335.2955,168.0431
SM(d13:0/22:3),771.565848,697.5244,333.2799,168.0431
SM(d13:0/22:4),769.550148,695.5087,331.2642,168.0431
SM(d13:0/22:5),767.534548,693.4931,329.2486,168.0431
SM(d13:0/22:6),765.518848,691.4774,327.2329,168.0431
SM(d13:0/23:0),791.628448,717.587,353.3425,168.0431
SM(d13:0/24:0),805.644048,731.6026,367.3581,168.0431
SM(d13:0/24:1),803.628448,729.587,365.3425,168.0431
SM(d13:0/25:0),819.659748,745.6183,381.3738,168.0431
SM(d13:0/26:0),833.675348,759.6339,395.3894,168.0431
SM(d13:0/8:0),581.393648,507.3522,143.1077,168.0431
SM(d14:0/10:0),623.440548,549.3991,171.139,168.0431
SM(d14:0/12:0),651.471848,577.4304,199.1703,168.0431
SM(d14:0/13:0),665.487548,591.4461,213.186,168.0431
SM(d14:0/14:0),679.503148,605.4617,227.2016,168.0431
SM(d14:0/14:1),677.487548,603.4461,225.186,168.0431
SM(d14:0/15:0),693.518848,619.4774,241.2173,168.0431
SM(d14:0/15:1),691.503148,617.4617,239.2016,168.0431
SM(d14:0/16:0),707.534448,633.493,255.2329,168.0431
SM(d14:0/16:1),705.518848,631.4774,253.2173,168.0431
SM(d14:0/17:0),721.550148,647.5087,269.2486,168.0431
SM(d14:0/17:1),719.534448,645.493,267.2329,168.0431
SM(d14:0/17:2),717.518848,643.4774,265.2173,168.0431
SM(d14:0/18:0),735.565748,661.5243,283.2642,168.0431
SM(d14:0/18:1),733.550148,659.5087,281.2486,168.0431
SM(d14:0/18:2),731.534448,657.493,279.2329,168.0431
SM(d14:0/18:3),729.518848,655.4774,277.2173,168.0431
SM(d14:0/18:4),727.503148,653.4617,275.2016,168.0431
SM(d14:0/19:0),749.581448,675.54,297.2799,168.0431
SM(d14:0/20:0),763.597048,689.5556,311.2955,168.0431
SM(d14:0/20:1),761.581448,687.54,309.2799,168.0431
SM(d14:0/20:2),759.565748,685.5243,307.2642,168.0431
SM(d14:0/20:3),757.550148,683.5087,305.2486,168.0431
SM(d14:0/20:4),755.534448,681.493,303.2329,168.0431
SM(d14:0/20:5),753.518848,679.4774,301.2173,168.0431
SM(d14:0/21:0),777.612748,703.5713,325.3112,168.0431
SM(d14:0/22:0),791.628348,717.5869,339.3268,168.0431
SM(d14:0/22:1),789.612748,715.5713,337.3112,168.0431
SM(d14:0/22:2),787.597048,713.5556,335.2955,168.0431
SM(d14:0/22:3),785.581448,711.54,333.2799,168.0431
SM(d14:0/22:4),783.565748,709.5243,331.2642,168.0431
SM(d14:0/22:5),781.550148,707.5087,329.2486,168.0431
SM(d14:0/22:6),779.534448,705.493,327.2329,168.0431
SM(d14:0/23:0),805.644048,731.6026,353.3425,168.0431
SM(d14:0/24:0),819.659648,745.6182,367.3581,168.0431
SM(d14:0/24:1),817.644048,743.6026,365.3425,168.0431
SM(d14:0/25:0),833.675348,759.6339,381.3738,168.0431
SM(d14:0/26:0),847.690948,773.6495,395.3894,168.0431
SM(d14:0/8:0),595.409248,521.3678,143.1077,168.0431
SM(d14:1/10:0),621.424948,547.3835,171.139,168.0431
SM(d14:1/12:0),649.456248,575.4148,199.1703,168.0431
SM(d14:1/13:0),663.471948,589.4305,213.186,168.0431
SM(d14:1/14:0),677.487548,603.4461,227.2016,168.0431
SM(d14:1/14:1),675.471948,601.4305,225.186,168.0431
SM(d14:1/15:0),691.503248,617.4618,241.2173,168.0431
SM(d14:1/15:1),689.487548,615.4461,239.2016,168.0431
SM(d14:1/16:0),705.518848,631.4774,255.2329,168.0431
SM(d14:1/16:1),703.503248,629.4618,253.2173,168.0431
SM(d14:1/17:0),719.534548,645.4931,269.2486,168.0431
SM(d14:1/17:1),717.518848,643.4774,267.2329,168.0431
SM(d14:1/17:2),715.503248,641.4618,265.2173,168.0431
SM(d14:1/18:0),733.550148,659.5087,283.2642,168.0431
SM(d14:1/18:1),731.534548,657.4931,281.2486,168.0431
SM(d14:1/18:2),729.518848,655.4774,279.2329,168.0431
SM(d14:1/18:3),727.503248,653.4618,277.2173,168.0431
SM(d14:1/18:4),725.487548,651.4461,275.2016,168.0431
SM(d14:1/19:0),747.565848,673.5244,297.2799,168.0431
SM(d14:1/20:0),761.581448,687.54,311.2955,168.0431
SM(d14:1/20:1),759.565848,685.5244,309.2799,168.0431
SM(d14:1/20:2),757.550148,683.5087,307.2642,168.0431
SM(d14:1/20:3),755.534548,681.4931,305.2486,168.0431
SM(d14:1/20:4),753.518848,679.4774,303.2329,168.0431
SM(d14:1/20:5),751.503248,677.4618,301.2173,168.0431
SM(d14:1/21:0),775.597148,701.5557,325.3112,168.0431
SM(d14:1/22:0),789.612748,715.5713,339.3268,168.0431
SM(d14:1/22:1),787.597148,713.5557,337.3112,168.0431
SM(d14:1/22:2),785.581448,711.54,335.2955,168.0431
SM(d14:1/22:3),783.565848,709.5244,333.2799,168.0431
SM(d14:1/22:4),781.550148,707.5087,331.2642,168.0431
SM(d14:1/22:5),779.534548,705.4931,329.2486,168.0431
SM(d14:1/22:6),777.518848,703.4774,327.2329,168.0431
SM(d14:1/23:0),803.628448,729.587,353.3425,168.0431
SM(d14:1/24:0),817.644048,743.6026,367.3581,168.0431
SM(d14:1/24:1),815.628448,741.587,365.3425,168.0431
SM(d14:1/25:0),831.659748,757.6183,381.3738,168.0431
SM(d14:1/26:0),845.675348,771.6339,395.3894,168.0431
SM(d14:1/8:0),593.393648,519.3522,143.1077,168.0431
SM(d15:0/10:0),637.456248,563.4148,171.139,168.0431
SM(d15:0/12:0),665.487548,591.4461,199.1703,168.0431
SM(d15:0/13:0),679.503248,605.4618,213.186,168.0431
SM(d15:0/14:0),693.518848,619.4774,227.2016,168.0431
SM(d15:0/14:1),691.503248,617.4618,225.186,168.0431
SM(d15:0/15:0),707.534548,633.4931,241.2173,168.0431
SM(d15:0/15:1),705.518848,631.4774,239.2016,168.0431
SM(d15:0/16:0),721.550148,647.5087,255.2329,168.0431
SM(d15:0/16:1),719.534548,645.4931,253.2173,168.0431
SM(d15:0/17:0),735.565848,661.5244,269.2486,168.0431
SM(d15:0/17:1),733.550148,659.5087,267.2329,168.0431
SM(d15:0/17:2),731.534548,657.4931,265.2173,168.0431
SM(d15:0/18:0),749.581448,675.54,283.2642,168.0431
SM(d15:0/18:1),747.565848,673.5244,281.2486,168.0431
SM(d15:0/18:2),745.550148,671.5087,279.2329,168.0431
SM(d15:0/18:3),743.534548,669.4931,277.2173,168.0431
SM(d15:0/18:4),741.518848,667.4774,275.2016,168.0431
SM(d15:0/19:0),763.597148,689.5557,297.2799,168.0431
SM(d15:0/20:0),777.612748,703.5713,311.2955,168.0431
SM(d15:0/20:1),775.597148,701.5557,309.2799,168.0431
SM(d15:0/20:2),773.581448,699.54,307.2642,168.0431
SM(d15:0/20:3),771.565848,697.5244,305.2486,168.0431
SM(d15:0/20:4),769.550148,695.5087,303.2329,168.0431
SM(d15:0/20:5),767.534548,693.4931,301.2173,168.0431
SM(d15:0/21:0),791.628448,717.587,325.3112,168.0431
SM(d15:0/22:0),805.644048,731.6026,339.3268,168.0431
SM(d15:0/22:1),803.628448,729.587,337.3112,168.0431
SM(d15:0/22:2),801.612748,727.5713,335.2955,168.0431
SM(d15:0/22:3),799.597148,725.5557,333.2799,168.0431
SM(d15:0/22:4),797.581448,723.54,331.2642,168.0431
SM(d15:0/22:5),795.565848,721.5244,329.2486,168.0431
SM(d15:0/22:6),793.550148,719.5087,327.2329,168.0431
SM(d15:0/23:0),819.659748,745.6183,353.3425,168.0431
SM(d15:0/24:0),833.675348,759.6339,367.3581,168.0431
SM(d15:0/24:1),831.659748,757.6183,365.3425,168.0431
SM(d15:0/25:0),847.691048,773.6496,381.3738,168.0431
SM(d15:0/26:0),861.706648,787.6652,395.3894,168.0431
SM(d15:0/8:0),609.424948,535.3835,143.1077,168.0431
SM(d15:1/10:0),635.440548,561.3991,171.139,168.0431
SM(d15:1/12:0),663.471848,589.4304,199.1703,168.0431
SM(d15:1/13:0),677.487548,603.4461,213.186,168.0431
SM(d15:1/14:0),691.503148,617.4617,227.2016,168.0431
SM(d15:1/14:1),689.487548,615.4461,225.186,168.0431
