SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d10:0/10:0)+H2PO4,605.333717,493.3365,171.139,168.0431
SM(d10:0/12:0)+H2PO4,633.365017,521.3678,199.1703,168.0431
SM(d10:0/13:0)+H2PO4,647.380717,535.3835,213.186,168.0431
SM(d10:0/14:0)+H2PO4,661.396317,549.3991,227.2016,168.0431
SM(d10:0/14:1)+H2PO4,659.380717,547.3835,225.186,168.0431
SM(d10:0/15:0)+H2PO4,675.412017,563.4148,241.2173,168.0431
SM(d10:0/15:1)+H2PO4,673.396317,561.3991,239.2016,168.0431
SM(d10:0/16:0)+H2PO4,689.427617,577.4304,255.2329,168.0431
SM(d10:0/16:1)+H2PO4,687.412017,575.4148,253.2173,168.0431
SM(d10:0/17:0)+H2PO4,703.443317,591.4461,269.2486,168.0431
SM(d10:0/17:1)+H2PO4,701.427617,589.4304,267.2329,168.0431
SM(d10:0/17:2)+H2PO4,699.412017,587.4148,265.2173,168.0431
SM(d10:0/18:0)+H2PO4,717.458917,605.4617,283.2642,168.0431
SM(d10:0/18:1)+H2PO4,715.443317,603.4461,281.2486,168.0431
SM(d10:0/18:2)+H2PO4,713.427617,601.4304,279.2329,168.0431
SM(d10:0/18:3)+H2PO4,711.412017,599.4148,277.2173,168.0431
SM(d10:0/18:4)+H2PO4,709.396317,597.3991,275.2016,168.0431
SM(d10:0/19:0)+H2PO4,731.474617,619.4774,297.2799,168.0431
SM(d10:0/20:0)+H2PO4,745.490217,633.493,311.2955,168.0431
SM(d10:0/20:1)+H2PO4,743.474617,631.4774,309.2799,168.0431
SM(d10:0/20:2)+H2PO4,741.458917,629.4617,307.2642,168.0431
SM(d10:0/20:3)+H2PO4,739.443317,627.4461,305.2486,168.0431
SM(d10:0/20:4)+H2PO4,737.427617,625.4304,303.2329,168.0431
SM(d10:0/20:5)+H2PO4,735.412017,623.4148,301.2173,168.0431
SM(d10:0/21:0)+H2PO4,759.505917,647.5087,325.3112,168.0431
SM(d10:0/22:0)+H2PO4,773.521517,661.5243,339.3268,168.0431
SM(d10:0/22:1)+H2PO4,771.505917,659.5087,337.3112,168.0431
SM(d10:0/22:2)+H2PO4,769.490217,657.493,335.2955,168.0431
SM(d10:0/22:3)+H2PO4,767.474617,655.4774,333.2799,168.0431
SM(d10:0/22:4)+H2PO4,765.458917,653.4617,331.2642,168.0431
SM(d10:0/22:5)+H2PO4,763.443317,651.4461,329.2486,168.0431
SM(d10:0/22:6)+H2PO4,761.427617,649.4304,327.2329,168.0431
SM(d10:0/23:0)+H2PO4,787.537217,675.54,353.3425,168.0431
SM(d10:0/24:0)+H2PO4,801.552817,689.5556,367.3581,168.0431
SM(d10:0/24:1)+H2PO4,799.537217,687.54,365.3425,168.0431
SM(d10:0/25:0)+H2PO4,815.568517,703.5713,381.3738,168.0431
SM(d10:0/26:0)+H2PO4,829.584117,717.5869,395.3894,168.0431
SM(d10:0/8:0)+H2PO4,577.302417,465.3052,143.1077,168.0431
SM(d12:0/10:0)+H2PO4,633.365017,521.3678,171.139,168.0431
