CE,[M+Na]+,[M+H-H2O]+,[Exper_CholFrag1]+,[CholFrag2]+,[CholFrag3]+,[CholFrag4]+,[CholFrag5]+,[HiInt_CholFrag6]+,[CholFrag7]+
CE(8:0),535.448505,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(10:0),563.479805,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(12:0),591.511105,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(13:0),605.526755,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(14:0),619.542405,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(14:1),617.526755,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(15:0),633.558055,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(15:1),631.542405,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(16:0),647.573705,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(16:1),645.558055,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(17:0),661.589355,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(17:1),659.573705,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(17:2),657.558055,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:0),675.605005,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:1),673.589355,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:2),671.573705,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:3),669.558055,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(18:4),667.542405,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(19:0),689.620655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:0),703.636305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:1),701.620655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:2),699.605005,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:3),697.589355,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:4),695.573705,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(20:5),693.558055,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(21:0),717.651955,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:0),731.667605,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:1),729.651955,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:2),727.636305,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:3),725.620655,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:4),723.605005,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:5),721.589355,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(22:6),719.573705,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(23:0),745.683255,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(24:0),759.698905,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(24:1),757.683255,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(25:0),773.714555,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
CE(26:0),787.730205,369.3522,313.2885,287.2728,243.2103,175.1479,161.1322,147.1166,135.1166
score,0.45,0.45,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714
