CerP,[M+H]+,[M+H-H2O]+,[M+H-H3PO4]+,[M+H-H3PO4-H20]+,[M+H-HPO3]+,[M+H-R1-2H2O-H3PO4]+
CerP(d14:1/2:0),366.2039863,348.1934263,268.2270863,250.2165263,286.2376563,208.20585
CerP(d14:0/2:0),368.2196418,350.2090818,270.2427418,252.2321818,288.2533118,210.22149
CerP(d15:1/2:0),380.2196418,362.2090818,282.2427418,264.2321818,300.2533118,222.22149
CerP(d15:0/2:0),382.2352973,364.2247373,284.2583973,266.2478373,302.2689673,224.23713
CerP(d16:1/2:0),394.2352973,376.2247373,296.2583973,278.2478373,314.2689673,236.23713
CerP(d16:0/2:0),396.2509529,378.2403929,298.2740529,280.2634929,316.2846229,238.25277
CerP(d17:1/2:0),408.2509529,390.2403929,310.2740529,292.2634929,328.2846229,250.25277
CerP(d17:0/2:0),410.2666084,392.2560484,312.2897084,294.2791484,330.3002784,252.26841
CerP(d18:1/2:0),422.2666084,404.2560484,324.2897084,306.2791484,342.3002784,264.26841
CerP(d18:0/2:0),424.2822334,406.2716734,326.3053334,308.2947734,344.3159034,266.28405
CerP(d19:1/2:0),436.2822334,418.2716734,338.3053334,320.2947734,356.3159034,278.28405
CerP(d19:0/2:0),438.2978889,420.2873289,340.3209889,322.3104289,358.3315589,280.29969
CerP(d14:1/10:0),478.3291999,460.3186399,380.3522999,362.3417399,398.3628699,208.20585
CerP(d14:0/10:0),480.3448554,462.3342954,382.3679554,364.3573954,400.3785254,210.22149
CerP(d15:1/10:0),492.3448554,474.3342954,394.3679554,376.3573954,412.3785254,222.22149
CerP(d15:0/10:0),494.3604804,476.3499204,396.3835804,378.3730204,414.3941504,224.23713
CerP(d14:1/12:0),506.3604804,488.3499204,408.3835804,390.3730204,426.3941504,208.20585
CerP(d16:1/10:0),506.3604804,488.3499204,408.3835804,390.3730204,426.3941504,236.23713
CerP(d14:0/12:0),508.376136,490.365576,410.399236,392.388676,428.409806,210.22149
CerP(d16:0/10:0),508.376136,490.365576,410.399236,392.388676,428.409806,238.25277
CerP(d15:1/12:0),520.3761665,502.3656065,422.3992665,404.3887065,440.4098365,222.22149
CerP(d17:1/10:0),520.3761665,502.3656065,422.3992665,404.3887065,440.4098365,250.25277
CerP(d15:0/12:0),522.3917915,504.3812315,424.4148915,406.4043315,442.4254615,224.23713
CerP(d17:0/10:0),522.3917915,504.3812315,424.4148915,406.4043315,442.4254615,252.26841
CerP(d14:1/14:0),534.3917915,516.3812315,436.4148915,418.4043315,454.4254615,208.20585
CerP(d16:1/12:0),534.3917915,516.3812315,436.4148915,418.4043315,454.4254615,236.23713
CerP(d18:1/10:0),534.3917915,516.3812315,436.4148915,418.4043315,454.4254615,264.26841
CerP(d14:0/14:0),536.4074165,518.3968565,438.4305165,420.4199565,456.4410865,210.22149
CerP(d16:0/12:0),536.4074165,518.3968565,438.4305165,420.4199565,456.4410865,238.25277
CerP(d18:0/10:0),536.4074165,518.3968565,438.4305165,420.4199565,456.4410865,266.28405
CerP(d15:1/14:0),548.4074165,530.3968565,450.4305165,432.4199565,468.4410865,222.22149
CerP(d17:1/12:0),548.4074165,530.3968565,450.4305165,432.4199565,468.4410865,250.25277
CerP(d19:1/10:0),548.4074165,530.3968565,450.4305165,432.4199565,468.4410865,278.28405
CerP(d15:0/14:0),550.4231025,532.4125425,452.4462025,434.4356425,470.4567725,224.23713
CerP(d17:0/12:0),550.4231025,532.4125425,452.4462025,434.4356425,470.4567725,252.26841
CerP(d19:0/10:0),550.4231025,532.4125425,452.4462025,434.4356425,470.4567725,280.29969
CerP(d14:1/16:0),562.4231025,544.4125425,464.4462025,446.4356425,482.4567725,208.20585
CerP(d16:1/14:0),562.4231025,544.4125425,464.4462025,446.4356425,482.4567725,236.23713
