Cer,[M+H]+,[M+H-H2O]+,[M+H-2H2O]+,[M+H-R1-H2O]+,[M+H-R1-2H2O]+
Cer(d10:0/10:0),344.31588,326.3053,308.29472,172.169395,154.158815
Cer(d10:0/12:0),372.34718,354.3366,336.32602,172.169395,154.158815
Cer(d10:0/13:0),386.36288,368.3523,350.34172,172.169395,154.158815
Cer(d10:0/14:0),400.37848,382.3679,364.35732,172.169395,154.158815
Cer(d10:0/14:1),398.36288,380.3523,362.34172,172.169395,154.158815
Cer(d10:0/15:0),414.39418,396.3836,378.37302,172.169395,154.158815
Cer(d10:0/15:1),412.37848,394.3679,376.35732,172.169395,154.158815
Cer(d10:0/16:0),428.40978,410.3992,392.38862,172.169395,154.158815
Cer(d10:0/16:1),426.39418,408.3836,390.37302,172.169395,154.158815
Cer(d10:0/17:0),442.42548,424.4149,406.40432,172.169395,154.158815
Cer(d10:0/17:1),440.40978,422.3992,404.38862,172.169395,154.158815
Cer(d10:0/17:2),438.39418,420.3836,402.37302,172.169395,154.158815
Cer(d10:0/18:0),456.44108,438.4305,420.41992,172.169395,154.158815
Cer(d10:0/18:1),454.42548,436.4149,418.40432,172.169395,154.158815
Cer(d10:0/18:2),452.40978,434.3992,416.38862,172.169395,154.158815
Cer(d10:0/18:3),450.39418,432.3836,414.37302,172.169395,154.158815
Cer(d10:0/18:4),448.37848,430.3679,412.35732,172.169395,154.158815
Cer(d10:0/19:0),470.45678,452.4462,434.43562,172.169395,154.158815
Cer(d10:0/20:0),484.47238,466.4618,448.45122,172.169395,154.158815
Cer(d10:0/20:1),482.45678,464.4462,446.43562,172.169395,154.158815
Cer(d10:0/20:2),480.44108,462.4305,444.41992,172.169395,154.158815
Cer(d10:0/20:3),478.42548,460.4149,442.40432,172.169395,154.158815
Cer(d10:0/20:4),476.40978,458.3992,440.38862,172.169395,154.158815
Cer(d10:0/20:5),474.39418,456.3836,438.37302,172.169395,154.158815
Cer(d10:0/21:0),498.48808,480.4775,462.46692,172.169395,154.158815
Cer(d10:0/22:0),512.50368,494.4931,476.48252,172.169395,154.158815
Cer(d10:0/22:1),510.48808,492.4775,474.46692,172.169395,154.158815
Cer(d10:0/22:2),508.47238,490.4618,472.45122,172.169395,154.158815
Cer(d10:0/22:3),506.45678,488.4462,470.43562,172.169395,154.158815
Cer(d10:0/22:4),504.44108,486.4305,468.41992,172.169395,154.158815
Cer(d10:0/22:5),502.42548,484.4149,466.40432,172.169395,154.158815
Cer(d10:0/22:6),500.40978,482.3992,464.38862,172.169395,154.158815
Cer(d10:0/23:0),526.51938,508.5088,490.49822,172.169395,154.158815
Cer(d10:0/24:0),540.53498,522.5244,504.51382,172.169395,154.158815
Cer(d10:0/24:1),538.51938,520.5088,502.49822,172.169395,154.158815
Cer(d10:0/25:0),554.55068,536.5401,518.52952,172.169395,154.158815
Cer(d10:0/26:0),568.56628,550.5557,532.54512,172.169395,154.158815
Cer(d10:0/8:0),316.28458,298.274,280.26342,172.169395,154.158815
Cer(d12:0/10:0),372.34718,354.3366,336.32602,200.200695,182.190115
Cer(d12:0/12:0),400.37848,382.3679,364.35732,200.200695,182.190115
Cer(d12:0/12:0),400.37848,382.3679,364.35732,200.200695,182.190115
Cer(d12:0/13:0),414.39418,396.3836,378.37302,200.200695,182.190115
Cer(d12:0/14:0),428.40978,410.3992,392.38862,200.200695,182.190115
Cer(d12:0/14:1),426.39418,408.3836,390.37302,200.200695,182.190115
Cer(d12:0/15:0),442.42548,424.4149,406.40432,200.200695,182.190115
Cer(d12:0/15:1),440.40978,422.3992,404.38862,200.200695,182.190115
Cer(d12:0/16:0),456.44108,438.4305,420.41992,200.200695,182.190115
Cer(d12:0/16:1),454.42548,436.4149,418.40432,200.200695,182.190115
Cer(d12:0/17:0),470.45678,452.4462,434.43562,200.200695,182.190115
Cer(d12:0/17:1),468.44108,450.4305,432.41992,200.200695,182.190115
Cer(d12:0/17:2),466.42548,448.4149,430.40432,200.200695,182.190115
Cer(d12:0/18:0),484.47238,466.4618,448.45122,200.200695,182.190115
Cer(d12:0/18:1),482.45678,464.4462,446.43562,200.200695,182.190115
Cer(d12:0/18:2),480.44108,462.4305,444.41992,200.200695,182.190115
Cer(d12:0/18:3),478.42548,460.4149,442.40432,200.200695,182.190115
Cer(d12:0/18:4),476.40978,458.3992,440.38862,200.200695,182.190115
Cer(d12:0/19:0),498.48808,480.4775,462.46692,200.200695,182.190115
Cer(d12:0/20:0),512.50368,494.4931,476.48252,200.200695,182.190115
Cer(d12:0/20:1),510.48808,492.4775,474.46692,200.200695,182.190115
Cer(d12:0/20:2),508.47238,490.4618,472.45122,200.200695,182.190115
Cer(d12:0/20:3),506.45678,488.4462,470.43562,200.200695,182.190115
Cer(d12:0/20:4),504.44108,486.4305,468.41992,200.200695,182.190115
Cer(d12:0/20:5),502.42548,484.4149,466.40432,200.200695,182.190115
Cer(d12:0/21:0),526.51938,508.5088,490.49822,200.200695,182.190115
Cer(d12:0/22:0),540.53498,522.5244,504.51382,200.200695,182.190115
Cer(d12:0/22:1),538.51938,520.5088,502.49822,200.200695,182.190115
Cer(d12:0/22:2),536.50368,518.4931,500.48252,200.200695,182.190115
Cer(d12:0/22:3),534.48808,516.4775,498.46692,200.200695,182.190115
Cer(d12:0/22:4),532.47238,514.4618,496.45122,200.200695,182.190115
