"DG","[M+NH4]+","[M+H-H2O]+","[M+H-acyl-sn1-2H2O]+","[M+H-acyl-sn2-2H2O]+","[acyl-sn1CO]+","[acyl-sn2CO]+","[acyl-sn1CO-H2O]+","[acyl-sn2CO-H2O]+","[acyl-sn1CO-H2O+74]+","[acyl-sn2CO-H2O+74]+"
"DG(16:0) DG(8:0_8:0)",362.2901,327.253,201.1485,201.1485,127.1117,127.1117,109.1012,109.1012,183.138,183.138
"DG(18:0) DG(8:0_10:0)",390.3214,355.2843,229.1798,201.1485,127.1117,155.143,109.1012,137.1325,183.138,211.1693
"DG(20:0) DG(8:0_12:0)",418.3527,383.3156,257.2111,201.1485,127.1117,183.1743,109.1012,165.1638,183.138,239.2006
"DG(21:0) DG(8:0_13:0)",432.3684,397.3313,271.2268,201.1485,127.1117,197.19,109.1012,179.1795,183.138,253.2163
"DG(22:0) DG(8:0_14:0)",446.384,411.3469,285.2424,201.1485,127.1117,211.2056,109.1012,193.1951,183.138,267.2319
"DG(22:1) DG(8:0_14:1)",444.3684,409.3313,283.2268,201.1485,127.1117,209.19,109.1012,191.1795,183.138,265.2163
"DG(23:0) DG(8:0_15:0)",460.3997,425.3626,299.2581,201.1485,127.1117,225.2213,109.1012,207.2108,183.138,281.2476
"DG(23:1) DG(8:0_15:1)",458.384,423.3469,297.2424,201.1485,127.1117,223.2056,109.1012,205.1951,183.138,279.2319
"DG(24:0) DG(8:0_16:0)",474.4153,439.3782,313.2737,201.1485,127.1117,239.2369,109.1012,221.2264,183.138,295.2632
"DG(24:1) DG(8:0_16:1)",472.3997,437.3626,311.2581,201.1485,127.1117,237.2213,109.1012,219.2108,183.138,293.2476
"DG(25:0) DG(8:0_17:0)",488.431,453.3939,327.2894,201.1485,127.1117,253.2526,109.1012,235.2421,183.138,309.2789
"DG(25:1) DG(8:0_17:1)",486.4153,451.3782,325.2737,201.1485,127.1117,251.2369,109.1012,233.2264,183.138,307.2632
"DG(25:2) DG(8:0_17:2)",484.3997,449.3626,323.2581,201.1485,127.1117,249.2213,109.1012,231.2108,183.138,305.2476
"DG(26:0) DG(8:0_18:0)",502.4466,467.4095,341.305,201.1485,127.1117,267.2682,109.1012,249.2577,183.138,323.2945
"DG(26:1) DG(8:0_18:1)",500.431,465.3939,339.2894,201.1485,127.1117,265.2526,109.1012,247.2421,183.138,321.2789
"DG(26:2) DG(8:0_18:2)",498.4153,463.3782,337.2737,201.1485,127.1117,263.2369,109.1012,245.2264,183.138,319.2632
"DG(26:3) DG(8:0_18:3)",496.3997,461.3626,335.2581,201.1485,127.1117,261.2213,109.1012,243.2108,183.138,317.2476
"DG(26:4) DG(8:0_18:4)",494.384,459.3469,333.2424,201.1485,127.1117,259.2056,109.1012,241.1951,183.138,315.2319
"DG(27:0) DG(8:0_19:0)",516.4623,481.4252,355.3207,201.1485,127.1117,281.2839,109.1012,263.2734,183.138,337.3102
"DG(28:0) DG(8:0_20:0)",530.4779,495.4408,369.3363,201.1485,127.1117,295.2995,109.1012,277.289,183.138,351.3258
"DG(28:1) DG(8:0_20:1)",528.4623,493.4252,367.3207,201.1485,127.1117,293.2839,109.1012,275.2734,183.138,349.3102
"DG(28:2) DG(8:0_20:2)",526.4466,491.4095,365.305,201.1485,127.1117,291.2682,109.1012,273.2577,183.138,347.2945
"DG(28:3) DG(8:0_20:3)",524.431,489.3939,363.2894,201.1485,127.1117,289.2526,109.1012,271.2421,183.138,345.2789
"DG(28:4) DG(8:0_20:4)",522.4153,487.3782,361.2737,201.1485,127.1117,287.2369,109.1012,269.2264,183.138,343.2632
"DG(28:5) DG(8:0_20:5)",520.3997,485.3626,359.2581,201.1485,127.1117,285.2213,109.1012,267.2108,183.138,341.2476
"DG(29:0) DG(8:0_21:0)",544.4936,509.4565,383.352,201.1485,127.1117,309.3152,109.1012,291.3047,183.138,365.3415
