"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(16:0) DG(8:0_8:0)",367.2455,327.253,201.1485,201.1485,127.1117,127.1117,109.1012,109.1012
"DG(18:0) DG(8:0_10:0)",395.2768,355.2843,229.1798,201.1485,127.1117,155.143,109.1012,137.1325
"DG(20:0) DG(8:0_12:0)",423.3081,383.3156,257.2111,201.1485,127.1117,183.1743,109.1012,165.1638
"DG(21:0) DG(8:0_13:0)",437.3238,397.3313,271.2268,201.1485,127.1117,197.19,109.1012,179.1795
"DG(22:0) DG(8:0_14:0)",451.3394,411.3469,285.2424,201.1485,127.1117,211.2056,109.1012,193.1951
"DG(22:1) DG(8:0_14:1)",449.3238,409.3313,283.2268,201.1485,127.1117,209.19,109.1012,191.1795
"DG(23:0) DG(8:0_15:0)",465.3551,425.3626,299.2581,201.1485,127.1117,225.2213,109.1012,207.2108
"DG(23:1) DG(8:0_15:1)",463.3394,423.3469,297.2424,201.1485,127.1117,223.2056,109.1012,205.1951
"DG(24:0) DG(8:0_16:0)",479.3707,439.3782,313.2737,201.1485,127.1117,239.2369,109.1012,221.2264
"DG(24:1) DG(8:0_16:1)",477.3551,437.3626,311.2581,201.1485,127.1117,237.2213,109.1012,219.2108
"DG(25:0) DG(8:0_17:0)",493.3864,453.3939,327.2894,201.1485,127.1117,253.2526,109.1012,235.2421
"DG(25:1) DG(8:0_17:1)",491.3707,451.3782,325.2737,201.1485,127.1117,251.2369,109.1012,233.2264
"DG(25:2) DG(8:0_17:2)",489.3551,449.3626,323.2581,201.1485,127.1117,249.2213,109.1012,231.2108
"DG(26:0) DG(8:0_18:0)",507.402,467.4095,341.305,201.1485,127.1117,267.2682,109.1012,249.2577
"DG(26:1) DG(8:0_18:1)",505.3864,465.3939,339.2894,201.1485,127.1117,265.2526,109.1012,247.2421
"DG(26:2) DG(8:0_18:2)",503.3707,463.3782,337.2737,201.1485,127.1117,263.2369,109.1012,245.2264
"DG(26:3) DG(8:0_18:3)",501.3551,461.3626,335.2581,201.1485,127.1117,261.2213,109.1012,243.2108
"DG(26:4) DG(8:0_18:4)",499.3394,459.3469,333.2424,201.1485,127.1117,259.2056,109.1012,241.1951
"DG(27:0) DG(8:0_19:0)",521.4177,481.4252,355.3207,201.1485,127.1117,281.2839,109.1012,263.2734
"DG(28:0) DG(8:0_20:0)",535.4333,495.4408,369.3363,201.1485,127.1117,295.2995,109.1012,277.289
"DG(28:1) DG(8:0_20:1)",533.4177,493.4252,367.3207,201.1485,127.1117,293.2839,109.1012,275.2734
"DG(28:2) DG(8:0_20:2)",531.402,491.4095,365.305,201.1485,127.1117,291.2682,109.1012,273.2577
"DG(28:3) DG(8:0_20:3)",529.3864,489.3939,363.2894,201.1485,127.1117,289.2526,109.1012,271.2421
"DG(28:4) DG(8:0_20:4)",527.3707,487.3782,361.2737,201.1485,127.1117,287.2369,109.1012,269.2264
"DG(28:5) DG(8:0_20:5)",525.3551,485.3626,359.2581,201.1485,127.1117,285.2213,109.1012,267.2108
"DG(29:0) DG(8:0_21:0)",549.449,509.4565,383.352,201.1485,127.1117,309.3152,109.1012,291.3047
"DG(30:0) DG(8:0_22:0)",563.4646,523.4721,397.3676,201.1485,127.1117,323.3308,109.1012,305.3203
"DG(30:1) DG(8:0_22:1)",561.449,521.4565,395.352,201.1485,127.1117,321.3152,109.1012,303.3047
"DG(30:2) DG(8:0_22:2)",559.4333,519.4408,393.3363,201.1485,127.1117,319.2995,109.1012,301.289
"DG(30:3) DG(8:0_22:3)",557.4177,517.4252,391.3207,201.1485,127.1117,317.2839,109.1012,299.2734
"DG(30:4) DG(8:0_22:4)",555.402,515.4095,389.305,201.1485,127.1117,315.2682,109.1012,297.2577
"DG(30:5) DG(8:0_22:5)",553.3864,513.3939,387.2894,201.1485,127.1117,313.2526,109.1012,295.2421
"DG(30:6) DG(8:0_22:6)",551.3707,511.3782,385.2737,201.1485,127.1117,311.2369,109.1012,293.2264
"DG(31:0) DG(8:0_23:0)",577.4803,537.4878,411.3833,201.1485,127.1117,337.3465,109.1012,319.336
"DG(32:0) DG(8:0_24:0)",591.4959,551.5034,425.3989,201.1485,127.1117,351.3621,109.1012,333.3516
"DG(32:1) DG(8:0_24:1)",589.4803,549.4878,423.3833,201.1485,127.1117,349.3465,109.1012,331.336
"DG(33:0) DG(8:0_25:0)",605.5116,565.5191,439.4146,201.1485,127.1117,365.3778,109.1012,347.3673
"DG(34:0) DG(8:0_26:0)",619.5272,579.5347,453.4302,201.1485,127.1117,379.3934,109.1012,361.3829
"DG(20:0) DG(10:0_10:0)",423.3081,383.3156,229.1798,229.1798,155.143,155.143,137.1325,137.1325
"DG(22:0) DG(10:0_12:0)",451.3394,411.3469,257.2111,229.1798,155.143,183.1743,137.1325,165.1638
"DG(23:0) DG(10:0_13:0)",465.3551,425.3626,271.2268,229.1798,155.143,197.19,137.1325,179.1795
"DG(24:0) DG(10:0_14:0)",479.3707,439.3782,285.2424,229.1798,155.143,211.2056,137.1325,193.1951
"DG(24:1) DG(10:0_14:1)",477.3551,437.3626,283.2268,229.1798,155.143,209.19,137.1325,191.1795
"DG(25:0) DG(10:0_15:0)",493.3864,453.3939,299.2581,229.1798,155.143,225.2213,137.1325,207.2108
"DG(25:1) DG(10:0_15:1)",491.3707,451.3782,297.2424,229.1798,155.143,223.2056,137.1325,205.1951
"DG(26:0) DG(10:0_16:0)",507.402,467.4095,313.2737,229.1798,155.143,239.2369,137.1325,221.2264
"DG(26:1) DG(10:0_16:1)",505.3864,465.3939,311.2581,229.1798,155.143,237.2213,137.1325,219.2108
"DG(27:0) DG(10:0_17:0)",521.4177,481.4252,327.2894,229.1798,155.143,253.2526,137.1325,235.2421
"DG(27:1) DG(10:0_17:1)",519.402,479.4095,325.2737,229.1798,155.143,251.2369,137.1325,233.2264
"DG(27:2) DG(10:0_17:2)",517.3864,477.3939,323.2581,229.1798,155.143,249.2213,137.1325,231.2108
"DG(28:0) DG(10:0_18:0)",535.4333,495.4408,341.305,229.1798,155.143,267.2682,137.1325,249.2577
"DG(28:1) DG(10:0_18:1)",533.4177,493.4252,339.2894,229.1798,155.143,265.2526,137.1325,247.2421
"DG(28:2) DG(10:0_18:2)",531.402,491.4095,337.2737,229.1798,155.143,263.2369,137.1325,245.2264
"DG(28:3) DG(10:0_18:3)",529.3864,489.3939,335.2581,229.1798,155.143,261.2213,137.1325,243.2108
"DG(28:4) DG(10:0_18:4)",527.3707,487.3782,333.2424,229.1798,155.143,259.2056,137.1325,241.1951
"DG(29:0) DG(10:0_19:0)",549.449,509.4565,355.3207,229.1798,155.143,281.2839,137.1325,263.2734
"DG(30:0) DG(10:0_20:0)",563.4646,523.4721,369.3363,229.1798,155.143,295.2995,137.1325,277.289
"DG(30:1) DG(10:0_20:1)",561.449,521.4565,367.3207,229.1798,155.143,293.2839,137.1325,275.2734
"DG(30:2) DG(10:0_20:2)",559.4333,519.4408,365.305,229.1798,155.143,291.2682,137.1325,273.2577
"DG(30:3) DG(10:0_20:3)",557.4177,517.4252,363.2894,229.1798,155.143,289.2526,137.1325,271.2421
"DG(30:4) DG(10:0_20:4)",555.402,515.4095,361.2737,229.1798,155.143,287.2369,137.1325,269.2264
"DG(30:5) DG(10:0_20:5)",553.3864,513.3939,359.2581,229.1798,155.143,285.2213,137.1325,267.2108
"DG(31:0) DG(10:0_21:0)",577.4803,537.4878,383.352,229.1798,155.143,309.3152,137.1325,291.3047
"DG(32:0) DG(10:0_22:0)",591.4959,551.5034,397.3676,229.1798,155.143,323.3308,137.1325,305.3203
"DG(32:1) DG(10:0_22:1)",589.4803,549.4878,395.352,229.1798,155.143,321.3152,137.1325,303.3047
"DG(32:2) DG(10:0_22:2)",587.4646,547.4721,393.3363,229.1798,155.143,319.2995,137.1325,301.289
"DG(32:3) DG(10:0_22:3)",585.449,545.4565,391.3207,229.1798,155.143,317.2839,137.1325,299.2734
"DG(32:4) DG(10:0_22:4)",583.4333,543.4408,389.305,229.1798,155.143,315.2682,137.1325,297.2577
"DG(32:5) DG(10:0_22:5)",581.4177,541.4252,387.2894,229.1798,155.143,313.2526,137.1325,295.2421
"DG(32:6) DG(10:0_22:6)",579.402,539.4095,385.2737,229.1798,155.143,311.2369,137.1325,293.2264
"DG(33:0) DG(10:0_23:0)",605.5116,565.5191,411.3833,229.1798,155.143,337.3465,137.1325,319.336
"DG(34:0) DG(10:0_24:0)",619.5272,579.5347,425.3989,229.1798,155.143,351.3621,137.1325,333.3516
"DG(34:1) DG(10:0_24:1)",617.5116,577.5191,423.3833,229.1798,155.143,349.3465,137.1325,331.336
"DG(35:0) DG(10:0_25:0)",633.5429,593.5504,439.4146,229.1798,155.143,365.3778,137.1325,347.3673
