GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d14:0/12:0),1043.611,1025.601,752.5159,734.5053,590.463,572.4525,428.4102,410.3996,292.1027,228.2322,210.2216
GM3(d14:0/12:1),1041.595,1023.585,750.4999,732.4893,588.447,570.4365,426.3942,408.3836,292.1027,228.2322,210.2216
GM3(d14:1/12:0),1041.595,1023.585,750.4999,732.4893,588.447,570.4365,426.3942,408.3836,292.1027,226.2166,208.206
GM3(d14:1/12:1),1039.579,1021.569,748.4839,730.4733,586.431,568.4205,424.3782,406.3676,292.1027,226.2166,208.206
GM3(d14:0/13:0),1057.626,1039.616,766.5309,748.5203,604.478,586.4675,442.4252,424.4146,292.1027,228.2322,210.2216
GM3(d15:0/12:0),1057.626,1039.616,766.5309,748.5203,604.478,586.4675,442.4252,424.4146,292.1027,242.2478,224.2373
GM3(d14:0/13:1),1055.611,1037.601,764.5159,746.5053,602.463,584.4525,440.4102,422.3996,292.1027,228.2322,210.2216
GM3(d14:1/13:0),1055.611,1037.601,764.5159,746.5053,602.463,584.4525,440.4102,422.3996,292.1027,226.2166,208.206
GM3(d15:0/12:1),1055.611,1037.601,764.5159,746.5053,602.463,584.4525,440.4102,422.3996,292.1027,242.2478,224.2373
GM3(d15:1/12:0),1055.611,1037.601,764.5159,746.5053,602.463,584.4525,440.4102,422.3996,292.1027,240.2322,222.2216
GM3(d14:1/13:1),1053.595,1035.585,762.4999,744.4893,600.447,582.4365,438.3942,420.3836,292.1027,226.2166,208.206
GM3(d15:1/12:1),1053.595,1035.585,762.4999,744.4893,600.447,582.4365,438.3942,420.3836,292.1027,240.2322,222.2216
GM3(d14:0/14:0),1071.642,1053.632,780.5469,762.5363,618.494,600.4835,456.4412,438.4306,292.1027,228.2322,210.2216
GM3(d15:0/13:0),1071.642,1053.632,780.5469,762.5363,618.494,600.4835,456.4412,438.4306,292.1027,242.2478,224.2373
GM3(d16:0/12:0),1071.642,1053.632,780.5469,762.5363,618.494,600.4835,456.4412,438.4306,292.1027,256.2635,238.2529
GM3(d14:0/14:1),1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027,228.2322,210.2216
GM3(d14:1/14:0),1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027,226.2166,208.206
GM3(d15:0/13:1),1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027,242.2478,224.2373
GM3(d15:1/13:0),1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027,240.2322,222.2216
GM3(d16:0/12:1),1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027,256.2635,238.2529
GM3(d16:1/12:0),1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027,254.2478,236.2373
GM3(d14:1/14:1),1067.611,1049.601,776.5159,758.5053,614.463,596.4525,452.4102,434.3996,292.1027,226.2166,208.206
GM3(d15:1/13:1),1067.611,1049.601,776.5159,758.5053,614.463,596.4525,452.4102,434.3996,292.1027,240.2322,222.2216
GM3(d16:1/12:1),1067.611,1049.601,776.5159,758.5053,614.463,596.4525,452.4102,434.3996,292.1027,254.2478,236.2373
GM3(d14:0/15:0),1085.658,1067.648,794.5629,776.5523,632.51,614.4995,470.4572,452.4466,292.1027,228.2322,210.2216
GM3(d15:0/14:0),1085.658,1067.648,794.5629,776.5523,632.51,614.4995,470.4572,452.4466,292.1027,242.2478,224.2373
GM3(d16:0/13:0),1085.658,1067.648,794.5629,776.5523,632.51,614.4995,470.4572,452.4466,292.1027,256.2635,238.2529
