HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:1/12:0),626.40338,570.43694,408.3841,390.3736,226.2166,208.206
HexCer(d14:1/12:1),624.38778,568.42134,406.3685,388.3579,226.2166,208.206
HexCer(d14:1/13:0),640.41908,584.45264,422.3998,404.3892,226.2166,208.206
HexCer(d14:1/13:1),638.40338,582.43694,420.3841,402.3736,226.2166,208.206
HexCer(d14:1/14:0),654.43468,598.46824,436.4154,418.4049,226.2166,208.206
HexCer(d14:1/14:1),652.41908,596.45264,434.3998,416.3892,226.2166,208.206
HexCer(d14:1/15:0),668.45038,612.48394,450.4311,432.4205,226.2166,208.206
HexCer(d14:1/15:1),666.43468,610.46824,448.4154,430.4049,226.2166,208.206
HexCer(d14:1/16:0),682.46598,626.49954,464.4467,446.4362,226.2166,208.206
HexCer(d14:1/16:1),680.45038,624.48394,462.4311,444.4205,226.2166,208.206
HexCer(d14:1/16:2),678.43468,622.46824,460.4154,442.4049,226.2166,208.206
HexCer(d14:1/17:0),696.48168,640.51524,478.4624,460.4518,226.2166,208.206
HexCer(d14:1/18:0),710.49728,654.53084,492.478,474.4675,226.2166,208.206
HexCer(d14:1/18:1),708.48168,652.51524,490.4624,472.4518,226.2166,208.206
HexCer(d14:1/18:2),706.46598,650.49954,488.4467,470.4362,226.2166,208.206
HexCer(d14:1/19:0),724.51298,668.54654,506.4937,488.4831,226.2166,208.206
HexCer(d14:1/19:1),722.49728,666.53084,504.478,486.4675,226.2166,208.206
HexCer(d14:1/20:0),738.52868,682.56224,520.5093,502.4988,226.2166,208.206
HexCer(d14:1/20:1),736.51298,680.54654,518.4937,500.4831,226.2166,208.206
HexCer(d14:1/20:2),734.49728,678.53084,516.478,498.4675,226.2166,208.206
HexCer(d14:1/21:0),752.54428,696.57784,534.525,516.5144,226.2166,208.206
HexCer(d14:1/21:1),750.52868,694.56224,532.5093,514.4988,226.2166,208.206
HexCer(d14:1/22:0),766.55998,710.59354,548.5406,530.5301,226.2166,208.206
HexCer(d14:1/22:1),764.54428,708.57784,546.525,528.5144,226.2166,208.206
HexCer(d14:1/22:2),762.52868,706.56224,544.5093,526.4988,226.2166,208.206
HexCer(d14:1/23:0),780.57558,724.60914,562.5563,544.5457,226.2166,208.206
HexCer(d14:1/23:1),778.55998,722.59354,560.5406,542.5301,226.2166,208.206
HexCer(d14:1/24:0),794.59118,738.62474,576.572,558.5613,226.2166,208.206
HexCer(d14:1/24:1),792.57558,736.60914,574.5563,556.5457,226.2166,208.206
HexCer(d14:1/24:2),790.55998,734.59354,572.5406,554.5301,226.2166,208.206
HexCer(d14:1/25:0),808.60688,752.64044,590.5876,572.577,226.2166,208.206
HexCer(d14:1/25:1),806.59118,750.62474,588.572,570.5613,226.2166,208.206
HexCer(d14:1/26:0),822.62248,766.65604,604.6032,586.5927,226.2166,208.206
HexCer(d14:1/26:1),820.60688,764.64044,602.5876,584.577,226.2166,208.206
HexCer(d14:1/26:2),818.59118,762.62474,600.572,582.5613,226.2166,208.206
HexCer(d14:1/27:0),836.63818,780.67174,618.6189,600.6083,226.2166,208.206
HexCer(d14:1/27:1),834.62248,778.65604,616.6032,598.5927,226.2166,208.206
HexCer(d14:1/28:0),850.65378,794.68734,632.6345,614.624,226.2166,208.206
HexCer(d14:1/28:1),848.63818,792.67174,630.6189,612.6083,226.2166,208.206
HexCer(d14:1/28:2),846.62248,790.65604,628.6032,610.5927,226.2166,208.206
HexCer(d14:1/29:0),864.66948,808.70304,646.6502,628.6396,226.2166,208.206
HexCer(d14:1/29:1),862.65378,806.68734,644.6345,626.624,226.2166,208.206
HexCer(d14:1/30:0),878.68508,822.71864,660.6658,642.6553,226.2166,208.206
HexCer(d14:1/30:1),876.66948,820.70304,658.6502,640.6396,226.2166,208.206
HexCer(d14:1/30:2),874.65378,818.68734,656.6345,638.624,226.2166,208.206
HexCer(d14:1/31:0),892.70078,836.73434,674.6815,656.6709,226.2166,208.206
HexCer(d14:1/31:1),890.68508,834.71864,672.6658,654.6553,226.2166,208.206
HexCer(d14:1/32:0),906.71648,850.75004,688.6971,670.6866,226.2166,208.206
HexCer(d14:1/32:1),904.70078,848.73434,686.6815,668.6709,226.2166,208.206
HexCer(d14:1/32:2),902.68508,846.71864,684.6658,666.6553,226.2166,208.206
HexCer(d14:1/33:0),920.73208,864.76564,702.7128,684.7022,226.2166,208.206
HexCer(d14:1/33:1),918.71648,862.75004,700.6971,682.6866,226.2166,208.206
HexCer(d14:1/34:0),934.74778,878.78134,716.7285,698.7179,226.2166,208.206
HexCer(d14:1/34:1),932.73208,876.76564,714.7128,696.7022,226.2166,208.206
HexCer(d14:1/34:2),930.71648,874.75004,712.6971,694.6866,226.2166,208.206
HexCer(d14:1/35:0),948.76338,892.79694,730.7441,712.7335,226.2166,208.206
HexCer(d14:1/35:1),946.74778,890.78134,728.7285,710.7179,226.2166,208.206
HexCer(d14:1/36:0),962.77898,906.81254,744.7598,726.7491,226.2166,208.206
HexCer(d14:1/36:1),960.76338,904.79694,742.7441,724.7335,226.2166,208.206
HexCer(d14:1/36:2),958.74778,902.78134,740.7285,722.7179,226.2166,208.206
HexCer(d14:1/38:0),990.81028,934.84384,772.791,754.7805,226.2166,208.206
HexCer(d14:1/38:1),988.79468,932.82824,770.7754,752.7648,226.2166,208.206
HexCer(d14:1/38:2),986.77898,930.81254,768.7598,750.7491,226.2166,208.206
HexCer(d14:1/40:0),1018.84158,962.87514,800.8223,782.8118,226.2166,208.206
HexCer(d14:1/40:1),1016.82598,960.85954,798.8067,780.7961,226.2166,208.206
HexCer(d14:1/40:2),1014.81028,958.84384,796.791,778.7805,226.2166,208.206
HexCer(d14:1/42:0),1046.87288,990.90644,828.8536,810.8431,226.2166,208.206
HexCer(d14:1/42:1),1044.85688,988.89044,826.838,808.8274,226.2166,208.206
HexCer(d14:1/42:2),1042.84188,986.87544,824.8223,806.8118,226.2166,208.206
HexCer(d14:2/12:0),624.38778,568.42134,406.3685,388.3579,224.2009,206.1903
HexCer(d14:2/12:1),622.37218,566.40574,404.3528,386.3423,224.2009,206.1903
HexCer(d14:2/13:0),638.40338,582.43694,420.3841,402.3736,224.2009,206.1903
HexCer(d14:2/13:1),636.38778,580.42134,418.3685,400.3579,224.2009,206.1903
HexCer(d14:2/14:0),652.41908,596.45264,434.3998,416.3892,224.2009,206.1903
HexCer(d14:2/14:1),650.40338,594.43694,432.3841,414.3736,224.2009,206.1903
HexCer(d14:2/15:0),666.43468,610.46824,448.4154,430.4049,224.2009,206.1903
HexCer(d14:2/15:1),664.41908,608.45264,446.3998,428.3892,224.2009,206.1903
HexCer(d14:2/16:0),680.45038,624.48394,462.4311,444.4205,224.2009,206.1903
HexCer(d14:2/16:1),678.43468,622.46824,460.4154,442.4049,224.2009,206.1903
HexCer(d14:2/16:2),676.41908,620.45264,458.3998,440.3892,224.2009,206.1903
HexCer(d14:2/17:0),694.46598,638.49954,476.4467,458.4362,224.2009,206.1903
HexCer(d14:2/18:0),708.48168,652.51524,490.4624,472.4518,224.2009,206.1903
HexCer(d14:2/18:1),706.46598,650.49954,488.4467,470.4362,224.2009,206.1903
HexCer(d14:2/18:2),704.45038,648.48394,486.4311,468.4205,224.2009,206.1903
HexCer(d14:2/19:0),722.49728,666.53084,504.478,486.4675,224.2009,206.1903
HexCer(d14:2/19:1),720.48168,664.51524,502.4624,484.4518,224.2009,206.1903
HexCer(d14:2/20:0),736.51298,680.54654,518.4937,500.4831,224.2009,206.1903
HexCer(d14:2/20:1),734.49728,678.53084,516.478,498.4675,224.2009,206.1903
HexCer(d14:2/20:2),732.48168,676.51524,514.4624,496.4518,224.2009,206.1903
HexCer(d14:2/21:0),750.52868,694.56224,532.5093,514.4988,224.2009,206.1903
HexCer(d14:2/21:1),748.51298,692.54654,530.4937,512.4831,224.2009,206.1903
HexCer(d14:2/22:0),764.54428,708.57784,546.525,528.5144,224.2009,206.1903
HexCer(d14:2/22:1),762.52868,706.56224,544.5093,526.4988,224.2009,206.1903
HexCer(d14:2/22:2),760.51298,704.54654,542.4937,524.4831,224.2009,206.1903
HexCer(d14:2/23:0),778.55998,722.59354,560.5406,542.5301,224.2009,206.1903
HexCer(d14:2/23:1),776.54428,720.57784,558.525,540.5144,224.2009,206.1903
HexCer(d14:2/24:0),792.57558,736.60914,574.5563,556.5457,224.2009,206.1903
HexCer(d14:2/24:1),790.55998,734.59354,572.5406,554.5301,224.2009,206.1903
HexCer(d14:2/24:2),788.54428,732.57784,570.525,552.5144,224.2009,206.1903
HexCer(d14:2/25:0),806.59118,750.62474,588.572,570.5613,224.2009,206.1903
HexCer(d14:2/25:1),804.57558,748.60914,586.5563,568.5457,224.2009,206.1903
HexCer(d14:2/26:0),820.60688,764.64044,602.5876,584.577,224.2009,206.1903
HexCer(d14:2/26:1),818.59118,762.62474,600.572,582.5613,224.2009,206.1903
HexCer(d14:2/26:2),816.57558,760.60914,598.5563,580.5457,224.2009,206.1903
HexCer(d14:2/27:0),834.62248,778.65604,616.6032,598.5927,224.2009,206.1903
HexCer(d14:2/27:1),832.60688,776.64044,614.5876,596.577,224.2009,206.1903
HexCer(d14:2/28:0),848.63818,792.67174,630.6189,612.6083,224.2009,206.1903
HexCer(d14:2/28:1),846.62248,790.65604,628.6032,610.5927,224.2009,206.1903
HexCer(d14:2/28:2),844.60688,788.64044,626.5876,608.577,224.2009,206.1903
HexCer(d14:2/29:0),862.65378,806.68734,644.6345,626.624,224.2009,206.1903
HexCer(d14:2/29:1),860.63818,804.67174,642.6189,624.6083,224.2009,206.1903
HexCer(d14:2/30:0),876.66948,820.70304,658.6502,640.6396,224.2009,206.1903
HexCer(d14:2/30:1),874.65378,818.68734,656.6345,638.624,224.2009,206.1903
HexCer(d14:2/30:2),872.63818,816.67174,654.6189,636.6083,224.2009,206.1903
HexCer(d14:2/31:0),890.68508,834.71864,672.6658,654.6553,224.2009,206.1903
HexCer(d14:2/31:1),888.66948,832.70304,670.6502,652.6396,224.2009,206.1903
HexCer(d14:2/32:0),904.70078,848.73434,686.6815,668.6709,224.2009,206.1903
HexCer(d14:2/32:1),902.68508,846.71864,684.6658,666.6553,224.2009,206.1903
HexCer(d14:2/32:2),900.66948,844.70304,682.6502,664.6396,224.2009,206.1903
HexCer(d14:2/33:0),918.71648,862.75004,700.6971,682.6866,224.2009,206.1903
HexCer(d14:2/33:1),916.70078,860.73434,698.6815,680.6709,224.2009,206.1903
HexCer(d14:2/34:0),932.73208,876.76564,714.7128,696.7022,224.2009,206.1903
HexCer(d14:2/34:1),930.71648,874.75004,712.6971,694.6866,224.2009,206.1903
HexCer(d14:2/34:2),928.70078,872.73434,710.6815,692.6709,224.2009,206.1903
HexCer(d14:2/35:0),946.74778,890.78134,728.7285,710.7179,224.2009,206.1903
HexCer(d14:2/35:1),944.73208,888.76564,726.7128,708.7022,224.2009,206.1903
HexCer(d14:2/36:0),960.76338,904.79694,742.7441,724.7335,224.2009,206.1903
HexCer(d14:2/36:1),958.74778,902.78134,740.7285,722.7179,224.2009,206.1903
HexCer(d14:2/36:2),956.73208,900.76564,738.7128,720.7022,224.2009,206.1903
HexCer(d14:2/38:0),988.79468,932.82824,770.7754,752.7648,224.2009,206.1903
HexCer(d14:2/38:1),986.77898,930.81254,768.7598,750.7491,224.2009,206.1903
HexCer(d14:2/38:2),984.76338,928.79694,766.7441,748.7335,224.2009,206.1903
HexCer(d14:2/40:0),1016.82598,960.85954,798.8067,780.7961,224.2009,206.1903
HexCer(d14:2/40:1),1014.81028,958.84384,796.791,778.7805,224.2009,206.1903
