HexCer,[M+Na]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:1/12:0),610.42944,570.43694,408.3841,390.3736,226.2166,208.206
HexCer(d14:1/12:1),608.41384,568.42134,406.3685,388.3579,226.2166,208.206
HexCer(d14:1/13:0),624.44514,584.45264,422.3998,404.3892,226.2166,208.206
HexCer(d14:1/13:1),622.42944,582.43694,420.3841,402.3736,226.2166,208.206
HexCer(d14:1/14:0),638.46074,598.46824,436.4154,418.4049,226.2166,208.206
HexCer(d14:1/14:1),636.44514,596.45264,434.3998,416.3892,226.2166,208.206
HexCer(d14:1/15:0),652.47644,612.48394,450.4311,432.4205,226.2166,208.206
HexCer(d14:1/15:1),650.46074,610.46824,448.4154,430.4049,226.2166,208.206
HexCer(d14:1/16:0),666.49204,626.49954,464.4467,446.4362,226.2166,208.206
HexCer(d14:1/16:1),664.47644,624.48394,462.4311,444.4205,226.2166,208.206
HexCer(d14:1/16:2),662.46074,622.46824,460.4154,442.4049,226.2166,208.206
HexCer(d14:1/17:0),680.50774,640.51524,478.4624,460.4518,226.2166,208.206
HexCer(d14:1/18:0),694.52334,654.53084,492.478,474.4675,226.2166,208.206
HexCer(d14:1/18:1),692.50774,652.51524,490.4624,472.4518,226.2166,208.206
HexCer(d14:1/18:2),690.49204,650.49954,488.4467,470.4362,226.2166,208.206
HexCer(d14:1/19:0),708.53904,668.54654,506.4937,488.4831,226.2166,208.206
HexCer(d14:1/19:1),706.52334,666.53084,504.478,486.4675,226.2166,208.206
HexCer(d14:1/20:0),722.55474,682.56224,520.5093,502.4988,226.2166,208.206
HexCer(d14:1/20:1),720.53904,680.54654,518.4937,500.4831,226.2166,208.206
HexCer(d14:1/20:2),718.52334,678.53084,516.478,498.4675,226.2166,208.206
HexCer(d14:1/21:0),736.57034,696.57784,534.525,516.5144,226.2166,208.206
HexCer(d14:1/21:1),734.55474,694.56224,532.5093,514.4988,226.2166,208.206
HexCer(d14:1/22:0),750.58604,710.59354,548.5406,530.5301,226.2166,208.206
HexCer(d14:1/22:1),748.57034,708.57784,546.525,528.5144,226.2166,208.206
HexCer(d14:1/22:2),746.55474,706.56224,544.5093,526.4988,226.2166,208.206
HexCer(d14:1/23:0),764.60164,724.60914,562.5563,544.5457,226.2166,208.206
HexCer(d14:1/23:1),762.58604,722.59354,560.5406,542.5301,226.2166,208.206
