LPA,[M+H]+,[M+H-H2O]+,[M+H-H3PO4]+,[acyl-RCO]+,[Glycerol-3-Phosphate-H2O+H]+
LPA(6:0),271.0941,253.0835353,173.1172049,99.081,155.0109349
LPA(8:0),299.1254,281.1148353,201.1485049,127.1123,155.0109349
LPA(10:0),327.1567,309.1461353,229.1798049,155.1436,155.0109349
LPA(12:0),355.188,337.1774353,257.2111049,183.1749,155.0109349
LPA(13:0),369.2037,351.1931353,271.2268049,197.1905501,155.0109349
LPA(14:0),383.2193,365.2087353,285.2424049,211.2062,155.0109349
LPA(14:1),381.2037,363.1931353,283.2268049,209.1905,155.0109349
LPA(15:0),397.235,379.2244353,299.2581049,225.2218499,155.0109349
LPA(15:1),395.2193,377.2087353,297.2424049,223.2061499,155.0109349
LPA(16:0),411.2506,393.2400353,313.2737049,239.2375,155.0109349
LPA(16:1),409.235,391.2244353,311.2581049,237.2218,155.0109349
LPA(16:2),407.2193,389.2087353,309.2424049,235.2062,155.0109349
LPA(17:0),425.2663,407.2557353,327.2894049,253.2531501,155.0109349
LPA(17:1),423.2506,405.2400353,325.2737049,251.2375501,155.0109349
LPA(17:2),421.235,403.2244353,323.2581049,249.2219501,155.0109349
LPA(18:0),439.2819,421.2713353,341.3050049,267.2682,155.0109349
LPA(18:1),437.2663,419.2557353,339.2894049,265.2526,155.0109349
LPA(18:2),435.2506,417.2400353,337.2737049,263.2369,155.0109349
LPA(18:3),433.235,415.2244353,335.2581049,261.2213,155.0109349
LPA(18:4),431.2193,413.2087353,333.2424049,259.2056,155.0109349
LPA(19:0),453.2976,435.2870353,355.3207049,281.2838499,155.0109349
LPA(20:0),467.3132,449.3026353,369.3363049,295.2995,155.0109349
LPA(20:1),465.2976,447.2870353,367.3207049,293.2839,155.0109349
LPA(20:2),463.2819,445.2713353,365.3050049,291.2682,155.0109349
LPA(20:3),461.2663,443.2557353,363.2894049,289.2526,155.0109349
LPA(20:4),459.2506,441.2400353,361.2737049,287.2369,155.0109349
LPA(20:5),457.235,439.2244353,359.2581049,285.2213,155.0109349
LPA(21:0),481.3289,463.3183353,383.3520049,309.3151501,155.0109349
LPA(22:0),495.3445,477.3339353,397.3676049,323.3308,155.0109349
LPA(22:1),493.3289,475.3183353,395.3520049,321.3152,155.0109349
LPA(22:2),491.3132,473.3026353,393.3363049,319.2995,155.0109349
LPA(22:3),489.2976,471.2870353,391.3207049,317.2839,155.0109349
LPA(22:4),487.2819,469.2713353,389.3050049,315.2682,155.0109349
LPA(22:5),485.2663,467.2557353,387.2894049,313.2526,155.0109349
LPA(22:6),483.2506,465.2400353,385.2737049,311.237,155.0109349
LPA(23:0),509.3602,491.3496353,411.3833049,337.3464501,155.0109349
LPA(24:0),523.3758,505.3652353,425.3989049,351.3621,155.0109349
LPA(24:1),521.3602,503.3496353,423.3833049,349.3465,155.0109349
LPA(25:0),537.3915,519.3809353,439.4146049,365.3777501,155.0109349
LPA(26:0),551.4071,533.3965353,453.4302049,379.3934001,155.0109349
LPA(26:1),549.3915,531.3809353,451.4146049,377.3778001,155.0109349
LPA(28:0),579.4384,561.4278353,481.4615049,407.4247003,155.0109349
LPA(28:1),577.4228,559.4122353,479.4459049,405.4091003,155.0109349
scores,0.033333333,0.45,0.45,0.033333333,0.033333333
