LPC,[M+H]+,[M+H-H2O]+,[PC Head]+,[PC Head-HPO3]+
LPC(6:0),356.1833,338.1727353,184.07332,104.1069
LPC(8:0),384.214605,366.2040403,184.07332,104.1069
LPC(10:0),412.245905,394.2353403,184.07332,104.1069
LPC(12:0),440.277205,422.2666403,184.07332,104.1069
LPC(13:0),454.292855,436.2822903,184.07332,104.1069
LPC(14:0),468.308505,450.2979403,184.07332,104.1069
LPC(14:1),466.292855,448.2822903,184.07332,104.1069
LPC(15:0),482.324155,464.3135903,184.07332,104.1069
LPC(15:1),480.308505,462.2979403,184.07332,104.1069
LPC(16:0),496.339805,478.3292403,184.07332,104.1069
LPC(16:1),494.324155,476.3135903,184.07332,104.1069
LPC(17:0),510.355455,492.3448903,184.07332,104.1069
LPC(17:1),508.339805,490.3292403,184.07332,104.1069
LPC(17:2),506.324155,488.3135903,184.07332,104.1069
LPC(18:0),524.371105,506.3605403,184.07332,104.1069
LPC(18:1),522.355455,504.3448903,184.07332,104.1069
LPC(18:2),520.339805,502.3292403,184.07332,104.1069
LPC(18:3),518.324155,500.3135903,184.07332,104.1069
LPC(18:4),516.308505,498.2979403,184.07332,104.1069
LPC(19:0),538.386755,520.3761903,184.07332,104.1069
LPC(20:0),552.402405,534.3918403,184.07332,104.1069
LPC(20:1),550.386755,532.3761903,184.07332,104.1069
LPC(20:2),548.371105,530.3605403,184.07332,104.1069
LPC(20:3),546.355455,528.3448903,184.07332,104.1069
LPC(20:4),544.339805,526.3292403,184.07332,104.1069
LPC(20:5),542.324155,524.3135903,184.07332,104.1069
LPC(21:0),566.418055,548.4074903,184.07332,104.1069
LPC(22:0),580.433705,562.4231403,184.07332,104.1069
LPC(22:1),578.418055,560.4074903,184.07332,104.1069
LPC(22:2),576.402405,558.3918403,184.07332,104.1069
LPC(22:3),574.386755,556.3761903,184.07332,104.1069
LPC(22:4),572.371105,554.3605403,184.07332,104.1069
LPC(22:5),570.355455,552.3448903,184.07332,104.1069
LPC(22:6),568.339805,550.3292403,184.07332,104.1069
LPC(23:0),594.449355,576.4387903,184.07332,104.1069
LPC(24:0),608.465005,590.4544403,184.07332,104.1069
LPC(24:1),606.449355,588.4387903,184.07332,104.1069
LPC(25:0),622.480655,604.4700903,184.07332,104.1069
LPC(26:0),636.496305,618.4857403,184.07332,104.1069
LPC(26:1),634.480655,616.4700903,184.07332,104.1069
LPC(28:0),664.527605,646.5170403,184.07332,104.1069
LPC(28:1),662.512,644.5014353,184.07332,104.1069
scores,0.3,0.3,0.3,0.1
