LPC,[M+Na]+,[M+Na-PC]+,[M+Na-N(CH3)3]+,[M+Na-NaPC]+,[M+Na-acyl-N(CH3)3]+,[C2H5O4NaP]+
LPC(6:0),378.1652,195.0992,319.0917,205.048,48.8358,146.98179
LPC(8:0),406.195985,223.129985,347.122485,201.147985,76.866585,146.98179
LPC(10:0),434.227285,251.161285,375.153785,229.179285,104.897885,146.98179
LPC(12:0),462.258585,279.192585,403.185085,257.210585,132.929185,146.98179
LPC(13:0),476.274235,293.208235,417.200735,271.226235,146.944835,146.98179
LPC(14:0),490.289885,307.223885,431.216385,285.241885,160.960485,146.98179
LPC(14:1),488.274235,305.208235,429.200735,283.226235,158.944835,146.98179
LPC(15:0),504.305535,321.239535,445.232035,299.257535,174.976135,146.98179
LPC(15:1),502.289885,319.223885,443.216385,297.241885,172.960485,146.98179
LPC(16:0),518.321185,335.255185,459.247685,313.273185,188.991785,146.98179
LPC(16:1),516.305535,333.239535,457.232035,311.257535,186.976135,146.98179
LPC(17:0),532.336835,349.270835,473.263335,327.288835,203.007435,146.98179
LPC(17:1),530.321185,347.255185,471.247685,325.273185,200.991785,146.98179
LPC(17:2),528.305535,345.239535,469.232035,323.257535,198.976135,146.98179
LPC(18:0),546.352485,363.286485,487.278985,341.304485,217.023085,146.98179
LPC(18:1),544.336835,361.270835,485.263335,339.288835,215.007435,146.98179
LPC(18:2),542.321185,359.255185,483.247685,337.273185,212.991785,146.98179
LPC(18:3),540.305535,357.239535,481.232035,335.257535,210.976135,146.98179
LPC(18:4),538.289885,355.223885,479.216385,333.241885,208.960485,146.98179
LPC(19:0),560.368135,377.302135,501.294635,355.320135,231.038735,146.98179
LPC(20:0),574.383785,391.317785,515.310285,369.335785,245.054385,146.98179
LPC(20:1),572.368135,389.302135,513.294635,367.320135,243.038735,146.98179
LPC(20:2),570.352485,387.286485,511.278985,365.304485,241.023085,146.98179
LPC(20:3),568.336835,385.270835,509.263335,363.288835,239.007435,146.98179
LPC(20:4),566.321185,383.255185,507.247685,361.273185,236.991785,146.98179
LPC(20:5),564.305535,381.239535,505.232035,359.257535,234.976135,146.98179
LPC(21:0),588.399435,405.333435,529.325935,383.351435,259.070035,146.98179
LPC(22:0),602.415085,419.349085,543.341585,397.367085,273.085685,146.98179
LPC(22:1),600.399435,417.333435,541.325935,395.351435,271.070035,146.98179
LPC(22:2),598.383785,415.317785,539.310285,393.335785,269.054385,146.98179
LPC(22:3),596.368135,413.302135,537.294635,391.320135,267.038735,146.98179
LPC(22:4),594.352485,411.286485,535.278985,389.304485,265.023085,146.98179
LPC(22:5),592.336835,409.270835,533.263335,387.288835,263.007435,146.98179
LPC(22:6),590.321185,407.255185,531.247685,385.273185,260.991785,146.98179
LPC(23:0),616.430735,433.364735,557.357235,411.382735,287.101335,146.98179
LPC(24:0),630.446385,447.380385,571.372885,425.398385,301.116985,146.98179
LPC(24:1),628.430735,445.364735,569.357235,423.382735,299.101335,146.98179
LPC(25:0),644.462035,461.396035,585.388535,439.414035,315.132635,146.98179
LPC(26:0),658.477685,475.411685,599.404185,453.429685,329.148285,146.98179
LPC(26:1),656.462035,473.396,597.388535,451.414035,327.132635,146.98179
LPC(28:0),684.493335,501.427335,625.419835,479.445335,355.163935,146.98179
LPC(28:1),682.477685,499.411685,623.404185,477.429685,353.148285,146.98179
scores,0.05,0.225,0.225,0.225,0.05,0.225
