LPE,[M+Na]+,[M+Na-H2O]+,[M+H]+,[M+Na-43]+,[M+H-PE head]+,[M+Na-43-R1]+,[PE+Na]+,[H3PO4Na]+
LPE(8:0),364.148475,346.1379103,324.1570703,321.106275,223.1293807,176.99139,164.00888,120.9667
LPE(10:0),392.179775,374.1692103,370.198935,349.137575,251.1606807,176.99139,164.00888,120.9667
LPE(12:0),420.211075,402.2005103,398.230235,377.168875,279.1919807,176.99139,164.00888,120.9667
LPE(13:0),434.226725,416.2161603,412.245885,391.184525,293.2076307,176.99139,164.00888,120.9667
LPE(14:0),448.242375,430.2318103,426.261535,405.200175,307.2232807,176.99139,164.00888,120.9667
LPE(14:1),446.226725,428.2161603,424.245885,403.184525,305.2076307,176.99139,164.00888,120.9667
LPE(15:0),462.258025,444.2474603,440.277185,419.215825,321.2389307,176.99139,164.00888,120.9667
LPE(15:1),460.242375,442.2318103,438.261535,417.200175,319.2232807,176.99139,164.00888,120.9667
LPE(16:0),476.273675,458.2631103,454.292835,433.231475,335.2545807,176.99139,164.00888,120.9667
LPE(16:1),474.258025,456.2474603,452.277185,431.215825,333.2389307,176.99139,164.00888,120.9667
LPE(17:0),490.289325,472.2787603,468.308485,447.247125,349.2702307,176.99139,164.00888,120.9667
LPE(17:1),488.273675,470.2631103,466.292835,445.231475,347.2545807,176.99139,164.00888,120.9667
LPE(17:2),486.258025,468.2474603,464.277185,443.215825,345.2389307,176.99139,164.00888,120.9667
LPE(18:0),504.304975,486.2944103,482.324135,461.262775,363.2858807,176.99139,164.00888,120.9667
LPE(18:1),502.289325,484.2787603,462.2979203,459.247125,361.2702307,176.99139,164.00888,120.9667
LPE(18:2),500.273675,482.2631103,478.292835,457.231475,359.2545807,176.99139,164.00888,120.9667
LPE(18:3),498.258025,480.2474603,476.277185,455.215825,357.2389307,176.99139,164.00888,120.9667
LPE(18:4),496.242375,478.2318103,474.261535,453.200175,355.2232807,176.99139,164.00888,120.9667
LPE(19:0),518.320625,500.3100603,496.339785,475.278425,377.3015307,176.99139,164.00888,120.9667
LPE(20:0),532.336275,514.3257103,510.355435,489.294075,391.3171807,176.99139,164.00888,120.9667
LPE(20:1),530.320625,512.3100603,508.339785,487.278425,389.3015307,176.99139,164.00888,120.9667
LPE(20:2),528.304975,510.2944103,506.324135,485.262775,387.2858807,176.99139,164.00888,120.9667
LPE(20:3),526.289325,508.2787603,504.308485,483.247125,385.2702307,176.99139,164.00888,120.9667
LPE(20:4),524.273675,506.2631103,502.292835,481.231475,383.2545807,176.99139,164.00888,120.9667
LPE(20:5),522.258025,504.2474603,500.277185,479.215825,381.2389307,176.99139,164.00888,120.9667
LPE(21:0),546.351925,528.3413603,524.371085,503.309725,405.3328307,176.99139,164.00888,120.9667
LPE(22:0),560.367575,542.3570103,538.386735,517.325375,419.3484807,176.99139,164.00888,120.9667
LPE(22:1),558.351925,540.3413603,536.371085,515.309725,417.3328307,176.99139,164.00888,120.9667
LPE(22:2),556.336275,538.3257103,534.355435,513.294075,415.3171807,176.99139,164.00888,120.9667
LPE(22:3),554.320625,536.3100603,532.339785,511.278425,413.3015307,176.99139,164.00888,120.9667
LPE(22:4),552.304975,534.2944103,530.324135,509.262775,411.2858807,176.99139,164.00888,120.9667
LPE(22:5),550.289325,532.2787603,528.308485,507.247125,409.2702307,176.99139,164.00888,120.9667
LPE(22:6),548.273675,530.2631103,526.292835,505.231475,407.2545807,176.99139,164.00888,120.9667
LPE(23:0),574.383225,556.3726603,552.402385,531.341025,433.3641307,176.99139,164.00888,120.9667
LPE(24:0),588.398875,570.3883103,566.418035,545.356675,447.3797807,176.99139,164.00888,120.9667
LPE(24:1),586.383225,568.3726603,564.402385,543.341025,445.3641307,176.99139,164.00888,120.9667
LPE(25:0),602.414525,584.4039603,580.433685,559.372325,461.3954307,176.99139,164.00888,120.9667
LPE(26:0),616.430175,598.4196103,594.449335,573.387975,475.4110807,176.99139,164.00888,120.9667
scores,0.016666667,0.016666667,0.016666667,0.45,0.45,0.016666667,0.016666667,0.016666667
