MG,[M+Na]+,[M+H-H2O]+,[R1CO]+,[R1CO-H2O]+
MG(8:0),241.141,201.1485,127.1117,109.1012
MG(10:0),269.1723,229.1798,155.143,137.1325
MG(12:0),297.2036,257.2111,183.1743,165.1638
MG(13:0),311.2193,271.2268,197.19,179.1795
MG(14:0),325.2349,285.2424,211.2056,193.1951
MG(14:1),323.2193,283.2268,209.19,191.1795
MG(15:0),339.2506,299.2581,225.2213,207.2108
MG(15:1),337.2349,297.2424,223.2056,205.1951
MG(16:0),353.2662,313.2737,239.2369,221.2264
MG(16:1),351.2506,311.2581,237.2213,219.2108
MG(17:0),367.2819,327.2894,253.2526,235.2421
MG(17:1),365.2662,325.2737,251.2369,233.2264
MG(17:2),363.2506,323.2581,249.2213,231.2108
MG(18:0),381.2975,341.305,267.2682,249.2577
MG(18:1),379.2819,339.2894,265.2526,247.2421
MG(18:2),377.2662,337.2737,263.2369,245.2264
MG(18:3),375.2506,335.2581,261.2213,243.2108
MG(18:4),373.2349,333.2424,259.2056,241.1951
MG(19:0),395.3132,355.3207,281.2839,263.2734
MG(20:0),409.3288,369.3363,295.2995,277.289
MG(20:1),407.3132,367.3207,293.2839,275.2734
MG(20:2),405.2975,365.305,291.2682,273.2577
MG(20:3),403.2819,363.2894,289.2526,271.2421
MG(20:4),401.2662,361.2737,287.2369,269.2264
MG(20:5),399.2506,359.2581,285.2213,267.2108
MG(21:0),423.3445,383.352,309.3152,291.3047
MG(22:0),437.3601,397.3676,323.3308,305.3203
MG(22:1),435.3445,395.352,321.3152,303.3047
MG(22:2),433.3288,393.3363,319.2995,301.289
MG(22:3),431.3132,391.3207,317.2839,299.2734
MG(22:4),429.2975,389.305,315.2682,297.2577
MG(22:5),427.2819,387.2894,313.2526,295.2421
MG(22:6),425.2662,385.2737,311.2369,293.2264
MG(23:0),451.3758,411.3833,337.3465,319.336
MG(24:0),465.3914,425.3989,351.3621,333.3516
MG(24:1),463.3758,423.3833,349.3465,331.336
MG(25:0),479.4071,439.4146,365.3778,347.3673
MG(26:0),493.4227,453.4302,379.3934,361.3829
scores,0.3,0.3,0.3,0.1
