"PA","[M+H]+","[M+H-96]+","[M+H-96-acyl-sn1]+","[M+H-96-acyl-sn2]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PA(16:0) PA(8:0_8:0)",425.2299,327.25299,201.14854,201.14854,127.11175,127.11175
"PA(18:0) PA(8:0_10:0)",453.2612,355.28429,229.17984,201.14854,127.11175,155.14305
"PA(20:0) PA(8:0_12:0)",481.2925,383.31559,257.21114,201.14854,127.11175,183.17435
"PA(21:0) PA(8:0_13:0)",495.3082,397.33129,271.22684,201.14854,127.11175,197.19005
"PA(22:0) PA(8:0_14:0)",509.3238,411.34689,285.24244,201.14854,127.11175,211.20565
"PA(22:1) PA(8:0_14:1)",507.3082,409.33129,283.22684,201.14854,127.11175,209.19005
"PA(23:0) PA(8:0_15:0)",523.3395,425.36259,299.25814,201.14854,127.11175,225.22135
"PA(23:1) PA(8:0_15:1)",521.3238,423.34689,297.24244,201.14854,127.11175,223.20565
"PA(24:0) PA(8:0_16:0)",537.3551,439.37819,313.27374,201.14854,127.11175,239.23695
"PA(24:1) PA(8:0_16:1)",535.3395,437.36259,311.25814,201.14854,127.11175,237.22135
"PA(25:0) PA(8:0_17:0)",551.3708,453.39389,327.28944,201.14854,127.11175,253.25265
"PA(25:1) PA(8:0_17:1)",549.3551,451.37819,325.27374,201.14854,127.11175,251.23695
"PA(25:2) PA(8:0_17:2)",547.3395,449.36259,323.25814,201.14854,127.11175,249.22135
"PA(26:0) PA(8:0_18:0)",565.3864,467.40949,341.30504,201.14854,127.11175,267.26825
"PA(26:1) PA(8:0_18:1)",563.3708,465.39389,339.28944,201.14854,127.11175,265.25265
"PA(26:2) PA(8:0_18:2)",561.3551,463.37819,337.27374,201.14854,127.11175,263.23695
"PA(26:3) PA(8:0_18:3)",559.3395,461.36259,335.25814,201.14854,127.11175,261.22135
"PA(26:4) PA(8:0_18:4)",557.3238,459.34689,333.24244,201.14854,127.11175,259.20565
"PA(27:0) PA(8:0_19:0)",579.4021,481.42519,355.32074,201.14854,127.11175,281.28395
"PA(28:0) PA(8:0_20:0)",593.4177,495.44079,369.33634,201.14854,127.11175,295.29955
"PA(28:1) PA(8:0_20:1)",591.4021,493.42519,367.32074,201.14854,127.11175,293.28395
"PA(28:2) PA(8:0_20:2)",589.3864,491.40949,365.30504,201.14854,127.11175,291.26825
"PA(28:3) PA(8:0_20:3)",587.3708,489.39389,363.28944,201.14854,127.11175,289.25265
"PA(28:4) PA(8:0_20:4)",585.3551,487.37819,361.27374,201.14854,127.11175,287.23695
"PA(28:5) PA(8:0_20:5)",583.3395,485.36259,359.25814,201.14854,127.11175,285.22135
"PA(29:0) PA(8:0_21:0)",607.4334,509.45649,383.35204,201.14854,127.11175,309.31525
"PA(30:0) PA(8:0_22:0)",621.449,523.47209,397.36764,201.14854,127.11175,323.33085
"PA(30:1) PA(8:0_22:1)",619.4334,521.45649,395.35204,201.14854,127.11175,321.31525
"PA(30:2) PA(8:0_22:2)",617.4177,519.44079,393.33634,201.14854,127.11175,319.29955
"PA(30:3) PA(8:0_22:3)",615.4021,517.42519,391.32074,201.14854,127.11175,317.28395
"PA(30:4) PA(8:0_22:4)",613.3864,515.40949,389.30504,201.14854,127.11175,315.26825
"PA(30:5) PA(8:0_22:5)",611.3708,513.39389,387.28944,201.14854,127.11175,313.25265
"PA(30:6) PA(8:0_22:6)",609.3551,511.37819,385.27374,201.14854,127.11175,311.23695
"PA(31:0) PA(8:0_23:0)",635.4647,537.48779,411.38334,201.14854,127.11175,337.34655
"PA(32:0) PA(8:0_24:0)",649.4803,551.50339,425.39894,201.14854,127.11175,351.36215
"PA(32:1) PA(8:0_24:1)",647.4647,549.48779,423.38334,201.14854,127.11175,349.34655
"PA(33:0) PA(8:0_25:0)",663.496,565.51909,439.41464,201.14854,127.11175,365.37785
"PA(34:0) PA(8:0_26:0)",677.5116,579.53469,453.43024,201.14854,127.11175,379.39345
"PA(20:0) PA(10:0_10:0)",481.2925,383.31559,229.17984,229.17984,155.14305,155.14305
"PA(22:0) PA(10:0_12:0)",509.3238,411.34689,257.21114,229.17984,155.14305,183.17435
"PA(23:0) PA(10:0_13:0)",523.3395,425.36259,271.22684,229.17984,155.14305,197.19005
"PA(24:0) PA(10:0_14:0)",537.3551,439.37819,285.24244,229.17984,155.14305,211.20565
"PA(24:1) PA(10:0_14:1)",535.3395,437.36259,283.22684,229.17984,155.14305,209.19005
"PA(25:0) PA(10:0_15:0)",551.3708,453.39389,299.25814,229.17984,155.14305,225.22135
"PA(25:1) PA(10:0_15:1)",549.3551,451.37819,297.24244,229.17984,155.14305,223.20565
"PA(26:0) PA(10:0_16:0)",565.3864,467.40949,313.27374,229.17984,155.14305,239.23695
"PA(26:1) PA(10:0_16:1)",563.3708,465.39389,311.25814,229.17984,155.14305,237.22135
"PA(27:0) PA(10:0_17:0)",579.4021,481.42519,327.28944,229.17984,155.14305,253.25265
"PA(27:1) PA(10:0_17:1)",577.3864,479.40949,325.27374,229.17984,155.14305,251.23695
"PA(27:2) PA(10:0_17:2)",575.3708,477.39389,323.25814,229.17984,155.14305,249.22135
"PA(28:0) PA(10:0_18:0)",593.4177,495.44079,341.30504,229.17984,155.14305,267.26825
"PA(28:1) PA(10:0_18:1)",591.4021,493.42519,339.28944,229.17984,155.14305,265.25265
"PA(28:2) PA(10:0_18:2)",589.3864,491.40949,337.27374,229.17984,155.14305,263.23695
"PA(28:3) PA(10:0_18:3)",587.3708,489.39389,335.25814,229.17984,155.14305,261.22135
"PA(28:4) PA(10:0_18:4)",585.3551,487.37819,333.24244,229.17984,155.14305,259.20565
"PA(29:0) PA(10:0_19:0)",607.4334,509.45649,355.32074,229.17984,155.14305,281.28395
"PA(30:0) PA(10:0_20:0)",621.449,523.47209,369.33634,229.17984,155.14305,295.29955
"PA(30:1) PA(10:0_20:1)",619.4334,521.45649,367.32074,229.17984,155.14305,293.28395
"PA(30:2) PA(10:0_20:2)",617.4177,519.44079,365.30504,229.17984,155.14305,291.26825
"PA(30:3) PA(10:0_20:3)",615.4021,517.42519,363.28944,229.17984,155.14305,289.25265
"PA(30:4) PA(10:0_20:4)",613.3864,515.40949,361.27374,229.17984,155.14305,287.23695
"PA(30:5) PA(10:0_20:5)",611.3708,513.39389,359.25814,229.17984,155.14305,285.22135
"PA(31:0) PA(10:0_21:0)",635.4647,537.48779,383.35204,229.17984,155.14305,309.31525
"PA(32:0) PA(10:0_22:0)",649.4803,551.50339,397.36764,229.17984,155.14305,323.33085
"PA(32:1) PA(10:0_22:1)",647.4647,549.48779,395.35204,229.17984,155.14305,321.31525
"PA(32:2) PA(10:0_22:2)",645.449,547.47209,393.33634,229.17984,155.14305,319.29955
"PA(32:3) PA(10:0_22:3)",643.4334,545.45649,391.32074,229.17984,155.14305,317.28395
"PA(32:4) PA(10:0_22:4)",641.4177,543.44079,389.30504,229.17984,155.14305,315.26825
"PA(32:5) PA(10:0_22:5)",639.4021,541.42519,387.28944,229.17984,155.14305,313.25265
"PA(32:6) PA(10:0_22:6)",637.3864,539.40949,385.27374,229.17984,155.14305,311.23695
"PA(33:0) PA(10:0_23:0)",663.496,565.51909,411.38334,229.17984,155.14305,337.34655
"PA(34:0) PA(10:0_24:0)",677.5116,579.53469,425.39894,229.17984,155.14305,351.36215
"PA(34:1) PA(10:0_24:1)",675.496,577.51909,423.38334,229.17984,155.14305,349.34655
"PA(35:0) PA(10:0_25:0)",691.5273,593.55039,439.41464,229.17984,155.14305,365.37785
"PA(36:0) PA(10:0_26:0)",705.5429,607.56599,453.43024,229.17984,155.14305,379.39345
"PA(24:0) PA(12:0_12:0)",537.3551,439.37819,257.21114,257.21114,183.17435,183.17435
"PA(25:0) PA(12:0_13:0)",551.3708,453.39389,271.22684,257.21114,183.17435,197.19005
"PA(26:0) PA(12:0_14:0)",565.3864,467.40949,285.24244,257.21114,183.17435,211.20565
"PA(26:1) PA(12:0_14:1)",563.3708,465.39389,283.22684,257.21114,183.17435,209.19005
"PA(27:0) PA(12:0_15:0)",579.4021,481.42519,299.25814,257.21114,183.17435,225.22135
"PA(27:1) PA(12:0_15:1)",577.3864,479.40949,297.24244,257.21114,183.17435,223.20565
"PA(28:0) PA(12:0_16:0)",593.4177,495.44079,313.27374,257.21114,183.17435,239.23695
"PA(28:1) PA(12:0_16:1)",591.4021,493.42519,311.25814,257.21114,183.17435,237.22135
"PA(29:0) PA(12:0_17:0)",607.4334,509.45649,327.28944,257.21114,183.17435,253.25265
"PA(29:1) PA(12:0_17:1)",605.4177,507.44079,325.27374,257.21114,183.17435,251.23695
"PA(29:2) PA(12:0_17:2)",603.4021,505.42519,323.25814,257.21114,183.17435,249.22135
"PA(30:0) PA(12:0_18:0)",621.449,523.47209,341.30504,257.21114,183.17435,267.26825
"PA(30:1) PA(12:0_18:1)",619.4334,521.45649,339.28944,257.21114,183.17435,265.25265
"PA(30:2) PA(12:0_18:2)",617.4177,519.44079,337.27374,257.21114,183.17435,263.23695
"PA(30:3) PA(12:0_18:3)",615.4021,517.42519,335.25814,257.21114,183.17435,261.22135
"PA(30:4) PA(12:0_18:4)",613.3864,515.40949,333.24244,257.21114,183.17435,259.20565
"PA(31:0) PA(12:0_19:0)",635.4647,537.48779,355.32074,257.21114,183.17435,281.28395
"PA(32:0) PA(12:0_20:0)",649.4803,551.50339,369.33634,257.21114,183.17435,295.29955
"PA(32:1) PA(12:0_20:1)",647.4647,549.48779,367.32074,257.21114,183.17435,293.28395
