"PC","[M+H]+","[M+H-PC]+","[M+H-tail1-N(CH3)3]+","[M+H-tail2-N(CH3)3]+","[M+H-tail1]+","[M+H-tail2]+","[LPC_tail1]+","[LPC_tail2]+","[PC Head]+"
"PC(8:0) PC(4:0_4:0)",398.19378,215.12774,251.0678,251.0678,310.1413,310.1413,328.15205,328.15205,184.07332
"PC(8:1) PC(4:0_4:1)",396.17812,213.11208,249.05214,251.0678,308.12564,310.1413,328.15205,326.13639,184.07332
"PC(9:0) PC(4:0_5:0)",412.20944,229.1434,265.08346,251.0678,324.15696,310.1413,328.15205,342.16771,184.07332
"PC(9:1) PC(4:0_5:1)",410.19378,227.12774,263.0678,251.0678,322.1413,310.1413,328.15205,340.15205,184.07332
"PC(9:2) PC(4:0_5:2)",408.17812,225.11208,261.05214,251.0678,320.12564,310.1413,328.15205,338.13639,184.07332
"PC(10:0) PC(4:0_6:0)",426.2251,243.15906,279.09912,251.0678,338.17262,310.1413,328.15205,356.18337,184.07332
"PC(10:1) PC(4:0_6:1)",424.20944,241.1434,277.08346,251.0678,336.15696,310.1413,328.15205,354.16771,184.07332
"PC(10:2) PC(4:0_6:2)",422.19378,239.12774,275.0678,251.0678,334.1413,310.1413,328.15205,352.15205,184.07332
"PC(11:0) PC(4:0_7:0)",440.24076,257.17472,293.11478,251.0678,352.18828,310.1413,328.15205,370.19903,184.07332
"PC(11:1) PC(4:0_7:1)",438.2251,255.15906,291.09912,251.0678,350.17262,310.1413,328.15205,368.18337,184.07332
"PC(11:2) PC(4:0_7:2)",436.20944,253.1434,289.08346,251.0678,348.15696,310.1413,328.15205,366.16771,184.07332
"PC(11:3) PC(4:0_7:3)",434.19378,251.12774,287.0678,251.0678,346.1413,310.1413,328.15205,364.15205,184.07332
"PC(12:0) PC(4:0_8:0)",454.25642,271.19038,307.13044,251.0678,366.20394,310.1413,328.15205,384.21469,184.07332
"PC(12:1) PC(4:0_8:1)",452.24076,269.17472,305.11478,251.0678,364.18828,310.1413,328.15205,382.19903,184.07332
"PC(12:2) PC(4:0_8:2)",450.2251,267.15906,303.09912,251.0678,362.17262,310.1413,328.15205,380.18337,184.07332
"PC(12:3) PC(4:0_8:3)",448.20944,265.1434,301.08346,251.0678,360.15696,310.1413,328.15205,378.16771,184.07332
"PC(13:0) PC(4:0_9:0)",468.27208,285.20604,321.1461,251.0678,380.2196,310.1413,328.15205,398.23035,184.07332
"PC(13:1) PC(4:0_9:1)",466.25642,283.19038,319.13044,251.0678,378.20394,310.1413,328.15205,396.21469,184.07332
"PC(13:2) PC(4:0_9:2)",464.24076,281.17472,317.11478,251.0678,376.18828,310.1413,328.15205,394.19903,184.07332
"PC(13:3) PC(4:0_9:3)",462.2251,279.15906,315.09912,251.0678,374.17262,310.1413,328.15205,392.18337,184.07332
"PC(13:4) PC(4:0_9:4)",460.20944,277.1434,313.08346,251.0678,372.15696,310.1413,328.15205,390.16771,184.07332
"PC(14:0) PC(4:0_10:0)",482.28774,299.2217,335.16176,251.0678,394.23526,310.1413,328.15205,412.24601,184.07332
"PC(14:1) PC(4:0_10:1)",480.27208,297.20604,333.1461,251.0678,392.2196,310.1413,328.15205,410.23035,184.07332
"PC(14:2) PC(4:0_10:2)",478.25642,295.19038,331.13044,251.0678,390.20394,310.1413,328.15205,408.21469,184.07332
"PC(14:3) PC(4:0_10:3)",476.24076,293.17472,329.11478,251.0678,388.18828,310.1413,328.15205,406.19903,184.07332
"PC(14:4) PC(4:0_10:4)",474.2251,291.15906,327.09912,251.0678,386.17262,310.1413,328.15205,404.18337,184.07332
"PC(15:0) PC(4:0_11:0)",496.3034,313.23736,349.17742,251.0678,408.25092,310.1413,328.15205,426.26167,184.07332
"PC(15:1) PC(4:0_11:1)",494.28774,311.2217,347.16176,251.0678,406.23526,310.1413,328.15205,424.24601,184.07332
"PC(15:2) PC(4:0_11:2)",492.27208,309.20604,345.1461,251.0678,404.2196,310.1413,328.15205,422.23035,184.07332
"PC(15:3) PC(4:0_11:3)",490.25642,307.19038,343.13044,251.0678,402.20394,310.1413,328.15205,420.21469,184.07332
"PC(15:4) PC(4:0_11:4)",488.24076,305.17472,341.11478,251.0678,400.18828,310.1413,328.15205,418.19903,184.07332
"PC(15:5) PC(4:0_11:5)",486.2251,303.15906,339.09912,251.0678,398.17262,310.1413,328.15205,416.18337,184.07332
"PC(16:0) PC(4:0_12:0)",510.31906,327.25302,363.19308,251.0678,422.26658,310.1413,328.15205,440.27733,184.07332
"PC(16:1) PC(4:0_12:1)",508.3034,325.23736,361.17742,251.0678,420.25092,310.1413,328.15205,438.26167,184.07332
"PC(16:2) PC(4:0_12:2)",506.28774,323.2217,359.16176,251.0678,418.23526,310.1413,328.15205,436.24601,184.07332
"PC(16:3) PC(4:0_12:3)",504.27208,321.20604,357.1461,251.0678,416.2196,310.1413,328.15205,434.23035,184.07332
"PC(16:4) PC(4:0_12:4)",502.25642,319.19038,355.13044,251.0678,414.20394,310.1413,328.15205,432.21469,184.07332
"PC(16:5) PC(4:0_12:5)",500.24076,317.17472,353.11478,251.0678,412.18828,310.1413,328.15205,430.19903,184.07332
"PC(17:0) PC(4:0_13:0)",524.33472,341.26868,377.20874,251.0678,436.28224,310.1413,328.15205,454.29299,184.07332
"PC(17:1) PC(4:0_13:1)",522.31906,339.25302,375.19308,251.0678,434.26658,310.1413,328.15205,452.27733,184.07332
"PC(17:2) PC(4:0_13:2)",520.3034,337.23736,373.17742,251.0678,432.25092,310.1413,328.15205,450.26167,184.07332
"PC(17:3) PC(4:0_13:3)",518.28774,335.2217,371.16176,251.0678,430.23526,310.1413,328.15205,448.24601,184.07332
"PC(17:4) PC(4:0_13:4)",516.27208,333.20604,369.1461,251.0678,428.2196,310.1413,328.15205,446.23035,184.07332
"PC(17:5) PC(4:0_13:5)",514.25642,331.19038,367.13044,251.0678,426.20394,310.1413,328.15205,444.21469,184.07332
"PC(17:6) PC(4:0_13:6)",512.24076,329.17472,365.11478,251.0678,424.18828,310.1413,328.15205,442.19903,184.07332
"PC(18:0) PC(4:0_14:0)",538.35038,355.28434,391.2244,251.0678,450.2979,310.1413,328.15205,468.30865,184.07332
"PC(18:1) PC(4:0_14:1)",536.33472,353.26868,389.20874,251.0678,448.28224,310.1413,328.15205,466.29299,184.07332
"PC(18:2) PC(4:0_14:2)",534.31906,351.25302,387.19308,251.0678,446.26658,310.1413,328.15205,464.27733,184.07332
"PC(18:3) PC(4:0_14:3)",532.3034,349.23736,385.17742,251.0678,444.25092,310.1413,328.15205,462.26167,184.07332
"PC(18:4) PC(4:0_14:4)",530.28774,347.2217,383.16176,251.0678,442.23526,310.1413,328.15205,460.24601,184.07332
"PC(18:5) PC(4:0_14:5)",528.27208,345.20604,381.1461,251.0678,440.2196,310.1413,328.15205,458.23035,184.07332
"PC(18:6) PC(4:0_14:6)",526.25642,343.19038,379.13044,251.0678,438.20394,310.1413,328.15205,456.21469,184.07332
"PC(19:0) PC(4:0_15:0)",552.36604,369.3,405.24006,251.0678,464.31356,310.1413,328.15205,482.32431,184.07332
"PC(19:1) PC(4:0_15:1)",550.35038,367.28434,403.2244,251.0678,462.2979,310.1413,328.15205,480.30865,184.07332
"PC(19:2) PC(4:0_15:2)",548.33472,365.26868,401.20874,251.0678,460.28224,310.1413,328.15205,478.29299,184.07332
"PC(19:3) PC(4:0_15:3)",546.31906,363.25302,399.19308,251.0678,458.26658,310.1413,328.15205,476.27733,184.07332
"PC(19:4) PC(4:0_15:4)",544.3034,361.23736,397.17742,251.0678,456.25092,310.1413,328.15205,474.26167,184.07332
"PC(19:5) PC(4:0_15:5)",542.28774,359.2217,395.16176,251.0678,454.23526,310.1413,328.15205,472.24601,184.07332
"PC(19:6) PC(4:0_15:6)",540.27208,357.20604,393.1461,251.0678,452.2196,310.1413,328.15205,470.23035,184.07332
"PC(20:0) PC(4:0_16:0)",566.3817,383.31566,419.25572,251.0678,478.32922,310.1413,328.15205,496.33997,184.07332
"PC(20:1) PC(4:0_16:1)",564.36604,381.3,417.24006,251.0678,476.31356,310.1413,328.15205,494.32431,184.07332
"PC(20:2) PC(4:0_16:2)",562.35038,379.28434,415.2244,251.0678,474.2979,310.1413,328.15205,492.30865,184.07332
"PC(20:3) PC(4:0_16:3)",560.33472,377.26868,413.20874,251.0678,472.28224,310.1413,328.15205,490.29299,184.07332
"PC(20:4) PC(4:0_16:4)",558.31906,375.25302,411.19308,251.0678,470.26658,310.1413,328.15205,488.27733,184.07332
"PC(20:5) PC(4:0_16:5)",556.3034,373.23736,409.17742,251.0678,468.25092,310.1413,328.15205,486.26167,184.07332
"PC(20:6) PC(4:0_16:6)",554.28774,371.2217,407.16176,251.0678,466.23526,310.1413,328.15205,484.24601,184.07332
"PC(21:0) PC(4:0_17:0)",580.39736,397.33132,433.27138,251.0678,492.34488,310.1413,328.15205,510.35563,184.07332
"PC(21:1) PC(4:0_17:1)",578.3817,395.31566,431.25572,251.0678,490.32922,310.1413,328.15205,508.33997,184.07332
"PC(21:2) PC(4:0_17:2)",576.36604,393.3,429.24006,251.0678,488.31356,310.1413,328.15205,506.32431,184.07332
"PC(21:3) PC(4:0_17:3)",574.35038,391.28434,427.2244,251.0678,486.2979,310.1413,328.15205,504.30865,184.07332
"PC(21:4) PC(4:0_17:4)",572.33472,389.26868,425.20874,251.0678,484.28224,310.1413,328.15205,502.29299,184.07332
"PC(21:5) PC(4:0_17:5)",570.31906,387.25302,423.19308,251.0678,482.26658,310.1413,328.15205,500.27733,184.07332
"PC(21:6) PC(4:0_17:6)",568.3034,385.23736,421.17742,251.0678,480.25092,310.1413,328.15205,498.26167,184.07332
"PC(22:0) PC(4:0_18:0)",594.41302,411.34698,447.28704,251.0678,506.36054,310.1413,328.15205,524.37129,184.07332
"PC(22:1) PC(4:0_18:1)",592.39736,409.33132,445.27138,251.0678,504.34488,310.1413,328.15205,522.35563,184.07332
"PC(22:2) PC(4:0_18:2)",590.3817,407.31566,443.25572,251.0678,502.32922,310.1413,328.15205,520.33997,184.07332
"PC(22:3) PC(4:0_18:3)",588.36604,405.3,441.24006,251.0678,500.31356,310.1413,328.15205,518.32431,184.07332
"PC(22:4) PC(4:0_18:4)",586.35038,403.28434,439.2244,251.0678,498.2979,310.1413,328.15205,516.30865,184.07332
"PC(22:5) PC(4:0_18:5)",584.33472,401.26868,437.20874,251.0678,496.28224,310.1413,328.15205,514.29299,184.07332
"PC(22:6) PC(4:0_18:6)",582.31906,399.25302,435.19308,251.0678,494.26658,310.1413,328.15205,512.27733,184.07332
"PC(23:0) PC(4:0_19:0)",608.42868,425.36264,461.3027,251.0678,520.3762,310.1413,328.15205,538.38695,184.07332
"PC(23:1) PC(4:0_19:1)",606.41302,423.34698,459.28704,251.0678,518.36054,310.1413,328.15205,536.37129,184.07332
"PC(23:2) PC(4:0_19:2)",604.39736,421.33132,457.27138,251.0678,516.34488,310.1413,328.15205,534.35563,184.07332
"PC(23:3) PC(4:0_19:3)",602.3817,419.31566,455.25572,251.0678,514.32922,310.1413,328.15205,532.33997,184.07332
"PC(23:4) PC(4:0_19:4)",600.36604,417.3,453.24006,251.0678,512.31356,310.1413,328.15205,530.32431,184.07332
"PC(23:5) PC(4:0_19:5)",598.35038,415.28434,451.2244,251.0678,510.2979,310.1413,328.15205,528.30865,184.07332
"PC(23:6) PC(4:0_19:6)",596.33472,413.26868,449.20874,251.0678,508.28224,310.1413,328.15205,526.29299,184.07332
"PC(24:0) PC(4:0_20:0)",622.44434,439.3783,475.31836,251.0678,534.39186,310.1413,328.15205,552.40261,184.07332
"PC(24:1) PC(4:0_20:1)",620.42868,437.36264,473.3027,251.0678,532.3762,310.1413,328.15205,550.38695,184.07332
"PC(24:2) PC(4:0_20:2)",618.41302,435.34698,471.28704,251.0678,530.36054,310.1413,328.15205,548.37129,184.07332
