"PC","[M+Na]+","[M+Na-PC]+","[M+Na-N(CH3)3]+","[M+Na-NaPC]+","[M+Na-tail1-N(CH3)3]+","[M+Na-tail2-N(CH3)3]+","[M+Na-tail1]+","[M+Na-tail2]+","[C2H5O4NaP]+"
"PC(16:0) PC(8:0_8:0)",532.30098,349.23494,473.227481,327.253,329.112451,329.112451,388.18595,388.18595,146.98179
"PC(18:0) PC(8:0_10:0)",560.33228,377.26624,501.258781,355.2843,357.143751,329.112451,416.21725,388.18595,146.98179
"PC(20:0) PC(8:0_12:0)",588.36358,405.29754,529.290081,383.3156,385.175051,329.112451,444.24855,388.18595,146.98179
"PC(21:0) PC(8:0_13:0)",602.37928,419.31324,543.305781,397.3313,399.190751,329.112451,458.26425,388.18595,146.98179
"PC(22:0) PC(8:0_14:0)",616.39488,433.32884,557.321381,411.3469,413.206351,329.112451,472.27985,388.18595,146.98179
"PC(22:1) PC(8:0_14:1)",614.37928,431.31324,555.305781,409.3313,411.190751,329.112451,470.26425,388.18595,146.98179
"PC(23:0) PC(8:0_15:0)",630.41058,447.34454,571.337081,425.3626,427.222051,329.112451,486.29555,388.18595,146.98179
"PC(23:1) PC(8:0_15:1)",628.39488,445.32884,569.321381,423.3469,425.206351,329.112451,484.27985,388.18595,146.98179
"PC(24:0) PC(8:0_16:0)",644.42618,461.36014,585.352681,439.3782,441.237651,329.112451,500.31115,388.18595,146.98179
"PC(24:1) PC(8:0_16:1)",642.41058,459.34454,583.337081,437.3626,439.222051,329.112451,498.29555,388.18595,146.98179
"PC(25:0) PC(8:0_17:0)",658.44188,475.37584,599.368381,453.3939,455.253351,329.112451,514.32685,388.18595,146.98179
"PC(25:1) PC(8:0_17:1)",656.42618,473.36014,597.352681,451.3782,453.237651,329.112451,512.31115,388.18595,146.98179
"PC(25:2) PC(8:0_17:2)",654.41058,471.34454,595.337081,449.3626,451.222051,329.112451,510.29555,388.18595,146.98179
"PC(26:0) PC(8:0_18:0)",672.45748,489.39144,613.383981,467.4095,469.268951,329.112451,528.34245,388.18595,146.98179
"PC(26:1) PC(8:0_18:1)",670.44188,487.37584,611.368381,465.3939,467.253351,329.112451,526.32685,388.18595,146.98179
"PC(26:2) PC(8:0_18:2)",668.42618,485.36014,609.352681,463.3782,465.237651,329.112451,524.31115,388.18595,146.98179
"PC(26:3) PC(8:0_18:3)",666.41058,483.34454,607.337081,461.3626,463.222051,329.112451,522.29555,388.18595,146.98179
"PC(26:4) PC(8:0_18:4)",664.39488,481.32884,605.321381,459.3469,461.206351,329.112451,520.27985,388.18595,146.98179
"PC(27:0) PC(8:0_19:0)",686.47318,503.40714,627.399681,481.4252,483.284651,329.112451,542.35815,388.18595,146.98179
"PC(28:0) PC(8:0_20:0)",700.48878,517.42274,641.415281,495.4408,497.300251,329.112451,556.37375,388.18595,146.98179
"PC(28:1) PC(8:0_20:1)",698.47318,515.40714,639.399681,493.4252,495.284651,329.112451,554.35815,388.18595,146.98179
"PC(28:2) PC(8:0_20:2)",696.45748,513.39144,637.383981,491.4095,493.268951,329.112451,552.34245,388.18595,146.98179
"PC(28:3) PC(8:0_20:3)",694.44188,511.37584,635.368381,489.3939,491.253351,329.112451,550.32685,388.18595,146.98179
"PC(28:4) PC(8:0_20:4)",692.42618,509.36014,633.352681,487.3782,489.237651,329.112451,548.31115,388.18595,146.98179
"PC(28:5) PC(8:0_20:5)",690.41058,507.34454,631.337081,485.3626,487.222051,329.112451,546.29555,388.18595,146.98179
"PC(29:0) PC(8:0_21:0)",714.50448,531.43844,655.430981,509.4565,511.315951,329.112451,570.38945,388.18595,146.98179
"PC(30:0) PC(8:0_22:0)",728.52008,545.45404,669.446581,523.4721,525.331551,329.112451,584.40505,388.18595,146.98179
"PC(30:1) PC(8:0_22:1)",726.50448,543.43844,667.430981,521.4565,523.315951,329.112451,582.38945,388.18595,146.98179
"PC(30:2) PC(8:0_22:2)",724.48878,541.42274,665.415281,519.4408,521.300251,329.112451,580.37375,388.18595,146.98179
"PC(30:3) PC(8:0_22:3)",722.47318,539.40714,663.399681,517.4252,519.284651,329.112451,578.35815,388.18595,146.98179
"PC(30:4) PC(8:0_22:4)",720.45748,537.39144,661.383981,515.4095,517.268951,329.112451,576.34245,388.18595,146.98179
"PC(30:5) PC(8:0_22:5)",718.44188,535.37584,659.368381,513.3939,515.253351,329.112451,574.32685,388.18595,146.98179
"PC(30:6) PC(8:0_22:6)",716.42618,533.36014,657.352681,511.3782,513.237651,329.112451,572.31115,388.18595,146.98179
"PC(31:0) PC(8:0_23:0)",742.53578,559.46974,683.462281,537.4878,539.347251,329.112451,598.42075,388.18595,146.98179
"PC(32:0) PC(8:0_24:0)",756.55138,573.48534,697.477881,551.5034,553.362851,329.112451,612.43635,388.18595,146.98179
"PC(32:1) PC(8:0_24:1)",754.53578,571.46974,695.462281,549.4878,551.347251,329.112451,610.42075,388.18595,146.98179
"PC(33:0) PC(8:0_25:0)",770.56708,587.50104,711.493581,565.5191,567.378551,329.112451,626.45205,388.18595,146.98179
"PC(34:0) PC(8:0_26:0)",784.58268,601.51664,725.509181,579.5347,581.394151,329.112451,640.46765,388.18595,146.98179
"PC(20:0) PC(10:0_10:0)",588.36358,405.29754,529.290081,383.3156,357.143751,357.143751,416.21725,416.21725,146.98179
"PC(22:0) PC(10:0_12:0)",616.39488,433.32884,557.321381,411.3469,385.175051,357.143751,444.24855,416.21725,146.98179
"PC(23:0) PC(10:0_13:0)",630.41058,447.34454,571.337081,425.3626,399.190751,357.143751,458.26425,416.21725,146.98179
"PC(24:0) PC(10:0_14:0)",644.42618,461.36014,585.352681,439.3782,413.206351,357.143751,472.27985,416.21725,146.98179
"PC(24:1) PC(10:0_14:1)",642.41058,459.34454,583.337081,437.3626,411.190751,357.143751,470.26425,416.21725,146.98179
"PC(25:0) PC(10:0_15:0)",658.44188,475.37584,599.368381,453.3939,427.222051,357.143751,486.29555,416.21725,146.98179
"PC(25:1) PC(10:0_15:1)",656.42618,473.36014,597.352681,451.3782,425.206351,357.143751,484.27985,416.21725,146.98179
"PC(26:0) PC(10:0_16:0)",672.45748,489.39144,613.383981,467.4095,441.237651,357.143751,500.31115,416.21725,146.98179
"PC(26:1) PC(10:0_16:1)",670.44188,487.37584,611.368381,465.3939,439.222051,357.143751,498.29555,416.21725,146.98179
"PC(27:0) PC(10:0_17:0)",686.47318,503.40714,627.399681,481.4252,455.253351,357.143751,514.32685,416.21725,146.98179
"PC(27:1) PC(10:0_17:1)",684.45748,501.39144,625.383981,479.4095,453.237651,357.143751,512.31115,416.21725,146.98179
"PC(27:2) PC(10:0_17:2)",682.44188,499.37584,623.368381,477.3939,451.222051,357.143751,510.29555,416.21725,146.98179
"PC(28:0) PC(10:0_18:0)",700.48878,517.42274,641.415281,495.4408,469.268951,357.143751,528.34245,416.21725,146.98179
"PC(28:1) PC(10:0_18:1)",698.47318,515.40714,639.399681,493.4252,467.253351,357.143751,526.32685,416.21725,146.98179
"PC(28:2) PC(10:0_18:2)",696.45748,513.39144,637.383981,491.4095,465.237651,357.143751,524.31115,416.21725,146.98179
"PC(28:3) PC(10:0_18:3)",694.44188,511.37584,635.368381,489.3939,463.222051,357.143751,522.29555,416.21725,146.98179
"PC(28:4) PC(10:0_18:4)",692.42618,509.36014,633.352681,487.3782,461.206351,357.143751,520.27985,416.21725,146.98179
"PC(29:0) PC(10:0_19:0)",714.50448,531.43844,655.430981,509.4565,483.284651,357.143751,542.35815,416.21725,146.98179
"PC(30:0) PC(10:0_20:0)",728.52008,545.45404,669.446581,523.4721,497.300251,357.143751,556.37375,416.21725,146.98179
"PC(30:1) PC(10:0_20:1)",726.50448,543.43844,667.430981,521.4565,495.284651,357.143751,554.35815,416.21725,146.98179
"PC(30:2) PC(10:0_20:2)",724.48878,541.42274,665.415281,519.4408,493.268951,357.143751,552.34245,416.21725,146.98179
"PC(30:3) PC(10:0_20:3)",722.47318,539.40714,663.399681,517.4252,491.253351,357.143751,550.32685,416.21725,146.98179
"PC(30:4) PC(10:0_20:4)",720.45748,537.39144,661.383981,515.4095,489.237651,357.143751,548.31115,416.21725,146.98179
