"PE","[M+H]+","[M-PE head]+","[M+H-acyl1_RCO]+","[M+H-acyl2_RCO]+","[acyl1_RCO]+","[acyl2_RCO]+"
"PE(16:0) PE(8:0_8:0)",468.27208,327.25297,201.14852,201.14852,127.11175,127.11175
"PE(18:0) PE(8:0_10:0)",496.30338,355.28427,229.17982,201.14852,127.11175,155.14305
"PE(20:0) PE(8:0_12:0)",524.33468,383.31557,257.21112,201.14852,127.11175,183.17435
"PE(21:0) PE(8:0_13:0)",538.35038,397.33127,271.22682,201.14852,127.11175,197.19005
"PE(22:0) PE(8:0_14:0)",552.36598,411.34687,285.24242,201.14852,127.11175,211.20565
"PE(22:1) PE(8:0_14:1)",550.35038,409.33127,283.22682,201.14852,127.11175,209.19005
"PE(23:0) PE(8:0_15:0)",566.38168,425.36257,299.25812,201.14852,127.11175,225.22135
"PE(23:1) PE(8:0_15:1)",564.36598,423.34687,297.24242,201.14852,127.11175,223.20565
"PE(24:0) PE(8:0_16:0)",580.39728,439.37817,313.27372,201.14852,127.11175,239.23695
"PE(24:1) PE(8:0_16:1)",578.38168,437.36257,311.25812,201.14852,127.11175,237.22135
"PE(25:0) PE(8:0_17:0)",594.41298,453.39387,327.28942,201.14852,127.11175,253.25265
"PE(25:1) PE(8:0_17:1)",592.39728,451.37817,325.27372,201.14852,127.11175,251.23695
"PE(25:2) PE(8:0_17:2)",590.38168,449.36257,323.25812,201.14852,127.11175,249.22135
"PE(26:0) PE(8:0_18:0)",608.42858,467.40947,341.30502,201.14852,127.11175,267.26825
"PE(26:1) PE(8:0_18:1)",606.41298,465.39387,339.28942,201.14852,127.11175,265.25265
"PE(26:2) PE(8:0_18:2)",604.39728,463.37817,337.27372,201.14852,127.11175,263.23695
"PE(26:3) PE(8:0_18:3)",602.38168,461.36257,335.25812,201.14852,127.11175,261.22135
"PE(26:4) PE(8:0_18:4)",600.36598,459.34687,333.24242,201.14852,127.11175,259.20565
"PE(27:0) PE(8:0_19:0)",622.44428,481.42517,355.32072,201.14852,127.11175,281.28395
"PE(28:0) PE(8:0_20:0)",636.45988,495.44077,369.33632,201.14852,127.11175,295.29955
"PE(28:1) PE(8:0_20:1)",634.44428,493.42517,367.32072,201.14852,127.11175,293.28395
"PE(28:2) PE(8:0_20:2)",632.42858,491.40947,365.30502,201.14852,127.11175,291.26825
"PE(28:3) PE(8:0_20:3)",630.41298,489.39387,363.28942,201.14852,127.11175,289.25265
"PE(28:4) PE(8:0_20:4)",628.39728,487.37817,361.27372,201.14852,127.11175,287.23695
"PE(28:5) PE(8:0_20:5)",626.38168,485.36257,359.25812,201.14852,127.11175,285.22135
"PE(29:0) PE(8:0_21:0)",650.47558,509.45647,383.35202,201.14852,127.11175,309.31525
"PE(30:0) PE(8:0_22:0)",664.49118,523.47207,397.36762,201.14852,127.11175,323.33085
"PE(30:1) PE(8:0_22:1)",662.47558,521.45647,395.35202,201.14852,127.11175,321.31525
"PE(30:2) PE(8:0_22:2)",660.45988,519.44077,393.33632,201.14852,127.11175,319.29955
"PE(30:3) PE(8:0_22:3)",658.44428,517.42517,391.32072,201.14852,127.11175,317.28395
"PE(30:4) PE(8:0_22:4)",656.42858,515.40947,389.30502,201.14852,127.11175,315.26825
"PE(30:5) PE(8:0_22:5)",654.41298,513.39387,387.28942,201.14852,127.11175,313.25265
"PE(30:6) PE(8:0_22:6)",652.39728,511.37817,385.27372,201.14852,127.11175,311.23695
"PE(31:0) PE(8:0_23:0)",678.50688,537.48777,411.38332,201.14852,127.11175,337.34655
"PE(32:0) PE(8:0_24:0)",692.52248,551.50337,425.39892,201.14852,127.11175,351.36215
