"PE","[M+Na]+","[M+Na-43]+","[M+H-PE head]+","[M+Na-PE head]+","[M+Na-43-R1]+","[M+Na-43-R2]+","[PE+Na]+","[H3PO4Na]+"
"PE(16:0) PE(8:0_8:0)",490.2540178,447.2118178,327.25297,349.2349235,303.0969378,303.0969378,164.00888,120.9667
"PE(18:0) PE(8:0_10:0)",518.2853178,475.2431178,355.28427,377.2662235,331.1282378,303.0969378,164.00888,120.9667
"PE(20:0) PE(8:0_12:0)",546.3166178,503.2744178,383.31557,405.2975235,359.1595378,303.0969378,164.00888,120.9667
"PE(21:0) PE(8:0_13:0)",560.3323178,517.2901178,397.33127,419.3132235,373.1752378,303.0969378,164.00888,120.9667
"PE(22:0) PE(8:0_14:0)",574.3479178,531.3057178,411.34687,433.3288235,387.1908378,303.0969378,164.00888,120.9667
"PE(22:1) PE(8:0_14:1)",572.3323178,529.2901178,409.33127,431.3132235,385.1752378,303.0969378,164.00888,120.9667
"PE(23:0) PE(8:0_15:0)",588.3636178,545.3214178,425.36257,447.3445235,401.2065378,303.0969378,164.00888,120.9667
"PE(23:1) PE(8:0_15:1)",586.3479178,543.3057178,423.34687,445.3288235,399.1908378,303.0969378,164.00888,120.9667
"PE(24:0) PE(8:0_16:0)",602.3792178,559.3370178,439.37817,461.3601235,415.2221378,303.0969378,164.00888,120.9667
"PE(24:1) PE(8:0_16:1)",600.3636178,557.3214178,437.36257,459.3445235,413.2065378,303.0969378,164.00888,120.9667
"PE(25:0) PE(8:0_17:0)",616.3949178,573.3527178,453.39387,475.3758235,429.2378378,303.0969378,164.00888,120.9667
"PE(25:1) PE(8:0_17:1)",614.3792178,571.3370178,451.37817,473.3601235,427.2221378,303.0969378,164.00888,120.9667
"PE(25:2) PE(8:0_17:2)",612.3636178,569.3214178,449.36257,471.3445235,425.2065378,303.0969378,164.00888,120.9667
"PE(26:0) PE(8:0_18:0)",630.4105178,587.3683178,467.40947,489.3914235,443.2534378,303.0969378,164.00888,120.9667
"PE(26:1) PE(8:0_18:1)",628.3949178,585.3527178,465.39387,487.3758235,441.2378378,303.0969378,164.00888,120.9667
"PE(26:2) PE(8:0_18:2)",626.3792178,583.3370178,463.37817,485.3601235,439.2221378,303.0969378,164.00888,120.9667
"PE(26:3) PE(8:0_18:3)",624.3636178,581.3214178,461.36257,483.3445235,437.2065378,303.0969378,164.00888,120.9667
"PE(26:4) PE(8:0_18:4)",622.3479178,579.3057178,459.34687,481.3288235,435.1908378,303.0969378,164.00888,120.9667
"PE(27:0) PE(8:0_19:0)",644.4262178,601.3840178,481.42517,503.4071235,457.2691378,303.0969378,164.00888,120.9667
"PE(28:0) PE(8:0_20:0)",658.4418178,615.3996178,495.44077,517.4227235,471.2847378,303.0969378,164.00888,120.9667
"PE(28:1) PE(8:0_20:1)",656.4262178,613.3840178,493.42517,515.4071235,469.2691378,303.0969378,164.00888,120.9667
"PE(28:2) PE(8:0_20:2)",654.4105178,611.3683178,491.40947,513.3914235,467.2534378,303.0969378,164.00888,120.9667
"PE(28:3) PE(8:0_20:3)",652.3949178,609.3527178,489.39387,511.3758235,465.2378378,303.0969378,164.00888,120.9667
"PE(28:4) PE(8:0_20:4)",650.3792178,607.3370178,487.37817,509.3601235,463.2221378,303.0969378,164.00888,120.9667
"PE(28:5) PE(8:0_20:5)",648.3636178,605.3214178,485.36257,507.3445235,461.2065378,303.0969378,164.00888,120.9667
"PE(29:0) PE(8:0_21:0)",672.4575178,629.4153178,509.45647,531.4384235,485.3004378,303.0969378,164.00888,120.9667
"PE(30:0) PE(8:0_22:0)",686.4731178,643.4309178,523.47207,545.4540235,499.3160378,303.0969378,164.00888,120.9667
"PE(30:1) PE(8:0_22:1)",684.4575178,641.4153178,521.45647,543.4384235,497.3004378,303.0969378,164.00888,120.9667
"PE(30:2) PE(8:0_22:2)",682.4418178,639.3996178,519.44077,541.4227235,495.2847378,303.0969378,164.00888,120.9667
"PE(30:3) PE(8:0_22:3)",680.4262178,637.3840178,517.42517,539.4071235,493.2691378,303.0969378,164.00888,120.9667
"PE(30:4) PE(8:0_22:4)",678.4105178,635.3683178,515.40947,537.3914235,491.2534378,303.0969378,164.00888,120.9667
"PE(30:5) PE(8:0_22:5)",676.3949178,633.3527178,513.39387,535.3758235,489.2378378,303.0969378,164.00888,120.9667
"PE(30:6) PE(8:0_22:6)",674.3792178,631.3370178,511.37817,533.3601235,487.2221378,303.0969378,164.00888,120.9667
"PE(31:0) PE(8:0_23:0)",700.4888178,657.4466178,537.48777,559.4697235,513.3317378,303.0969378,164.00888,120.9667
"PE(32:0) PE(8:0_24:0)",714.5044178,671.4622178,551.50337,573.4853235,527.3473378,303.0969378,164.00888,120.9667
"PE(32:1) PE(8:0_24:1)",712.4888178,669.4466178,549.48777,571.4697235,525.3317378,303.0969378,164.00888,120.9667
"PE(33:0) PE(8:0_25:0)",728.5201178,685.4779178,565.51907,587.5010235,541.3630378,303.0969378,164.00888,120.9667
"PE(34:0) PE(8:0_26:0)",742.5357178,699.4935178,579.53467,601.5166235,555.3786378,303.0969378,164.00888,120.9667
"PE(20:0) PE(10:0_10:0)",546.3166178,503.2744178,383.31557,405.2975235,331.1282378,331.1282378,164.00888,120.9667
"PE(22:0) PE(10:0_12:0)",574.3479178,531.3057178,411.34687,433.3288235,359.1595378,331.1282378,164.00888,120.9667
"PE(23:0) PE(10:0_13:0)",588.3636178,545.3214178,425.36257,447.3445235,373.1752378,331.1282378,164.00888,120.9667
"PE(24:0) PE(10:0_14:0)",602.3792178,559.3370178,439.37817,461.3601235,387.1908378,331.1282378,164.00888,120.9667
"PE(24:1) PE(10:0_14:1)",600.3636178,557.3214178,437.36257,459.3445235,385.1752378,331.1282378,164.00888,120.9667
"PE(25:0) PE(10:0_15:0)",616.3949178,573.3527178,453.39387,475.3758235,401.2065378,331.1282378,164.00888,120.9667
"PE(25:1) PE(10:0_15:1)",614.3792178,571.3370178,451.37817,473.3601235,399.1908378,331.1282378,164.00888,120.9667
"PE(26:0) PE(10:0_16:0)",630.4105178,587.3683178,467.40947,489.3914235,415.2221378,331.1282378,164.00888,120.9667
"PE(26:1) PE(10:0_16:1)",628.3949178,585.3527178,465.39387,487.3758235,413.2065378,331.1282378,164.00888,120.9667
"PE(27:0) PE(10:0_17:0)",644.4262178,601.3840178,481.42517,503.4071235,429.2378378,331.1282378,164.00888,120.9667
"PE(27:1) PE(10:0_17:1)",642.4105178,599.3683178,479.40947,501.3914235,427.2221378,331.1282378,164.00888,120.9667
"PE(27:2) PE(10:0_17:2)",640.3949178,597.3527178,477.39387,499.3758235,425.2065378,331.1282378,164.00888,120.9667
"PE(28:0) PE(10:0_18:0)",658.4418178,615.3996178,495.44077,517.4227235,443.2534378,331.1282378,164.00888,120.9667
"PE(28:1) PE(10:0_18:1)",656.4262178,613.3840178,493.42517,515.4071235,441.2378378,331.1282378,164.00888,120.9667
"PE(28:2) PE(10:0_18:2)",654.4105178,611.3683178,491.40947,513.3914235,439.2221378,331.1282378,164.00888,120.9667
"PE(28:3) PE(10:0_18:3)",652.3949178,609.3527178,489.39387,511.3758235,437.2065378,331.1282378,164.00888,120.9667
"PE(28:4) PE(10:0_18:4)",650.3792178,607.3370178,487.37817,509.3601235,435.1908378,331.1282378,164.00888,120.9667
"PE(29:0) PE(10:0_19:0)",672.4575178,629.4153178,509.45647,531.4384235,457.2691378,331.1282378,164.00888,120.9667
"PE(30:0) PE(10:0_20:0)",686.4731178,643.4309178,523.47207,545.4540235,471.2847378,331.1282378,164.00888,120.9667
"PE(30:1) PE(10:0_20:1)",684.4575178,641.4153178,521.45647,543.4384235,469.2691378,331.1282378,164.00888,120.9667
"PE(30:2) PE(10:0_20:2)",682.4418178,639.3996178,519.44077,541.4227235,467.2534378,331.1282378,164.00888,120.9667
"PE(30:3) PE(10:0_20:3)",680.4262178,637.3840178,517.42517,539.4071235,465.2378378,331.1282378,164.00888,120.9667
"PE(30:4) PE(10:0_20:4)",678.4105178,635.3683178,515.40947,537.3914235,463.2221378,331.1282378,164.00888,120.9667
"PE(30:5) PE(10:0_20:5)",676.3949178,633.3527178,513.39387,535.3758235,461.2065378,331.1282378,164.00888,120.9667
"PE(31:0) PE(10:0_21:0)",700.4888178,657.4466178,537.48777,559.4697235,485.3004378,331.1282378,164.00888,120.9667
"PE(32:0) PE(10:0_22:0)",714.5044178,671.4622178,551.50337,573.4853235,499.3160378,331.1282378,164.00888,120.9667
"PE(32:1) PE(10:0_22:1)",712.4888178,669.4466178,549.48777,571.4697235,497.3004378,331.1282378,164.00888,120.9667
"PE(32:2) PE(10:0_22:2)",710.4731178,667.4309178,547.47207,569.4540235,495.2847378,331.1282378,164.00888,120.9667
"PE(32:3) PE(10:0_22:3)",708.4575178,665.4153178,545.45647,567.4384235,493.2691378,331.1282378,164.00888,120.9667
"PE(32:4) PE(10:0_22:4)",706.4418178,663.3996178,543.44077,565.4227235,491.2534378,331.1282378,164.00888,120.9667
"PE(32:5) PE(10:0_22:5)",704.4262178,661.3840178,541.42517,563.4071235,489.2378378,331.1282378,164.00888,120.9667
"PE(32:6) PE(10:0_22:6)",702.4105178,659.3683178,539.40947,561.3914235,487.2221378,331.1282378,164.00888,120.9667
"PE(33:0) PE(10:0_23:0)",728.5201178,685.4779178,565.51907,587.5010235,513.3317378,331.1282378,164.00888,120.9667
