"PG","[M+H]+","[M+H-PG head]+","[M+H-R1]+","[M+H-R2]+","[exp_1]+","[exp_2]+","[exp_3]+"
"PG(16:0) PG(8:0_8:0)",499.26671,328.26081,201.1485,201.1485,71.0856,95.0855,123.1168
"PG(18:0) PG(8:0_10:0)",527.29801,356.29211,201.1485,229.1798,71.0856,95.0855,123.1168
"PG(20:0) PG(8:0_12:0)",555.32931,384.32341,201.1485,257.2111,71.0856,95.0855,123.1168
"PG(21:0) PG(8:0_13:0)",569.34501,398.33911,201.1485,271.2268,71.0856,95.0855,123.1168
"PG(22:0) PG(8:0_14:0)",583.36061,412.35471,201.1485,285.2424,71.0856,95.0855,123.1168
"PG(22:1) PG(8:0_14:1)",581.34501,410.33911,201.1485,283.2268,71.0856,95.0855,123.1168
"PG(23:0) PG(8:0_15:0)",597.37631,426.37041,201.1485,299.2581,71.0856,95.0855,123.1168
"PG(23:1) PG(8:0_15:1)",595.36061,424.35471,201.1485,297.2424,71.0856,95.0855,123.1168
"PG(24:0) PG(8:0_16:0)",611.39191,440.38601,201.1485,313.2737,71.0856,95.0855,123.1168
"PG(24:1) PG(8:0_16:1)",609.37631,438.37041,201.1485,311.2581,71.0856,95.0855,123.1168
"PG(25:0) PG(8:0_17:0)",625.40761,454.40171,201.1485,327.2894,71.0856,95.0855,123.1168
"PG(25:1) PG(8:0_17:1)",623.39191,452.38601,201.1485,325.2737,71.0856,95.0855,123.1168
"PG(25:2) PG(8:0_17:2)",621.37631,450.37041,201.1485,323.2581,71.0856,95.0855,123.1168
"PG(26:0) PG(8:0_18:0)",639.42321,468.41731,201.1485,341.305,71.0856,95.0855,123.1168
"PG(26:1) PG(8:0_18:1)",637.40761,466.40171,201.1485,339.2894,71.0856,95.0855,123.1168
"PG(26:2) PG(8:0_18:2)",635.39191,464.38601,201.1485,337.2737,71.0856,95.0855,123.1168
"PG(26:3) PG(8:0_18:3)",633.37631,462.37041,201.1485,335.2581,71.0856,95.0855,123.1168
"PG(26:4) PG(8:0_18:4)",631.36061,460.35471,201.1485,333.2424,71.0856,95.0855,123.1168
"PG(27:0) PG(8:0_19:0)",653.43891,482.43301,201.1485,355.3207,71.0856,95.0855,123.1168
"PG(28:0) PG(8:0_20:0)",667.45451,496.44861,201.1485,369.3363,71.0856,95.0855,123.1168
"PG(28:1) PG(8:0_20:1)",665.43891,494.43301,201.1485,367.3207,71.0856,95.0855,123.1168
"PG(28:2) PG(8:0_20:2)",663.42321,492.41731,201.1485,365.305,71.0856,95.0855,123.1168
"PG(28:3) PG(8:0_20:3)",661.40761,490.40171,201.1485,363.2894,71.0856,95.0855,123.1168
"PG(28:4) PG(8:0_20:4)",659.39191,488.38601,201.1485,361.2737,71.0856,95.0855,123.1168
"PG(28:5) PG(8:0_20:5)",657.37631,486.37041,201.1485,359.2581,71.0856,95.0855,123.1168
"PG(29:0) PG(8:0_21:0)",681.47021,510.46431,201.1485,383.352,71.0856,95.0855,123.1168
"PG(30:0) PG(8:0_22:0)",695.48581,524.47991,201.1485,397.3676,71.0856,95.0855,123.1168
"PG(30:1) PG(8:0_22:1)",693.47021,522.46431,201.1485,395.352,71.0856,95.0855,123.1168
"PG(30:2) PG(8:0_22:2)",691.45451,520.44861,201.1485,393.3363,71.0856,95.0855,123.1168
"PG(30:3) PG(8:0_22:3)",689.43891,518.43301,201.1485,391.3207,71.0856,95.0855,123.1168
"PG(30:4) PG(8:0_22:4)",687.42321,516.41731,201.1485,389.305,71.0856,95.0855,123.1168
"PG(30:5) PG(8:0_22:5)",685.40761,514.40171,201.1485,387.2894,71.0856,95.0855,123.1168
"PG(30:6) PG(8:0_22:6)",683.39191,512.38601,201.1485,385.2737,71.0856,95.0855,123.1168
"PG(31:0) PG(8:0_23:0)",709.50151,538.49561,201.1485,411.3833,71.0856,95.0855,123.1168
"PG(32:0) PG(8:0_24:0)",723.51711,552.51121,201.1485,425.3989,71.0856,95.0855,123.1168
"PG(32:1) PG(8:0_24:1)",721.50151,550.49561,201.1485,423.3833,71.0856,95.0855,123.1168
"PG(33:0) PG(8:0_25:0)",737.53281,566.52691,201.1485,439.4146,71.0856,95.0855,123.1168
"PG(34:0) PG(8:0_26:0)",751.54841,580.54251,201.1485,453.4302,71.0856,95.0855,123.1168
"PG(20:0) PG(10:0_10:0)",555.32931,384.32341,229.1798,229.1798,71.0856,95.0855,123.1168
"PG(22:0) PG(10:0_12:0)",583.36061,412.35471,229.1798,257.2111,71.0856,95.0855,123.1168
"PG(23:0) PG(10:0_13:0)",597.37631,426.37041,229.1798,271.2268,71.0856,95.0855,123.1168
"PG(24:0) PG(10:0_14:0)",611.39191,440.38601,229.1798,285.2424,71.0856,95.0855,123.1168
"PG(24:1) PG(10:0_14:1)",609.37631,438.37041,229.1798,283.2268,71.0856,95.0855,123.1168
"PG(25:0) PG(10:0_15:0)",625.40761,454.40171,229.1798,299.2581,71.0856,95.0855,123.1168
"PG(25:1) PG(10:0_15:1)",623.39191,452.38601,229.1798,297.2424,71.0856,95.0855,123.1168
"PG(26:0) PG(10:0_16:0)",639.42321,468.41731,229.1798,313.2737,71.0856,95.0855,123.1168
"PG(26:1) PG(10:0_16:1)",637.40761,466.40171,229.1798,311.2581,71.0856,95.0855,123.1168
"PG(27:0) PG(10:0_17:0)",653.43891,482.43301,229.1798,327.2894,71.0856,95.0855,123.1168
"PG(27:1) PG(10:0_17:1)",651.42321,480.41731,229.1798,325.2737,71.0856,95.0855,123.1168
