"PG","[M+NH4]+","[M+NH4-PG head]+","[M+NH4-PG head-H2O]+","[M+NH4-T1_RCOOH]+","[M+NH4-T2_RCOOH]+","[T1_RCO]+","[T2_RCO]+","[T1RCOO+58]+","[T2RCOO+58]+"
"PG(16:0) PG(8:0_8:0)",516.29326,345.28736,327.253027,355.151686,355.151686,127.11175,127.11175,201.14853,201.14853
"PG(18:0) PG(8:0_10:0)",544.32456,373.31866,355.284327,383.182986,355.151686,127.11175,155.14305,201.14853,229.17983
"PG(20:0) PG(8:0_12:0)",572.35586,401.34996,383.315627,411.214286,355.151686,127.11175,183.17435,201.14853,257.21113
"PG(21:0) PG(8:0_13:0)",586.37156,415.36566,397.331327,425.229986,355.151686,127.11175,197.19005,201.14853,271.22683
"PG(22:0) PG(8:0_14:0)",600.38716,429.38126,411.346927,439.245586,355.151686,127.11175,211.20565,201.14853,285.24243
"PG(22:1) PG(8:0_14:1)",598.37156,427.36566,409.331327,437.229986,355.151686,127.11175,209.19005,201.14853,283.22683
"PG(23:0) PG(8:0_15:0)",614.40286,443.39696,425.362627,453.261286,355.151686,127.11175,225.22135,201.14853,299.25813
"PG(23:1) PG(8:0_15:1)",612.38716,441.38126,423.346927,451.245586,355.151686,127.11175,223.20565,201.14853,297.24243
"PG(24:0) PG(8:0_16:0)",628.41846,457.41256,439.378227,467.276886,355.151686,127.11175,239.23695,201.14853,313.27373
"PG(24:1) PG(8:0_16:1)",626.40286,455.39696,437.362627,465.261286,355.151686,127.11175,237.22135,201.14853,311.25813
"PG(25:0) PG(8:0_17:0)",642.43416,471.42826,453.393927,481.292586,355.151686,127.11175,253.25265,201.14853,327.28943
"PG(25:1) PG(8:0_17:1)",640.41846,469.41256,451.378227,479.276886,355.151686,127.11175,251.23695,201.14853,325.27373
"PG(25:2) PG(8:0_17:2)",638.40286,467.39696,449.362627,477.261286,355.151686,127.11175,249.22135,201.14853,323.25813
"PG(26:0) PG(8:0_18:0)",656.44976,485.44386,467.409527,495.308186,355.151686,127.11175,267.26825,201.14853,341.30503
"PG(26:1) PG(8:0_18:1)",654.43416,483.42826,465.393927,493.292586,355.151686,127.11175,265.25265,201.14853,339.28943
"PG(26:2) PG(8:0_18:2)",652.41846,481.41256,463.378227,491.276886,355.151686,127.11175,263.23695,201.14853,337.27373
