"PG","[M+Na]+","[M+Na-194]+","[C3H9NaO6P]+","[M+H-R1]+","[M+H-R2]+"
"PG(16:0) PG(8:0_8:0)",521.24861,327.2529908,195.0034442,201.1485,201.1485
"PG(18:0) PG(8:0_10:0)",549.27991,355.2842908,195.0034442,201.1485,229.1798
"PG(20:0) PG(8:0_12:0)",577.31121,383.3155908,195.0034442,201.1485,257.2111
"PG(21:0) PG(8:0_13:0)",591.32691,397.3312908,195.0034442,201.1485,271.2268
"PG(22:0) PG(8:0_14:0)",605.34251,411.3468908,195.0034442,201.1485,285.2424
"PG(22:1) PG(8:0_14:1)",603.32691,409.3312908,195.0034442,201.1485,283.2268
"PG(23:0) PG(8:0_15:0)",619.35821,425.3625908,195.0034442,201.1485,299.2581
"PG(23:1) PG(8:0_15:1)",617.34251,423.3468908,195.0034442,201.1485,297.2424
"PG(24:0) PG(8:0_16:0)",633.37381,439.3781908,195.0034442,201.1485,313.2737
"PG(24:1) PG(8:0_16:1)",631.35821,437.3625908,195.0034442,201.1485,311.2581
"PG(25:0) PG(8:0_17:0)",647.38951,453.3938908,195.0034442,201.1485,327.2894
"PG(25:1) PG(8:0_17:1)",645.37381,451.3781908,195.0034442,201.1485,325.2737
"PG(25:2) PG(8:0_17:2)",643.35821,449.3625908,195.0034442,201.1485,323.2581
"PG(26:0) PG(8:0_18:0)",661.40511,467.4094908,195.0034442,201.1485,341.305
"PG(26:1) PG(8:0_18:1)",659.38951,465.3938908,195.0034442,201.1485,339.2894
"PG(26:2) PG(8:0_18:2)",657.37381,463.3781908,195.0034442,201.1485,337.2737
"PG(26:3) PG(8:0_18:3)",655.35821,461.3625908,195.0034442,201.1485,335.2581
"PG(26:4) PG(8:0_18:4)",653.34251,459.3468908,195.0034442,201.1485,333.2424
"PG(27:0) PG(8:0_19:0)",675.42081,481.4251908,195.0034442,201.1485,355.3207
"PG(28:0) PG(8:0_20:0)",689.43641,495.4407908,195.0034442,201.1485,369.3363
"PG(28:1) PG(8:0_20:1)",687.42081,493.4251908,195.0034442,201.1485,367.3207
"PG(28:2) PG(8:0_20:2)",685.40511,491.4094908,195.0034442,201.1485,365.305
"PG(28:3) PG(8:0_20:3)",683.38951,489.3938908,195.0034442,201.1485,363.2894
"PG(28:4) PG(8:0_20:4)",681.37381,487.3781908,195.0034442,201.1485,361.2737
"PG(28:5) PG(8:0_20:5)",679.35821,485.3625908,195.0034442,201.1485,359.2581
"PG(29:0) PG(8:0_21:0)",703.45211,509.4564908,195.0034442,201.1485,383.352
"PG(30:0) PG(8:0_22:0)",717.46771,523.4720908,195.0034442,201.1485,397.3676
"PG(30:1) PG(8:0_22:1)",715.45211,521.4564908,195.0034442,201.1485,395.352
