PI,[M+Na]+,[M+PI head-Na]+
PI(16:0),609.2646,326.2451113
PI(18:0),637.2959,354.2764113
PI(20:0),665.3272,382.3077113
PI(21:0),679.3429,396.3234113
PI(22:0),693.3585,410.3390113
PI(22:1),691.3429,408.3234113
PI(23:0),707.3742,424.3547113
PI(23:1),705.3585,422.3390113
PI(24:0),721.3898,438.3703113
PI(24:1),719.3742,436.3547113
PI(25:0),735.4055,452.3860113
PI(25:1),733.3898,450.3703113
PI(25:2),731.3742,448.3547113
PI(26:0),749.4211,466.4016113
PI(26:1),747.4055,464.3860113
PI(26:2),745.3898,462.3703113
PI(26:3),743.3742,460.3547113
PI(26:4),741.3585,458.3390113
PI(27:0),763.4368,480.4173113
PI(27:1),761.4211,478.4016113
PI(27:2),759.4055,476.3860113
PI(28:0),777.4524,494.4329113
PI(28:1),775.4368,492.4173113
PI(28:2),773.4211,490.4016113
PI(28:3),771.4055,488.3860113
PI(28:4),769.3898,486.3703113
PI(28:5),767.3742,484.3547113
PI(29:0),791.4681,508.4486113
PI(29:1),789.4524,506.4329113
PI(29:2),787.4368,504.4173113
PI(30:0),805.4837,522.4642113
PI(30:1),803.4681,520.4486113
PI(30:2),801.4524,518.4329113
PI(30:3),799.4368,516.4173113
PI(30:4),797.4211,514.4016113
PI(30:5),795.4055,512.3860113
PI(30:6),793.3898,510.3703113
PI(31:0),819.4994,536.4799113
PI(31:1),817.4838,534.4643113
PI(31:2),815.4681,532.4486113
PI(31:3),813.4525,530.4330113
PI(31:4),811.4368,528.4173113
PI(32:0),833.515,550.4955113
PI(32:1),831.4994,548.4799113
PI(32:2),829.4837,546.4642113
PI(32:3),827.4681,544.4486113
PI(32:4),825.4524,542.4329113
PI(32:5),823.4368,540.4173113
PI(32:6),821.4211,538.4016113
PI(33:0),847.5307,564.5112113
PI(33:1),845.5151,562.4956113
PI(33:2),843.4994,560.4799113
PI(33:3),841.4838,558.4643113
PI(33:4),839.4681,556.4486113
PI(33:5),837.4525,554.4330113
PI(34:0),861.5463,578.5268113
PI(34:1),859.5307,576.5112113
PI(34:2),857.515,574.4955113
PI(34:3),855.4994,572.4799113
PI(34:4),853.4837,570.4642113
PI(34:5),851.4681,568.4486113
PI(34:6),849.4524,566.4329113
PI(35:0),875.562,592.5425113
PI(35:1),873.5464,590.5269113
PI(35:2),871.5307,588.5112113
PI(35:3),869.5151,586.4956113
PI(35:4),867.4994,584.4799113
PI(35:5),865.4838,582.4643113
PI(35:6),863.4681,580.4486113
PI(36:0),889.5776,606.5581113
PI(36:1),887.562,604.5425113
PI(36:2),885.5463,602.5268113
PI(36:3),883.5307,600.5112113
PI(36:4),881.515,598.4955113
PI(36:5),879.4994,596.4799113
PI(36:6),877.4837,594.4642113
PI(36:7),875.4681,592.4486113
PI(36:8),873.4524,590.4329113
PI(37:0),903.5933,620.5738113
PI(37:1),901.5777,618.5582113
PI(37:2),899.562,616.5425113
PI(37:3),897.5464,614.5269113
PI(37:4),895.5307,612.5112113
PI(37:5),893.5151,610.4956113
PI(37:6),891.4994,608.4799113
PI(37:7),889.4837,606.4642113
PI(38:0),917.6089,634.5894113
PI(38:1),915.5933,632.5738113
PI(38:2),913.5777,630.5582113
PI(38:3),911.562,628.5425113
PI(38:4),909.5463,626.5268113
PI(38:5),907.5307,624.5112113
PI(38:6),905.515,622.4955113
PI(38:7),903.4994,620.4799113
PI(38:8),901.4838,618.4643113
PI(38:9),899.4681,616.4486113
PI(39:0),931.6246,648.6051113
PI(39:1),929.609,646.5895113
PI(39:2),927.5933,644.5738113
PI(39:3),925.5777,642.5582113
PI(39:4),923.562,640.5425113
PI(39:5),921.5464,638.5269113
PI(39:6),919.5307,636.5112113
PI(39:7),917.515,634.4955113
PI(39:8),915.4994,632.4799113
PI(40:0),945.6402,662.6207113
PI(40:1),943.6246,660.6051113
PI(40:10),925.4837,642.4642113
PI(40:2),941.609,658.5895113
PI(40:3),939.5933,656.5738113
PI(40:4),937.5776,654.5581113
PI(40:5),935.562,652.5425113
PI(40:6),933.5463,650.5268113
PI(40:7),931.5307,648.5112113
PI(40:8),929.515,646.4955113
PI(40:9),927.4994,644.4799113
PI(41:0),959.6559,676.6364113
PI(41:1),957.6402,674.6207113
PI(41:2),955.6246,672.6051113
PI(41:3),953.609,670.5895113
PI(41:4),951.5933,668.5738113
PI(41:5),949.5777,666.5582113
PI(41:6),947.562,664.5425113
PI(42:0),973.6715,690.6520113
PI(42:1),971.6559,688.6364113
PI(42:10),953.515,670.4955113
PI(42:11),951.4994,668.4799113
PI(42:2),969.6403,686.6208113
PI(42:3),967.6246,684.6051113
PI(42:4),965.609,682.5895113
PI(42:5),963.5933,680.5738113
PI(42:6),961.5776,678.5581113
PI(42:7),959.562,676.5425113
PI(42:8),957.5463,674.5268113
PI(42:9),955.5307,672.5112113
PI(43:0),987.6872,704.6677113
PI(43:1),985.6715,702.6520113
PI(43:2),983.6559,700.6364113
PI(43:3),981.6403,698.6208113
PI(43:4),979.6246,696.6051113
PI(43:5),977.609,694.5895113
PI(43:6),975.5933,692.5738113
PI(44:0),1001.7028,718.6833113
PI(44:1),999.6872,716.6677113
PI(44:10),981.5463,698.5268113
PI(44:11),979.5307,696.5112113
PI(44:12),977.515,694.4955113
PI(44:2),997.6715,714.6520113
PI(44:3),995.6559,712.6364113
PI(44:4),993.6402,710.6207113
PI(44:5),991.6246,708.6051113
PI(44:6),989.609,706.5895113
PI(44:7),987.5933,704.5738113
PI(44:8),985.5776,702.5581113
PI(44:9),983.562,700.5425113
PI(45:0),1015.7185,732.6990113
PI(45:1),1013.7029,730.6834113
PI(45:2),1011.6872,728.6677113
PI(45:3),1009.6716,726.6521113
PI(45:4),1007.6559,724.6364113
PI(45:5),1005.6403,722.6208113
PI(45:6),1003.6246,720.6051113
PI(46:0),1029.7341,746.7146113
PI(46:1),1027.7185,744.6990113
PI(46:2),1025.7028,742.6833113
PI(46:3),1023.6872,740.6677113
PI(46:4),1021.6715,738.6520113
PI(46:5),1019.6559,736.6364113
PI(46:6),1017.6403,734.6208113
PI(46:7),1015.6246,732.6051113
PI(47:0),1043.7498,760.7303113
PI(47:1),1041.7342,758.7147113
PI(47:2),1039.7185,756.6990113
PI(47:3),1037.7029,754.6834113
PI(47:4),1035.6872,752.6677113
PI(47:5),1033.6716,750.6521113
PI(47:6),1031.6559,748.6364113
PI(48:0),1057.7654,774.7459113
PI(48:1),1055.7498,772.7303113
PI(48:2),1053.7341,770.7146113
PI(48:3),1051.7185,768.6990113
PI(48:4),1049.7028,766.6833113
PI(48:5),1047.6872,764.6677113
PI(48:6),1045.6715,762.6520113
PI(49:0),1071.7811,788.7616113
PI(49:1),1069.7655,786.7460113
PI(50:0),1085.7967,802.7772113
PI(50:1),1083.7811,800.7616113
PI(51:0),1099.8124,816.7929113
PI(52:0),1113.828,830.8085113
scores,0.1,0.9
