"PS","[M+H]+","[M+H-PS head]+","[acyl-sn1-RCOO+58]+","[acyl-sn2-RCOO+58]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PS(16:0) PS(8:0_8:0)",512.26196,327.25301,201.14856,201.14856,127.11175,127.11175
"PS(18:0) PS(8:0_10:0)",540.29326,355.28431,229.17986,201.14856,127.11175,155.14305
"PS(20:0) PS(8:0_12:0)",568.32456,383.31561,257.21116,201.14856,127.11175,183.17435
"PS(21:0) PS(8:0_13:0)",582.34026,397.33131,271.22686,201.14856,127.11175,197.19005
"PS(22:0) PS(8:0_14:0)",596.35586,411.34691,285.24246,201.14856,127.11175,211.20565
"PS(22:1) PS(8:0_14:1)",594.34026,409.33131,283.22686,201.14856,127.11175,209.19005
"PS(23:0) PS(8:0_15:0)",610.37156,425.36261,299.25816,201.14856,127.11175,225.22135
"PS(23:1) PS(8:0_15:1)",608.35586,423.34691,297.24246,201.14856,127.11175,223.20565
"PS(24:0) PS(8:0_16:0)",624.38716,439.37821,313.27376,201.14856,127.11175,239.23695
"PS(24:1) PS(8:0_16:1)",622.37156,437.36261,311.25816,201.14856,127.11175,237.22135
"PS(25:0) PS(8:0_17:0)",638.40286,453.39391,327.28946,201.14856,127.11175,253.25265
"PS(25:1) PS(8:0_17:1)",636.38716,451.37821,325.27376,201.14856,127.11175,251.23695
"PS(25:2) PS(8:0_17:2)",634.37156,449.36261,323.25816,201.14856,127.11175,249.22135
"PS(26:0) PS(8:0_18:0)",652.41846,467.40951,341.30506,201.14856,127.11175,267.26825
"PS(26:1) PS(8:0_18:1)",650.40286,465.39391,339.28946,201.14856,127.11175,265.25265
"PS(26:2) PS(8:0_18:2)",648.38716,463.37821,337.27376,201.14856,127.11175,263.23695
"PS(26:3) PS(8:0_18:3)",646.37156,461.36261,335.25816,201.14856,127.11175,261.22135
"PS(26:4) PS(8:0_18:4)",644.35586,459.34691,333.24246,201.14856,127.11175,259.20565
"PS(27:0) PS(8:0_19:0)",666.43416,481.42521,355.32076,201.14856,127.11175,281.28395
"PS(28:0) PS(8:0_20:0)",680.44976,495.44081,369.33636,201.14856,127.11175,295.29955
"PS(28:1) PS(8:0_20:1)",678.43416,493.42521,367.32076,201.14856,127.11175,293.28395
"PS(28:2) PS(8:0_20:2)",676.41846,491.40951,365.30506,201.14856,127.11175,291.26825
"PS(28:3) PS(8:0_20:3)",674.40286,489.39391,363.28946,201.14856,127.11175,289.25265
"PS(28:4) PS(8:0_20:4)",672.38716,487.37821,361.27376,201.14856,127.11175,287.23695
"PS(28:5) PS(8:0_20:5)",670.37156,485.36261,359.25816,201.14856,127.11175,285.22135
"PS(29:0) PS(8:0_21:0)",694.46546,509.45651,383.35206,201.14856,127.11175,309.31525
"PS(30:0) PS(8:0_22:0)",708.48106,523.47211,397.36766,201.14856,127.11175,323.33085
"PS(30:1) PS(8:0_22:1)",706.46546,521.45651,395.35206,201.14856,127.11175,321.31525
