"PS","[M+Na]+","[M+Na-87]+","[M+Na-H3PO4]+","[M+Na-PS]+","[M+Na-C3H7NO6PNa]+","[M-87-acyl-sn1-RCOOH]+","[M-87-acyl-sn2-RCOOH]+","[Phosphoserine+Na]+"
"PS(16:0) PS(8:0_8:0)",534.2438249,447.2117949,436.2669249,251.2580049,327.2529549,303.0967649,303.0967649,207.99872
"PS(18:0) PS(8:0_10:0)",562.2751249,475.2430949,464.2982249,279.2893049,355.2842549,331.1280649,303.0967649,207.99872
"PS(20:0) PS(8:0_12:0)",590.3064249,503.2743949,492.3295249,307.3206049,383.3155549,359.1593649,303.0967649,207.99872
"PS(21:0) PS(8:0_13:0)",604.3221249,517.2900949,506.3452249,321.3363049,397.3312549,373.1750649,303.0967649,207.99872
"PS(22:0) PS(8:0_14:0)",618.3377249,531.3056949,520.3608249,335.3519049,411.3468549,387.1906649,303.0967649,207.99872
"PS(22:1) PS(8:0_14:1)",616.3221249,529.2900949,518.3452249,333.3363049,409.3312549,385.1750649,303.0967649,207.99872
"PS(23:0) PS(8:0_15:0)",632.3534249,545.3213949,534.3765249,349.3676049,425.3625549,401.2063649,303.0967649,207.99872
"PS(23:1) PS(8:0_15:1)",630.3377249,543.3056949,532.3608249,347.3519049,423.3468549,399.1906649,303.0967649,207.99872
"PS(24:0) PS(8:0_16:0)",646.3690249,559.3369949,548.3921249,363.3832049,439.3781549,415.2219649,303.0967649,207.99872
"PS(24:1) PS(8:0_16:1)",644.3534249,557.3213949,546.3765249,361.3676049,437.3625549,413.2063649,303.0967649,207.99872
"PS(25:0) PS(8:0_17:0)",660.3847249,573.3526949,562.4078249,377.3989049,453.3938549,429.2376649,303.0967649,207.99872
"PS(25:1) PS(8:0_17:1)",658.3690249,571.3369949,560.3921249,375.3832049,451.3781549,427.2219649,303.0967649,207.99872
"PS(25:2) PS(8:0_17:2)",656.3534249,569.3213949,558.3765249,373.3676049,449.3625549,425.2063649,303.0967649,207.99872
"PS(26:0) PS(8:0_18:0)",674.4003249,587.3682949,576.4234249,391.4145049,467.4094549,443.2532649,303.0967649,207.99872
"PS(26:1) PS(8:0_18:1)",672.3847249,585.3526949,574.4078249,389.3989049,465.3938549,441.2376649,303.0967649,207.99872
"PS(26:2) PS(8:0_18:2)",670.3690249,583.3369949,572.3921249,387.3832049,463.3781549,439.2219649,303.0967649,207.99872
"PS(26:3) PS(8:0_18:3)",668.3534249,581.3213949,570.3765249,385.3676049,461.3625549,437.2063649,303.0967649,207.99872
"PS(26:4) PS(8:0_18:4)",666.3377249,579.3056949,568.3608249,383.3519049,459.3468549,435.1906649,303.0967649,207.99872
"PS(27:0) PS(8:0_19:0)",688.4160249,601.3839949,590.4391249,405.4302049,481.4251549,457.2689649,303.0967649,207.99872
"PS(28:0) PS(8:0_20:0)",702.4316249,615.3995949,604.4547249,419.4458049,495.4407549,471.2845649,303.0967649,207.99872
"PS(28:1) PS(8:0_20:1)",700.4160249,613.3839949,602.4391249,417.4302049,493.42515,469.2689649,303.0967649,207.99872
"PS(28:2) PS(8:0_20:2)",698.4003249,611.3682949,600.4234249,415.4145049,491.40945,467.2532649,303.0967649,207.99872
"PS(28:3) PS(8:0_20:3)",696.3847249,609.3526949,598.4078249,413.3989049,489.39385,465.2376649,303.0967649,207.99872
"PS(28:4) PS(8:0_20:4)",694.3690249,607.3369949,596.3921249,411.3832049,487.37815,463.2219649,303.0967649,207.99872
"PS(28:5) PS(8:0_20:5)",692.3534249,605.3213949,594.3765249,409.3676049,485.36255,461.2063649,303.0967649,207.99872
"PS(29:0) PS(8:0_21:0)",716.4473249,629.4152949,618.4704249,433.4615049,509.45645,485.3002649,303.0967649,207.99872
"PS(30:0) PS(8:0_22:0)",730.4629249,643.4308949,632.4860249,447.4771049,523.47205,499.3158649,303.0967649,207.99872
"PS(30:1) PS(8:0_22:1)",728.4473249,641.4152949,630.4704249,445.4615049,521.45645,497.3002649,303.0967649,207.99872
"PS(30:2) PS(8:0_22:2)",726.4316249,639.3995949,628.4547249,443.4458049,519.4407549,495.2845649,303.0967649,207.99872
