Plasmanyl-LPC,[M+H]+,[M+H-H2O]+,[M+H-R_Ether]+,[PC Head]+,[PC Head-HPO3]+
Plasmanyl-LPC(O-16:0),482.36053,464.3499653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-16:1),480.34488,462.3343153,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-18:0),510.39183,492.3812653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-18:1),508.37618,490.3656153,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-20:0),538.42313,520.4125653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-20:1),536.40748,518.3969153,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-22:0),566.45443,548.4438653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-22:1),564.43883,546.4282653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-24:0),594.48573,576.4751653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-24:1),592.47013,574.4595653,240.1000842,184.07332,104.1069
Plasmanyl-LPC(O-24:2),590.45453,572.4439653,240.1000842,184.07332,104.1069
scores,0.45,0.033333333,0.033333333,0.45,0.033333333
