Plasmanyl-PC,[M+H]+,[M+H-N(CH3)3]+,[M+H-PC]+,[M+H-sn1_ether]+,[M+H-sn1_ether-N(CH3)3]+,[M+H-sn2_acyl]+,[M+H-sn2-H2O]+,[LPC_sn2_acyl]+,[sn2_acyl_RCOO+58]+,[acyl_sn2_RCO]+,[PC_Head]+
Plasmanyl-PC(O-16:0/10:0),636.4962576,577.4227583,453.4302176,396.2510926,337.1775926,482.3605776,464.3500176,412.24589,229.17983,155.1436,184.07332
Plasmanyl-PC(O-16:0/12:0),664.5275576,605.4540583,481.4615176,424.2823926,365.2088926,482.3605776,464.3500176,440.27719,257.21113,183.1749,184.07332
Plasmanyl-PC(O-16:0/13:0),678.5432576,619.4697583,495.4772176,438.2980926,379.2245926,482.3605776,464.3500176,454.29289,271.22683,197.1906,184.07332
Plasmanyl-PC(O-16:0/14:0),692.5588576,633.4853583,509.4928176,452.3136926,393.2401926,482.3605776,464.3500176,468.30849,285.24243,211.2062,184.07332
Plasmanyl-PC(O-16:0/14:1),690.5432576,631.4697583,507.4772176,450.2980926,391.2245926,482.3605776,464.3500176,466.29289,283.22683,209.1906,184.07332
Plasmanyl-PC(O-16:0/15:0),706.5745576,647.5010583,523.5085176,466.3293926,407.2558926,482.3605776,464.3500176,482.32419,299.25813,225.2219,184.07332
Plasmanyl-PC(O-16:0/15:1),704.5588576,645.4853583,521.4928176,464.3136926,405.2401926,482.3605776,464.3500176,480.30849,297.24243,223.2062,184.07332
Plasmanyl-PC(O-16:0/16:0),720.5901576,661.5166583,537.5241176,480.3449926,421.2714926,482.3605776,464.3500176,496.33979,313.27373,239.2375,184.07332
Plasmanyl-PC(O-16:0/16:1),718.5745576,659.5010583,535.5085176,478.3293926,419.2558926,482.3605776,464.3500176,494.32419,311.25813,237.2219,184.07332
Plasmanyl-PC(O-16:0/17:0),734.6058576,675.5323583,551.5398176,494.3606926,435.2871926,482.3605776,464.3500176,510.35549,327.28943,253.2532,184.07332
Plasmanyl-PC(O-16:0/17:1),732.5901576,673.5166583,549.5241176,492.3449926,433.2714926,482.3605776,464.3500176,508.33979,325.27373,251.2375,184.07332
Plasmanyl-PC(O-16:0/17:2),730.5745576,671.5010583,547.5085176,490.3293926,431.2558926,482.3605776,464.3500176,506.32419,323.25813,249.2219,184.07332
Plasmanyl-PC(O-16:0/18:0),748.6214576,689.5479583,565.5554176,508.3762926,449.3027926,482.3605776,464.3500176,524.37109,341.30503,267.2688,184.07332
Plasmanyl-PC(O-16:0/18:1),746.6058576,687.5323583,563.5398176,506.3606926,447.2871926,482.3605776,464.3500176,522.35549,339.28943,265.2532,184.07332
Plasmanyl-PC(O-16:0/18:2),744.5901576,685.5166583,561.5241176,504.3449926,445.2714926,482.3605776,464.3500176,520.33979,337.27373,263.2375,184.07332
Plasmanyl-PC(O-16:0/18:3),742.5745576,683.5010583,559.5085176,502.3293926,443.2558926,482.3605776,464.3500176,518.32419,335.25813,261.2219,184.07332
Plasmanyl-PC(O-16:0/18:4),740.5588576,681.4853583,557.4928176,500.3136926,441.2401926,482.3605776,464.3500176,516.30849,333.24243,259.2062,184.07332
Plasmanyl-PC(O-16:0/19:0),762.6371576,703.5636583,579.5711176,522.3919926,463.3184926,482.3605776,464.3500176,538.38679,355.32073,281.2845,184.07332
Plasmanyl-PC(O-16:0/20:0),776.6527576,717.5792583,593.5867176,536.4075926,477.3340926,482.3605776,464.3500176,552.40239,369.33633,295.3001,184.07332
Plasmanyl-PC(O-16:0/20:1),774.6371576,715.5636583,591.5711176,534.3919926,475.3184926,482.3605776,464.3500176,550.38679,367.32073,293.2845,184.07332
