Plasmenyl-LPC,[M+H]+,[M+H-H2O]+,[M+H-59]+,[M+H-R_Ether]+,[M+H-R_Ether-59]+,[PC Head]+
Plasmenyl-LPC(P-16:0),480.34486,462.3342953,421.34486,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-16:1),478.32921,460.3186453,419.32921,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-18:0),508.37616,490.3655953,449.37616,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-18:1),506.36051,488.3499453,447.36051,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-20:0),536.40746,518.3968953,477.40746,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-20:1),534.39181,516.3812453,475.39181,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-22:0),564.43876,546.4281953,505.43876,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-22:1),562.42316,544.4125953,503.42316,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-24:0),592.47006,574.4594953,533.47006,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-24:1),590.45446,572.4438953,531.45446,240.1000842,181.1000842,184.07332
Plasmenyl-LPC(P-24:2),588.43886,570.4282953,529.43886,240.1000842,181.1000842,184.07332
scores,0.3,0.033333333,0.033333333,0.3,0.033333333,0.3
