Plasmenyl-PC,[M+H]+,[M+H-PC]+,[M+H-sn1_ether]+,[M+H-sn1_ether-N(CH3)3]+,[M+H-sn2_acyl]+,[M+H-sn2_acyl-H2O]+,[LPC_acyl_sn2]+,[acyl_sn2_RCOO+58]+,[acyl2_RCO]+,[PC Head]+
Plasmenyl-PC(P-16:0/10:0),634.4805976,451.4145576,394.2354326,335.1619326,480.3449176,462.3343576,412.24589,229.17983,155.1436,184.07332
Plasmenyl-PC(P-16:0/12:0),662.5118976,479.4458576,422.2667326,363.1932326,480.3449176,462.3343576,440.27719,257.21113,183.1749,184.07332
Plasmenyl-PC(P-16:0/13:0),676.5275976,493.4615576,436.2824326,377.2089326,480.3449176,462.3343576,454.29289,271.22683,197.1906,184.07332
Plasmenyl-PC(P-16:0/14:0),690.5431976,507.4771576,450.2980326,391.2245326,480.3449176,462.3343576,468.30849,285.24243,211.2062,184.07332
Plasmenyl-PC(P-16:0/14:1),688.5275976,505.4615576,448.2824326,389.2089326,480.3449176,462.3343576,466.29289,283.22683,209.1906,184.07332
Plasmenyl-PC(P-16:0/15:0),704.5588976,521.4928576,464.3137326,405.2402326,480.3449176,462.3343576,482.32419,299.25813,225.2219,184.07332
Plasmenyl-PC(P-16:0/15:1),702.5431976,519.4771576,462.2980326,403.2245326,480.3449176,462.3343576,480.30849,297.24243,223.2062,184.07332
Plasmenyl-PC(P-16:0/16:0),718.5744976,535.5084576,478.3293326,419.2558326,480.3449176,462.3343576,496.33979,313.27373,239.2375,184.07332
Plasmenyl-PC(P-16:0/16:1),716.5588976,533.4928576,476.3137326,417.2402326,480.3449176,462.3343576,494.32419,311.25813,237.2219,184.07332
Plasmenyl-PC(P-16:0/17:0),732.5901976,549.5241576,492.3450326,433.2715326,480.3449176,462.3343576,510.35549,327.28943,253.2532,184.07332
Plasmenyl-PC(P-16:0/17:1),730.5744976,547.5084576,490.3293326,431.2558326,480.3449176,462.3343576,508.33979,325.27373,251.2375,184.07332
Plasmenyl-PC(P-16:0/17:2),728.5588976,545.4928576,488.3137326,429.2402326,480.3449176,462.3343576,506.32419,323.25813,249.2219,184.07332
