SM,[M+H]+,[M+H-H2O]+,[M+H-PC head]+,[M+H-N(CH3)3]+,[M+H-PC head-R1]+,[PC Head]+
SM(d10:0/10:0),509.37137,491.360805,326.30533,450.29783,154.158945,184.07332
SM(d10:0/12:0),537.40267,519.392105,354.33663,478.32913,154.158945,184.07332
SM(d10:0/13:0),551.41837,533.407805,368.35233,492.34483,154.158945,184.07332
SM(d10:0/14:0),565.43397,547.423405,382.36793,506.36043,154.158945,184.07332
SM(d10:0/14:1),563.41837,545.407805,380.35233,504.34483,154.158945,184.07332
SM(d10:0/15:0),579.44967,561.439105,396.38363,520.37613,154.158945,184.07332
SM(d10:0/15:1),577.43397,559.423405,394.36793,518.36043,154.158945,184.07332
SM(d10:0/16:0),593.46527,575.454705,410.39923,534.39173,154.158945,184.07332
SM(d10:0/16:1),591.44967,573.439105,408.38363,532.37613,154.158945,184.07332
SM(d10:0/17:0),607.48097,589.470405,424.41493,548.40743,154.158945,184.07332
SM(d10:0/17:1),605.46527,587.454705,422.39923,546.39173,154.158945,184.07332
SM(d10:0/17:2),603.44967,585.439105,420.38363,544.37613,154.158945,184.07332
SM(d10:0/18:0),621.49657,603.486005,438.43053,562.42303,154.158945,184.07332
SM(d10:0/18:1),619.48097,601.470405,436.41493,560.40743,154.158945,184.07332
SM(d10:0/18:2),617.46527,599.454705,434.39923,558.39173,154.158945,184.07332
SM(d10:0/18:3),615.44967,597.439105,432.38363,556.37613,154.158945,184.07332
SM(d10:0/18:4),613.43397,595.423405,430.36793,554.36043,154.158945,184.07332
SM(d10:0/19:0),635.51227,617.501705,452.44623,576.43873,154.158945,184.07332
SM(d10:0/20:0),649.52787,631.517305,466.46183,590.45433,154.158945,184.07332
SM(d10:0/20:1),647.51227,629.501705,464.44623,588.43873,154.158945,184.07332
SM(d10:0/20:2),645.49657,627.486005,462.43053,586.42303,154.158945,184.07332
SM(d10:0/20:3),643.48097,625.470405,460.41493,584.40743,154.158945,184.07332
SM(d10:0/20:4),641.46527,623.454705,458.39923,582.39173,154.158945,184.07332
SM(d10:0/20:5),639.44967,621.439105,456.38363,580.37613,154.158945,184.07332
SM(d10:0/21:0),663.54357,645.533005,480.47753,604.47003,154.158945,184.07332
SM(d10:0/22:0),677.55917,659.548605,494.49313,618.48563,154.158945,184.07332
SM(d10:0/22:1),675.54357,657.533005,492.47753,616.47003,154.158945,184.07332
SM(d10:0/22:2),673.52787,655.517305,490.46183,614.45433,154.158945,184.07332
SM(d10:0/22:3),671.51227,653.501705,488.44623,612.43873,154.158945,184.07332
SM(d10:0/22:4),669.49657,651.486005,486.43053,610.42303,154.158945,184.07332
SM(d10:0/22:5),667.48097,649.470405,484.41493,608.40743,154.158945,184.07332
SM(d10:0/22:6),665.46527,647.454705,482.39923,606.39173,154.158945,184.07332
SM(d10:0/23:0),691.57487,673.564305,508.50883,632.50133,154.158945,184.07332
SM(d10:0/24:0),705.59047,687.579905,522.52443,646.51693,154.158945,184.07332
SM(d10:0/24:1),703.57487,685.564305,520.50883,644.50133,154.158945,184.07332
SM(d10:0/25:0),719.60617,701.595605,536.54013,660.53263,154.158945,184.07332
SM(d10:0/26:0),733.62177,715.611205,550.55573,674.54823,154.158945,184.07332
SM(d10:0/8:0),481.34007,463.329505,298.27403,422.26653,154.158945,184.07332
SM(d12:0/10:0),537.40267,519.392105,354.33663,478.32913,182.190245,184.07332
SM(d12:0/12:0),565.43397,547.423405,382.36793,506.36043,182.190245,184.07332
SM(d12:0/13:0),579.44967,561.439105,396.38363,520.37613,182.190245,184.07332
SM(d12:0/14:0),593.46527,575.454705,410.39923,534.39173,182.190245,184.07332
SM(d12:0/14:1),591.44967,573.439105,408.38363,532.37613,182.190245,184.07332
SM(d12:0/15:0),607.48097,589.470405,424.41493,548.40743,182.190245,184.07332
SM(d12:0/15:1),605.46527,587.454705,422.39923,546.39173,182.190245,184.07332
SM(d12:0/16:0),621.49657,603.486005,438.43053,562.42303,182.190245,184.07332
SM(d12:0/16:1),619.48097,601.470405,436.41493,560.40743,182.190245,184.07332
SM(d12:0/17:0),635.51227,617.501705,452.44623,576.43873,182.190245,184.07332
SM(d12:0/17:1),633.49657,615.486005,450.43053,574.42303,182.190245,184.07332
SM(d12:0/17:2),631.48097,613.470405,448.41493,572.40743,182.190245,184.07332
SM(d12:0/18:0),649.52787,631.517305,466.46183,590.45433,182.190245,184.07332
SM(d12:0/18:1),647.51227,629.501705,464.44623,588.43873,182.190245,184.07332
SM(d12:0/18:2),645.49657,627.486005,462.43053,586.42303,182.190245,184.07332
SM(d12:0/18:3),643.48097,625.470405,460.41493,584.40743,182.190245,184.07332
SM(d12:0/18:4),641.46527,623.454705,458.39923,582.39173,182.190245,184.07332
SM(d12:0/19:0),663.54357,645.533005,480.47753,604.47003,182.190245,184.07332
SM(d12:0/20:0),677.55917,659.548605,494.49313,618.48563,182.190245,184.07332
SM(d12:0/20:1),675.54357,657.533005,492.47753,616.47003,182.190245,184.07332
SM(d12:0/20:2),673.52787,655.517305,490.46183,614.45433,182.190245,184.07332
SM(d12:0/20:3),671.51227,653.501705,488.44623,612.43873,182.190245,184.07332
SM(d12:0/20:4),669.49657,651.486005,486.43053,610.42303,182.190245,184.07332
SM(d12:0/20:5),667.48097,649.470405,484.41493,608.40743,182.190245,184.07332
SM(d12:0/21:0),691.57487,673.564305,508.50883,632.50133,182.190245,184.07332
SM(d12:0/22:0),705.59047,687.579905,522.52443,646.51693,182.190245,184.07332
SM(d12:0/22:1),703.57487,685.564305,520.50883,644.50133,182.190245,184.07332
SM(d12:0/22:2),701.55917,683.548605,518.49313,642.48563,182.190245,184.07332
SM(d12:0/22:3),699.54357,681.533005,516.47753,640.47003,182.190245,184.07332
SM(d12:0/22:4),697.52787,679.517305,514.46183,638.45433,182.190245,184.07332
SM(d12:0/22:5),695.51227,677.501705,512.44623,636.43873,182.190245,184.07332
SM(d12:0/22:6),693.49657,675.486005,510.43053,634.42303,182.190245,184.07332
SM(d12:0/23:0),719.60617,701.595605,536.54013,660.53263,182.190245,184.07332
SM(d12:0/24:0),733.62177,715.611205,550.55573,674.54823,182.190245,184.07332
SM(d12:0/24:1),731.60617,713.595605,548.54013,672.53263,182.190245,184.07332
SM(d12:0/25:0),747.63747,729.626905,564.57143,688.56393,182.190245,184.07332
SM(d12:0/26:0),761.65307,743.642505,578.58703,702.57953,182.190245,184.07332
SM(d12:0/8:0),509.37137,491.360805,326.30533,450.29783,182.190245,184.07332
SM(d13:0/10:0),551.41837,533.407805,368.35233,492.34483,196.205945,184.07332
SM(d13:0/12:0),579.44967,561.439105,396.38363,520.37613,196.205945,184.07332
SM(d13:0/13:0),593.46537,575.454805,410.39933,534.39183,196.205945,184.07332
SM(d13:0/14:0),607.48097,589.470405,424.41493,548.40743,196.205945,184.07332
SM(d13:0/14:1),605.46537,587.454805,422.39933,546.39183,196.205945,184.07332
SM(d13:0/15:0),621.49667,603.486105,438.43063,562.42313,196.205945,184.07332
SM(d13:0/15:1),619.48097,601.470405,436.41493,560.40743,196.205945,184.07332
SM(d13:0/16:0),635.51227,617.501705,452.44623,576.43873,196.205945,184.07332
SM(d13:0/16:1),633.49667,615.486105,450.43063,574.42313,196.205945,184.07332
SM(d13:0/17:0),649.52797,631.517405,466.46193,590.45443,196.205945,184.07332
SM(d13:0/17:1),647.51227,629.501705,464.44623,588.43873,196.205945,184.07332
SM(d13:0/17:2),645.49667,627.486105,462.43063,586.42313,196.205945,184.07332
SM(d13:0/18:0),663.54357,645.533005,480.47753,604.47003,196.205945,184.07332
SM(d13:0/18:1),661.52797,643.517405,478.46193,602.45443,196.205945,184.07332
SM(d13:0/18:2),659.51227,641.501705,476.44623,600.43873,196.205945,184.07332
SM(d13:0/18:3),657.49667,639.486105,474.43063,598.42313,196.205945,184.07332
SM(d13:0/18:4),655.48097,637.470405,472.41493,596.40743,196.205945,184.07332
SM(d13:0/19:0),677.55927,659.548705,494.49323,618.48573,196.205945,184.07332
SM(d13:0/20:0),691.57487,673.564305,508.50883,632.50133,196.205945,184.07332
SM(d13:0/20:1),689.55927,671.548705,506.49323,630.48573,196.205945,184.07332
SM(d13:0/20:2),687.54357,669.533005,504.47753,628.47003,196.205945,184.07332
SM(d13:0/20:3),685.52797,667.517405,502.46193,626.45443,196.205945,184.07332
SM(d13:0/20:4),683.51227,665.501705,500.44623,624.43873,196.205945,184.07332
SM(d13:0/20:5),681.49667,663.486105,498.43063,622.42313,196.205945,184.07332
SM(d13:0/21:0),705.59057,687.580005,522.52453,646.51703,196.205945,184.07332
SM(d13:0/22:0),719.60617,701.595605,536.54013,660.53263,196.205945,184.07332
