SM,[M+Na]+,[M+Na-N(CH3)3]+,[M+Na-PC head]+,[M-Na-PC head]+,[M+H-PC head-R1]+,[PC Head]+,[HPO4(CH2)2+Na]+
SM(d10:0/10:0),531.35331,472.27977,348.28727,326.30533,154.158945,184.07332,146.98231
SM(d10:0/12:0),559.38461,500.31107,376.31857,354.33663,154.158945,184.07332,146.98231
SM(d10:0/13:0),573.40031,514.32677,390.33427,368.35233,154.158945,184.07332,146.98231
SM(d10:0/14:0),587.41591,528.34237,404.34987,382.36793,154.158945,184.07332,146.98231
SM(d10:0/14:1),585.40031,526.32677,402.33427,380.35233,154.158945,184.07332,146.98231
SM(d10:0/15:0),601.43161,542.35807,418.36557,396.38363,154.158945,184.07332,146.98231
SM(d10:0/15:1),599.41591,540.34237,416.34987,394.36793,154.158945,184.07332,146.98231
SM(d10:0/16:0),615.44721,556.37367,432.38117,410.39923,154.158945,184.07332,146.98231
SM(d10:0/16:1),613.43161,554.35807,430.36557,408.38363,154.158945,184.07332,146.98231
SM(d10:0/17:0),629.46291,570.38937,446.39687,424.41493,154.158945,184.07332,146.98231
SM(d10:0/17:1),627.44721,568.37367,444.38117,422.39923,154.158945,184.07332,146.98231
SM(d10:0/17:2),625.43161,566.35807,442.36557,420.38363,154.158945,184.07332,146.98231
SM(d10:0/18:0),643.47851,584.40497,460.41247,438.43053,154.158945,184.07332,146.98231
SM(d10:0/18:1),641.46291,582.38937,458.39687,436.41493,154.158945,184.07332,146.98231
SM(d10:0/18:2),639.44721,580.37367,456.38117,434.39923,154.158945,184.07332,146.98231
SM(d10:0/18:3),637.43161,578.35807,454.36557,432.38363,154.158945,184.07332,146.98231
SM(d10:0/18:4),635.41591,576.34237,452.34987,430.36793,154.158945,184.07332,146.98231
SM(d10:0/19:0),657.49421,598.42067,474.42817,452.44623,154.158945,184.07332,146.98231
SM(d10:0/20:0),671.50981,612.43627,488.44377,466.46183,154.158945,184.07332,146.98231
SM(d10:0/20:1),669.49421,610.42067,486.42817,464.44623,154.158945,184.07332,146.98231
SM(d10:0/20:2),667.47851,608.40497,484.41247,462.43053,154.158945,184.07332,146.98231
SM(d10:0/20:3),665.46291,606.38937,482.39687,460.41493,154.158945,184.07332,146.98231
SM(d10:0/20:4),663.44721,604.37367,480.38117,458.39923,154.158945,184.07332,146.98231
SM(d10:0/20:5),661.43161,602.35807,478.36557,456.38363,154.158945,184.07332,146.98231
SM(d10:0/21:0),685.52551,626.45197,502.45947,480.47753,154.158945,184.07332,146.98231
SM(d10:0/22:0),699.54111,640.46757,516.47507,494.49313,154.158945,184.07332,146.98231
SM(d10:0/22:1),697.52551,638.45197,514.45947,492.47753,154.158945,184.07332,146.98231
SM(d10:0/22:2),695.50981,636.43627,512.44377,490.46183,154.158945,184.07332,146.98231
SM(d10:0/22:3),693.49421,634.42067,510.42817,488.44623,154.158945,184.07332,146.98231
SM(d10:0/22:4),691.47851,632.40497,508.41247,486.43053,154.158945,184.07332,146.98231
SM(d10:0/22:5),689.46291,630.38937,506.39687,484.41493,154.158945,184.07332,146.98231
SM(d10:0/22:6),687.44721,628.37367,504.38117,482.39923,154.158945,184.07332,146.98231
SM(d10:0/23:0),713.55681,654.48327,530.49077,508.50883,154.158945,184.07332,146.98231
SM(d10:0/24:0),727.57241,668.49887,544.50637,522.52443,154.158945,184.07332,146.98231
SM(d10:0/24:1),725.55681,666.48327,542.49077,520.50883,154.158945,184.07332,146.98231
SM(d10:0/25:0),741.58811,682.51457,558.52207,536.54013,154.158945,184.07332,146.98231
SM(d10:0/26:0),755.60371,696.53017,572.53767,550.55573,154.158945,184.07332,146.98231
SM(d10:0/8:0),503.32201,444.24847,320.25597,298.27403,154.158945,184.07332,146.98231
SM(d12:0/10:0),559.38461,500.31107,376.31857,354.33663,182.190245,184.07332,146.98231
SM(d12:0/12:0),587.41591,528.34237,404.34987,382.36793,182.190245,184.07332,146.98231
SM(d12:0/13:0),601.43161,542.35807,418.36557,396.38363,182.190245,184.07332,146.98231
SM(d12:0/14:0),615.44721,556.37367,432.38117,410.39923,182.190245,184.07332,146.98231
SM(d12:0/14:1),613.43161,554.35807,430.36557,408.38363,182.190245,184.07332,146.98231
SM(d12:0/15:0),629.46291,570.38937,446.39687,424.41493,182.190245,184.07332,146.98231
SM(d12:0/15:1),627.44721,568.37367,444.38117,422.39923,182.190245,184.07332,146.98231
SM(d12:0/16:0),643.47851,584.40497,460.41247,438.43053,182.190245,184.07332,146.98231
SM(d12:0/16:1),641.46291,582.38937,458.39687,436.41493,182.190245,184.07332,146.98231
SM(d12:0/17:0),657.49421,598.42067,474.42817,452.44623,182.190245,184.07332,146.98231
SM(d12:0/17:1),655.47851,596.40497,472.41247,450.43053,182.190245,184.07332,146.98231
SM(d12:0/17:2),653.46291,594.38937,470.39687,448.41493,182.190245,184.07332,146.98231
SM(d12:0/18:0),671.50981,612.43627,488.44377,466.46183,182.190245,184.07332,146.98231
SM(d12:0/18:1),669.49421,610.42067,486.42817,464.44623,182.190245,184.07332,146.98231
SM(d12:0/18:2),667.47851,608.40497,484.41247,462.43053,182.190245,184.07332,146.98231
SM(d12:0/18:3),665.46291,606.38937,482.39687,460.41493,182.190245,184.07332,146.98231
SM(d12:0/18:4),663.44721,604.37367,480.38117,458.39923,182.190245,184.07332,146.98231
SM(d12:0/19:0),685.52551,626.45197,502.45947,480.47753,182.190245,184.07332,146.98231
SM(d12:0/20:0),699.54111,640.46757,516.47507,494.49313,182.190245,184.07332,146.98231
SM(d12:0/20:1),697.52551,638.45197,514.45947,492.47753,182.190245,184.07332,146.98231
SM(d12:0/20:2),695.50981,636.43627,512.44377,490.46183,182.190245,184.07332,146.98231
SM(d12:0/20:3),693.49421,634.42067,510.42817,488.44623,182.190245,184.07332,146.98231
SM(d12:0/20:4),691.47851,632.40497,508.41247,486.43053,182.190245,184.07332,146.98231
SM(d12:0/20:5),689.46291,630.38937,506.39687,484.41493,182.190245,184.07332,146.98231
SM(d12:0/21:0),713.55681,654.48327,530.49077,508.50883,182.190245,184.07332,146.98231
SM(d12:0/22:0),727.57241,668.49887,544.50637,522.52443,182.190245,184.07332,146.98231
SM(d12:0/22:1),725.55681,666.48327,542.49077,520.50883,182.190245,184.07332,146.98231
SM(d12:0/22:2),723.54111,664.46757,540.47507,518.49313,182.190245,184.07332,146.98231
SM(d12:0/22:3),721.52551,662.45197,538.45947,516.47753,182.190245,184.07332,146.98231
SM(d12:0/22:4),719.50981,660.43627,536.44377,514.46183,182.190245,184.07332,146.98231
SM(d12:0/22:5),717.49421,658.42067,534.42817,512.44623,182.190245,184.07332,146.98231
SM(d12:0/22:6),715.47851,656.40497,532.41247,510.43053,182.190245,184.07332,146.98231
SM(d12:0/23:0),741.58811,682.51457,558.52207,536.54013,182.190245,184.07332,146.98231
SM(d12:0/24:0),755.60371,696.53017,572.53767,550.55573,182.190245,184.07332,146.98231
SM(d12:0/24:1),753.58811,694.51457,570.52207,548.54013,182.190245,184.07332,146.98231
SM(d12:0/25:0),769.61941,710.54587,586.55337,564.57143,182.190245,184.07332,146.98231
SM(d12:0/26:0),783.63501,724.56147,600.56897,578.58703,182.190245,184.07332,146.98231
SM(d12:0/8:0),531.35331,472.27977,348.28727,326.30533,182.190245,184.07332,146.98231
SM(d13:0/10:0),573.40031,514.32677,390.33427,368.35233,196.205945,184.07332,146.98231
SM(d13:0/12:0),601.43161,542.35807,418.36557,396.38363,196.205945,184.07332,146.98231
SM(d13:0/13:0),615.44731,556.37377,432.38127,410.39933,196.205945,184.07332,146.98231
SM(d13:0/14:0),629.46291,570.38937,446.39687,424.41493,196.205945,184.07332,146.98231
SM(d13:0/14:1),627.44731,568.37377,444.38127,422.39933,196.205945,184.07332,146.98231
SM(d13:0/15:0),643.47861,584.40507,460.41257,438.43063,196.205945,184.07332,146.98231
