"TG","[M+K]+","[M+K-acyl-sn1-H2O]+","[M+K-acyl-sn2-H2O]+","[M+K-acyl-sn3-H2O]+"
"TG(24:0) TG(8:0_8:0_8:0)",509.3239,365.209006,365.209006,365.209006
"TG(26:0) TG(10:0_8:0_8:0)",537.3552,365.209006,393.240306,393.240306
"TG(28:0) TG(12:0_8:0_8:0)",565.3865,365.209006,421.271606,421.271606
"TG(28:0) TG(10:0_10:0_8:0)",565.3865,393.240306,393.240306,421.271606
"TG(29:0) TG(13:0_8:0_8:0)",579.4022,365.209006,435.287306,435.287306
"TG(30:1) TG(14:1_8:0_8:0)",591.4022,365.209006,447.287306,447.287306
"TG(30:0) TG(10:0_10:0_10:0)",593.4178,421.271606,421.271606,421.271606
"TG(30:0) TG(14:0_8:0_8:0)",593.4178,365.209006,449.302906,449.302906
"TG(30:0) TG(10:0_12:0_8:0)",593.4178,421.271606,393.240306,449.302906
"TG(31:0) TG(15:0_8:0_8:0)",607.4335,365.209006,463.318606,463.318606
"TG(31:0) TG(10:0_13:0_8:0)",607.4335,435.287306,393.240306,463.318606
"TG(32:1) TG(16:1_8:0_8:0)",619.4335,365.209006,475.318606,475.318606
"TG(32:1) TG(10:0_14:1_8:0)",619.4335,447.287306,393.240306,475.318606
"TG(32:0) TG(10:0_10:0_12:0)",621.4491,449.302906,449.302906,421.271606
"TG(32:0) TG(16:0_8:0_8:0)",621.4491,365.209006,477.334206,477.334206
"TG(32:0) TG(10:0_14:0_8:0)",621.4491,449.302906,393.240306,477.334206
"TG(32:0) TG(12:0_12:0_8:0)",621.4491,421.271606,421.271606,477.334206
"TG(33:0) TG(10:0_10:0_13:0)",635.4648,463.318606,463.318606,421.271606
"TG(33:0) TG(17:0_8:0_8:0)",635.4648,365.209006,491.349906,491.349906
"TG(33:0) TG(10:0_15:0_8:0)",635.4648,463.318606,393.240306,491.349906
"TG(33:0) TG(12:0_13:0_8:0)",635.4648,435.287306,421.271606,491.349906
"TG(34:4) TG(18:4_8:0_8:0)",641.4178,365.209006,497.302906,497.302906
"TG(34:3) TG(18:3_8:0_8:0)",643.4335,365.209006,499.318606,499.318606
"TG(34:2) TG(18:2_8:0_8:0)",645.4491,365.209006,501.334206,501.334206
"TG(34:1) TG(10:0_10:0_14:1)",647.4648,475.318606,475.318606,421.271606
"TG(34:1) TG(18:1_8:0_8:0)",647.4648,365.209006,503.349906,503.349906
"TG(34:1) TG(10:0_16:1_8:0)",647.4648,475.318606,393.240306,503.349906
"TG(34:1) TG(12:0_14:1_8:0)",647.4648,447.287306,421.271606,503.349906
"TG(34:0) TG(10:0_10:0_14:0)",649.4804,477.334206,477.334206,421.271606
"TG(34:0) TG(10:0_12:0_12:0)",649.4804,477.334206,449.302906,449.302906
"TG(34:0) TG(18:0_8:0_8:0)",649.4804,365.209006,505.365506,505.365506
"TG(34:0) TG(10:0_16:0_8:0)",649.4804,477.334206,393.240306,505.365506
"TG(34:0) TG(12:0_14:0_8:0)",649.4804,449.302906,421.271606,505.365506
"TG(34:0) TG(13:0_13:0_8:0)",649.4805,435.287306,435.287306,505.365606
"TG(35:1) TG(13:0_14:1_8:0)",661.4805,447.287306,435.287306,517.365606
"TG(35:0) TG(10:0_10:0_15:0)",663.4961,491.349906,491.349906,421.271606
"TG(35:0) TG(10:0_12:0_13:0)",663.4961,491.349906,463.318606,449.302906
"TG(35:0) TG(19:0_8:0_8:0)",663.4961,365.209006,519.381206,519.381206
"TG(35:0) TG(10:0_17:0_8:0)",663.4961,491.349906,393.240306,519.381206
"TG(35:0) TG(12:0_15:0_8:0)",663.4961,463.318606,421.271606,519.381206
"TG(35:0) TG(13:0_14:0_8:0)",663.4961,449.302906,435.287306,519.381206
"TG(36:5) TG(20:5_8:0_8:0)",667.4335,365.209006,523.318606,523.318606
"TG(36:4) TG(20:4_8:0_8:0)",669.4491,365.209006,525.334206,525.334206
"TG(36:4) TG(10:0_18:4_8:0)",669.4491,497.302906,393.240306,525.334206
"TG(36:3) TG(20:3_8:0_8:0)",671.4648,365.209006,527.349906,527.349906
"TG(36:3) TG(10:0_18:3_8:0)",671.4648,499.318606,393.240306,527.349906
"TG(36:2) TG(20:2_8:0_8:0)",673.4804,365.209006,529.365506,529.365506
"TG(36:2) TG(10:0_18:2_8:0)",673.4804,501.334206,393.240306,529.365506
"TG(36:2) TG(14:1_14:1_8:0)",673.4805,447.287306,447.287306,529.365606
"TG(36:1) TG(10:0_10:0_16:1)",675.4961,503.349906,503.349906,421.271606
"TG(36:1) TG(10:0_12:0_14:1)",675.4961,503.349906,475.318606,449.302906
"TG(36:1) TG(20:1_8:0_8:0)",675.4961,365.209006,531.381206,531.381206
"TG(36:1) TG(10:0_18:1_8:0)",675.4961,503.349906,393.240306,531.381206
