"TG","[M+NH4]+","[M+H-R1-H2O]+","[M+H-R2-H2O]+","[M+H-R3-H2O]+","[R1CO]+","[R2CO]+","[R3CO]+","[R1CO+74]+","[R2CO+74]+","[R3CO+74]+","[R1CO+74-H2O]+","[R2CO+74-H2O]+","[R3CO+74-H2O]+"
"TG(24:0) TG(8:0_8:0_8:0)",488.3945504,327.2529764,327.2529764,327.2529764,127.1117364,127.1117364,127.1117364,201.1485364,201.1485364,201.1485364,183.1379714,183.1379714,183.1379714
"TG(26:0) TG(10:0_8:0_8:0)",516.4258504,327.2529764,355.2842764,355.2842764,155.1430364,127.1117364,127.1117364,229.1798364,201.1485364,201.1485364,211.1692714,183.1379714,183.1379714
"TG(28:0) TG(12:0_8:0_8:0)",544.4571504,327.2529764,383.3155764,383.3155764,183.1743364,127.1117364,127.1117364,257.2111364,201.1485364,201.1485364,239.2005714,183.1379714,183.1379714
"TG(28:0) TG(10:0_10:0_8:0)",544.4571504,355.2842764,355.2842764,383.3155764,155.1430364,155.1430364,127.1117364,229.1798364,229.1798364,201.1485364,211.1692714,211.1692714,183.1379714
"TG(29:0) TG(13:0_8:0_8:0)",558.4728504,327.2529764,397.3312764,397.3312764,197.1900364,127.1117364,127.1117364,271.2268364,201.1485364,201.1485364,253.2162714,183.1379714,183.1379714
"TG(30:1) TG(14:1_8:0_8:0)",570.4728504,327.2529764,409.3312764,409.3312764,209.1900364,127.1117364,127.1117364,283.2268364,201.1485364,201.1485364,265.2162714,183.1379714,183.1379714
"TG(30:0) TG(10:0_10:0_10:0)",572.4884504,383.3155764,383.3155764,383.3155764,155.1430364,155.1430364,155.1430364,229.1798364,229.1798364,229.1798364,211.1692714,211.1692714,211.1692714
"TG(30:0) TG(14:0_8:0_8:0)",572.4884504,327.2529764,411.3468764,411.3468764,211.2056364,127.1117364,127.1117364,285.2424364,201.1485364,201.1485364,267.2318714,183.1379714,183.1379714
"TG(30:0) TG(10:0_12:0_8:0)",572.4884504,383.3155764,355.2842764,411.3468764,155.1430364,183.1743364,127.1117364,229.1798364,257.2111364,201.1485364,211.1692714,239.2005714,183.1379714
"TG(31:1) TG(15:1_8:0_8:0)",584.4884504,327.2529764,423.3468764,423.3468764,223.2056364,127.1117364,127.1117364,297.2424364,201.1485364,201.1485364,279.2318714,183.1379714,183.1379714
"TG(31:0) TG(15:0_8:0_8:0)",586.5041504,327.2529764,425.3625764,425.3625764,225.2213364,127.1117364,127.1117364,299.2581364,201.1485364,201.1485364,281.2475714,183.1379714,183.1379714
"TG(31:0) TG(10:0_13:0_8:0)",586.5041504,397.3312764,355.2842764,425.3625764,155.1430364,197.1900364,127.1117364,229.1798364,271.2268364,201.1485364,211.1692714,253.2162714,183.1379714
"TG(32:1) TG(16:1_8:0_8:0)",598.5041504,327.2529764,437.3625764,437.3625764,237.2213364,127.1117364,127.1117364,311.2581364,201.1485364,201.1485364,293.2475714,183.1379714,183.1379714
"TG(32:1) TG(10:0_14:1_8:0)",598.5041504,409.3312764,355.2842764,437.3625764,155.1430364,209.1900364,127.1117364,229.1798364,283.2268364,201.1485364,211.1692714,265.2162714,183.1379714
"TG(32:0) TG(10:0_10:0_12:0)",600.5197504,411.3468764,411.3468764,383.3155764,155.1430364,155.1430364,183.1743364,229.1798364,229.1798364,257.2111364,211.1692714,211.1692714,239.2005714
"TG(32:0) TG(16:0_8:0_8:0)",600.5197504,327.2529764,439.3781764,439.3781764,239.2369364,127.1117364,127.1117364,313.2737364,201.1485364,201.1485364,295.2631714,183.1379714,183.1379714
"TG(32:0) TG(10:0_14:0_8:0)",600.5197504,411.3468764,355.2842764,439.3781764,155.1430364,211.2056364,127.1117364,229.1798364,285.2424364,201.1485364,211.1692714,267.2318714,183.1379714
