"TG","[M+Na]+","[M+Na-acyl-sn1-H2O]+","[M+Na-acyl-sn2-H2O]+","[M+Na-acyl-sn3-H2O]+"
"TG(24:0) TG(8:0_8:0_8:0)",493.3499404,349.2350464,349.2350464,349.2350464
"TG(26:0) TG(10:0_8:0_8:0)",521.3812404,349.2350464,377.2663464,377.2663464
"TG(28:0) TG(12:0_8:0_8:0)",549.4125404,349.2350464,405.2976464,405.2976464
"TG(28:0) TG(10:0_10:0_8:0)",549.4125404,377.2663464,377.2663464,405.2976464
"TG(29:0) TG(13:0_8:0_8:0)",563.4282404,349.2350464,419.3133464,419.3133464
"TG(30:1) TG(14:1_8:0_8:0)",575.4282404,349.2350464,431.3133464,431.3133464
"TG(30:0) TG(10:0_10:0_10:0)",577.4438404,405.2976464,405.2976464,405.2976464
"TG(30:0) TG(14:0_8:0_8:0)",577.4438404,349.2350464,433.3289464,433.3289464
"TG(30:0) TG(10:0_12:0_8:0)",577.4438404,405.2976464,377.2663464,433.3289464
"TG(31:1) TG(15:1_8:0_8:0)",589.4438404,349.2350464,445.3289464,445.3289464
"TG(31:0) TG(15:0_8:0_8:0)",591.4595404,349.2350464,447.3446464,447.3446464
"TG(31:0) TG(10:0_13:0_8:0)",591.4595404,419.3133464,377.2663464,447.3446464
"TG(32:1) TG(16:1_8:0_8:0)",603.4595404,349.2350464,459.3446464,459.3446464
"TG(32:1) TG(10:0_14:1_8:0)",603.4595404,431.3133464,377.2663464,459.3446464
"TG(32:0) TG(10:0_10:0_12:0)",605.4751404,433.3289464,433.3289464,405.2976464
"TG(32:0) TG(16:0_8:0_8:0)",605.4751404,349.2350464,461.3602464,461.3602464
"TG(32:0) TG(10:0_14:0_8:0)",605.4751404,433.3289464,377.2663464,461.3602464
"TG(32:0) TG(12:0_12:0_8:0)",605.4751404,405.2976464,405.2976464,461.3602464
"TG(33:2) TG(17:2_8:0_8:0)",615.4595404,349.2350464,471.3446464,471.3446464
"TG(33:1) TG(17:1_8:0_8:0)",617.4751404,349.2350464,473.3602464,473.3602464
"TG(33:1) TG(10:0_15:1_8:0)",617.4751404,445.3289464,377.2663464,473.3602464
"TG(33:0) TG(10:0_10:0_13:0)",619.4908404,447.3446464,447.3446464,405.2976464
"TG(33:0) TG(17:0_8:0_8:0)",619.4908404,349.2350464,475.3759464,475.3759464
"TG(33:0) TG(10:0_15:0_8:0)",619.4908404,447.3446464,377.2663464,475.3759464
"TG(33:0) TG(12:0_13:0_8:0)",619.4908404,419.3133464,405.2976464,475.3759464
"TG(34:4) TG(18:4_8:0_8:0)",625.4438404,349.2350464,481.3289464,481.3289464
"TG(34:3) TG(18:3_8:0_8:0)",627.4595404,349.2350464,483.3446464,483.3446464
"TG(34:2) TG(18:2_8:0_8:0)",629.4751404,349.2350464,485.3602464,485.3602464
"TG(34:1) TG(10:0_10:0_14:1)",631.4908404,459.3446464,459.3446464,405.2976464
"TG(34:1) TG(18:1_8:0_8:0)",631.4908404,349.2350464,487.3759464,487.3759464
"TG(34:1) TG(10:0_16:1_8:0)",631.4908404,459.3446464,377.2663464,487.3759464
"TG(34:1) TG(12:0_14:1_8:0)",631.4908404,431.3133464,405.2976464,487.3759464
"TG(34:0) TG(10:0_10:0_14:0)",633.5064404,461.3602464,461.3602464,405.2976464
"TG(34:0) TG(10:0_12:0_12:0)",633.5064404,461.3602464,433.3289464,433.3289464
"TG(34:0) TG(18:0_8:0_8:0)",633.5064404,349.2350464,489.3915464,489.3915464
"TG(34:0) TG(10:0_16:0_8:0)",633.5064404,461.3602464,377.2663464,489.3915464
"TG(34:0) TG(12:0_14:0_8:0)",633.5064404,433.3289464,405.2976464,489.3915464
"TG(34:0) TG(13:0_13:0_8:0)",633.5065404,419.3133464,419.3133464,489.3916464
"TG(35:2) TG(10:0_17:2_8:0)",643.4908404,471.3446464,377.2663464,499.3759464
"TG(35:1) TG(10:0_10:0_15:1)",645.5064404,473.3602464,473.3602464,405.2976464
"TG(35:1) TG(10:0_17:1_8:0)",645.5064404,473.3602464,377.2663464,501.3915464
